submission,strategy,checkpoint,timestamp,total,HYDROGEL_PACK,VELVETFRUIT_EXTRACT,VEV_4000,VEV_4500,VEV_5000,VEV_5100,VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500
522830 (rohan),round4_candidate_1_522830_base.py,85000,85000,78747.88256835938,1050.4375,8938.625,10982.5,11405.890625,12573.8359375,14548.671875,9720.423828125,5945.33984375,2557.11669921875,1025.041259765625,0.0,0.0
522830 (rohan),round4_candidate_1_522830_base.py,90000,90000,77862.54760742188,866.5,8897.625,11044.0625,11471.6875,12140.140625,14057.439453125,9757.546875,5947.44140625,2640.143310546875,1039.9609375,0.0,0.0
522830 (rohan),round4_candidate_1_522830_base.py,99900,99900,75988.85998535156,232.25,10005.5,9382.40625,9892.46875,13740.8203125,15111.1044921875,8866.197265625,5411.95703125,2383.705078125,962.4508056640625,0.0,0.0
524123 (kush),round4_candidate_1_522830_base.py,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
524123 (kush),round4_candidate_1_522830_base.py,10000,10000,-10361.260498046875,122.1796875,-639.75,-3428.15625,-2975.1875,-1212.140625,-911.17578125,-606.6328125,-360.4296875,-266.974609375,-82.992919921875,0.0,0.0
524123 (kush),round4_candidate_1_522830_base.py,20000,20000,25890.550537109375,130.5703125,3369.25,2585.46875,3038.46875,4661.78125,4479.0859375,3720.13671875,2400.5849609375,1037.70849609375,467.495361328125,0.0,0.0
524123 (kush),round4_candidate_1_522830_base.py,30000,30000,39792.78015136719,211.875,4929.625,4925.9375,5378.953125,6938.1015625,6548.73828125,5337.3828125,3414.9462890625,1468.88818359375,638.3323974609375,0.0,0.0
524123 (kush),round4_candidate_1_522830_base.py,40000,40000,55018.25634765625,428.3125,6640.0,7478.71875,7931.71875,9404.1015625,8801.40625,7162.74609375,4484.6669921875,1899.614990234375,786.970458984375,0.0,0.0
524123 (kush),round4_candidate_1_522830_base.py,41000,41000,70299.97583007812,543.390625,8456.6875,10259.3125,10690.875,11699.2578125,10830.671875,8948.548828125,5550.41796875,2360.162841796875,960.65087890625,0.0,0.0
524123 (kush),round4_candidate_1_522830_base.py,50000,50000,70221.04345703125,658.765625,9540.0,9633.625,10103.09375,11982.15625,11184.03515625,8590.37109375,5301.5439453125,2282.0751953125,945.37744140625,0.0,0.0
524123 (kush),round4_candidate_1_522830_base.py,60000,60000,70957.48266601562,1158.21875,9545.875,9759.125,10231.421875,11855.0859375,11065.82421875,8685.873046875,5376.8681640625,2311.102294921875,968.08837890625,0.0,0.0
524123 (kush),round4_candidate_1_522830_base.py,70000,70000,69949.99865722656,914.6875,10632.875,8441.09375,8966.15625,13120.0859375,12021.82421875,8002.1640625,4906.2734375,2079.62353515625,865.2149658203125,0.0,0.0
524123 (kush),round4_candidate_1_522830_base.py,80000,80000,68522.87219238281,952.4375,11254.875,7508.21875,8070.578125,14261.9296875,11594.02734375,7447.962890625,4643.55859375,1979.628662109375,809.6556396484375,0.0,0.0
524123 (kush),round4_candidate_1_522830_base.py,85000,85000,78747.88256835938,1050.4375,8938.625,10982.5,11405.890625,12573.8359375,14548.671875,9720.423828125,5945.33984375,2557.11669921875,1025.041259765625,0.0,0.0
524123 (kush),round4_candidate_1_522830_base.py,90000,90000,77862.54760742188,866.5,8897.625,11044.0625,11471.6875,12140.140625,14057.439453125,9757.546875,5947.44140625,2640.143310546875,1039.9609375,0.0,0.0
524123 (kush),round4_candidate_1_522830_base.py,99900,99900,75988.85998535156,232.25,10005.5,9382.40625,9892.46875,13740.8203125,15111.1044921875,8866.197265625,5411.95703125,2383.705078125,962.4508056640625,0.0,0.0
524290 (kush),,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
524290 (kush),,10000,10000,-9315.635498046875,122.1796875,-639.75,-2702.53125,-2949.1875,-1183.140625,-843.17578125,-523.6328125,-311.4296875,-237.974609375,-46.992919921875,0.0,0.0
524290 (kush),,20000,20000,25900.050537109375,156.8515625,3369.25,2248.6875,3064.46875,4690.78125,4547.0859375,3803.13671875,2449.5849609375,1066.70849609375,503.495361328125,0.0,0.0
524290 (kush),,30000,30000,39323.49108886719,172.8359375,4929.625,4175.6875,5404.953125,6967.1015625,6616.73828125,5420.3828125,3463.9462890625,1497.88818359375,674.3323974609375,0.0,0.0
524290 (kush),,40000,40000,54107.95947265625,399.234375,6640.0,6277.5,7957.71875,9433.1015625,8869.40625,7245.74609375,4533.6669921875,1928.614990234375,822.970458984375,0.0,0.0
524290 (kush),,41000,41000,69193.62426757812,502.1875,8456.6875,8566.8125,10716.875,11867.23828125,11067.04296875,9031.548828125,5599.41796875,2389.162841796875,996.65087890625,0.0,0.0
524290 (kush),,50000,50000,69250.08251953125,605.421875,9540.0,8051.6875,10129.09375,12097.2734375,11510.23828125,8673.37109375,5350.5439453125,2311.0751953125,981.37744140625,0.0,0.0
524290 (kush),,60000,60000,70168.79516601562,1190.5625,9545.875,8155.03125,10257.421875,12080.1484375,11400.82421875,8768.873046875,5425.8681640625,2340.102294921875,1004.08837890625,0.0,0.0
524290 (kush),,70000,70000,69531.48889160156,919.9375,10632.875,7069.84375,8992.15625,13404.0859375,12462.314453125,8085.1640625,4955.2734375,2108.62353515625,901.2149658203125,0.0,0.0
524290 (kush),,80000,80000,69212.73156738281,982.5,11254.875,6301.75,8096.578125,14470.1953125,13029.02734375,7530.962890625,4692.55859375,2008.628662109375,845.6556396484375,0.0,0.0
524290 (kush),,85000,85000,78371.10913085938,1090.515625,8938.625,9162.25,11431.890625,12312.56640625,15990.33984375,9803.423828125,5994.33984375,2586.11669921875,1061.041259765625,0.0,0.0
524290 (kush),,90000,90000,77815.36108398438,935.90625,8897.625,9212.9375,11497.6875,12000.140625,15688.9716796875,9840.546875,5996.44140625,2669.143310546875,1075.9609375,0.0,0.0
524290 (kush),,99900,99900,75728.53283691406,492.75,10005.5,7844.84375,9918.46875,13600.8203125,16044.83984375,8949.197265625,5460.95703125,2412.705078125,998.4508056640625,0.0,0.0
524413 (kush),,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
524413 (kush),,10000,10000,-9315.635498046875,122.1796875,-639.75,-2702.53125,-2949.1875,-1183.140625,-843.17578125,-523.6328125,-311.4296875,-237.974609375,-46.992919921875,0.0,0.0
524413 (kush),,20000,20000,25900.050537109375,156.8515625,3369.25,2248.6875,3064.46875,4690.78125,4547.0859375,3803.13671875,2449.5849609375,1066.70849609375,503.495361328125,0.0,0.0
524413 (kush),,30000,30000,39323.49108886719,172.8359375,4929.625,4175.6875,5404.953125,6967.1015625,6616.73828125,5420.3828125,3463.9462890625,1497.88818359375,674.3323974609375,0.0,0.0
524413 (kush),,40000,40000,54107.95947265625,399.234375,6640.0,6277.5,7957.71875,9433.1015625,8869.40625,7245.74609375,4533.6669921875,1928.614990234375,822.970458984375,0.0,0.0
524413 (kush),,41000,41000,69193.62426757812,502.1875,8456.6875,8566.8125,10716.875,11867.23828125,11067.04296875,9031.548828125,5599.41796875,2389.162841796875,996.65087890625,0.0,0.0
524413 (kush),,50000,50000,69250.08251953125,605.421875,9540.0,8051.6875,10129.09375,12097.2734375,11510.23828125,8673.37109375,5350.5439453125,2311.0751953125,981.37744140625,0.0,0.0
524413 (kush),,60000,60000,70168.79516601562,1190.5625,9545.875,8155.03125,10257.421875,12080.1484375,11400.82421875,8768.873046875,5425.8681640625,2340.102294921875,1004.08837890625,0.0,0.0
524413 (kush),,70000,70000,69531.48889160156,919.9375,10632.875,7069.84375,8992.15625,13404.0859375,12462.314453125,8085.1640625,4955.2734375,2108.62353515625,901.2149658203125,0.0,0.0
524413 (kush),,80000,80000,69212.73156738281,982.5,11254.875,6301.75,8096.578125,14470.1953125,13029.02734375,7530.962890625,4692.55859375,2008.628662109375,845.6556396484375,0.0,0.0
524413 (kush),,85000,85000,78371.10913085938,1090.515625,8938.625,9162.25,11431.890625,12312.56640625,15990.33984375,9803.423828125,5994.33984375,2586.11669921875,1061.041259765625,0.0,0.0
524413 (kush),,90000,90000,77815.36108398438,935.90625,8897.625,9212.9375,11497.6875,12000.140625,15688.9716796875,9840.546875,5996.44140625,2669.143310546875,1075.9609375,0.0,0.0
524413 (kush),,99900,99900,75728.53283691406,492.75,10005.5,7844.84375,9918.46875,13600.8203125,16044.83984375,8949.197265625,5460.95703125,2412.705078125,998.4508056640625,0.0,0.0
530880,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
530880,,10000,10000,-12683.565185546875,-2297.125,-639.75,-3428.15625,-2975.1875,-1183.140625,-843.17578125,-606.6328125,-360.4296875,-266.974609375,-82.992919921875,0.0,0.0
530880,,20000,20000,24528.230224609375,-1328.75,3369.25,2585.46875,3038.46875,4690.78125,4547.0859375,3720.13671875,2400.5849609375,1037.70849609375,467.495361328125,0.0,0.0
530880,,30000,30000,41374.65515136719,1696.75,4929.625,4925.9375,5378.953125,6967.1015625,6616.73828125,5337.3828125,3414.9462890625,1468.88818359375,638.3323974609375,0.0,0.0
530880,,40000,40000,55761.44384765625,1074.5,6640.0,7478.71875,7931.71875,9433.1015625,8869.40625,7162.74609375,4484.6669921875,1899.614990234375,786.970458984375,0.0,0.0
530880,,41000,41000,72301.43676757812,2140.5,8456.6875,10259.3125,10690.875,11867.23828125,11067.04296875,8948.548828125,5550.41796875,2360.162841796875,960.65087890625,0.0,0.0
530880,,50000,50000,73212.84814453125,3209.25,9540.0,9633.625,10103.09375,12097.2734375,11510.23828125,8590.37109375,5301.5439453125,2282.0751953125,945.37744140625,0.0,0.0
530880,,60000,60000,76051.82641601562,5692.5,9545.875,9759.125,10231.421875,12080.1484375,11400.82421875,8685.873046875,5376.8681640625,2311.102294921875,968.08837890625,0.0,0.0
530880,,70000,70000,73996.80139160156,4237.0,10632.875,8441.09375,8966.15625,13404.0859375,12462.314453125,8002.1640625,4906.2734375,2079.62353515625,865.2149658203125,0.0,0.0
530880,,80000,80000,73988.63000488281,4237.0,11755.0,7508.21875,8070.578125,14508.0,13029.02734375,7447.962890625,4643.55859375,1979.628662109375,809.6556396484375,0.0,0.0
530880,,85000,85000,88126.65209960938,4237.0,11755.0,10982.5,11405.890625,14508.0,15990.33984375,9720.423828125,5945.33984375,2557.11669921875,1025.041259765625,0.0,0.0
530880,,90000,90000,87029.89135742188,4237.0,11821.625,11044.0625,11471.6875,13925.140625,15514.271484375,9541.0,5795.0,2640.143310546875,1039.9609375,0.0,0.0
530880,,99900,99900,87114.39221191406,4237.0,12929.5,9382.40625,9892.46875,15525.8203125,16465.041015625,9541.0,5795.0,2383.705078125,962.4508056640625,0.0,0.0
