speed,research,scale,speed_multiplier,gross_coeff_before_speed,pnl
17,20,63,0.9,581841.5316074877,473657.37844673893
18,20,62,0.1,572605.9517407021,7260.595174070215
18,20,62,0.3,572605.9517407021,121781.78552221064
18,20,62,0.5,572605.9517407021,236302.97587035107
18,20,62,0.7,572605.9517407021,350824.1662184915
18,20,62,0.9,572605.9517407021,465345.35656663193
19,19,62,0.1,563429.6231173162,6342.962311731622
19,19,62,0.3,563429.6231173162,119028.88693519484
19,19,62,0.5,563429.6231173162,231714.81155865808
19,19,62,0.7,563429.6231173162,344400.73618212127
19,19,62,0.9,563429.6231173162,457086.6608055846
20,19,61,0.1,554342.0485509078,5434.204855090778
20,19,61,0.3,554342.0485509078,116302.61456527232
20,19,61,0.5,554342.0485509078,227171.02427545388
20,19,61,0.7,554342.0485509078,338039.4339856354
20,19,61,0.9,554342.0485509078,448907.843695817
21,19,60,0.1,545254.4739844996,4525.447398449964
21,19,60,0.3,545254.4739844996,113576.34219534986
21,19,60,0.5,545254.4739844996,222627.2369922498
21,19,60,0.7,545254.4739844996,331678.13178914966
21,19,60,0.9,545254.4739844996,440729.02658604964
22,19,59,0.1,536166.8994180912,3616.68994180912
22,19,59,0.3,536166.8994180912,110850.06982542734
22,19,59,0.5,536166.8994180912,218083.44970904558
22,19,59,0.7,536166.8994180912,325316.8295926638
22,19,59,0.9,536166.8994180912,432550.20947628206
23,19,58,0.1,527079.3248516829,2707.9324851682904
23,19,58,0.3,527079.3248516829,108123.79745550486
23,19,58,0.5,527079.3248516829,213539.66242584144
23,19,58,0.7,527079.3248516829,318955.527396178
23,19,58,0.9,527079.3248516829,424371.3923665146
24,18,58,0.1,518054.60818595253,1805.460818595253
24,18,58,0.3,518054.60818595253,105416.38245578576
24,18,58,0.5,518054.60818595253,209027.30409297626
24,18,58,0.7,518054.60818595253,312638.22573016677
24,18,58,0.9,518054.60818595253,416249.1473673573
25,18,57,0.1,509122.63218274654,912.2632182746602
25,18,57,0.3,509122.63218274654,102736.78965482395
25,18,57,0.5,509122.63218274654,204561.31609137327
25,18,57,0.7,509122.63218274654,306385.84252792253
25,18,57,0.9,509122.63218274654,408210.3689644719
26,18,56,0.1,500190.6561795404,19.065617954038316
26,18,56,0.3,500190.6561795404,100057.19685386211
26,18,56,0.5,500190.6561795404,200095.3280897702
26,18,56,0.7,500190.6561795404,300133.45932567824
26,18,56,0.9,500190.6561795404,400171.5905615864
27,18,55,0.1,491258.68017633434,-874.1319823665617
27,18,55,0.3,491258.68017633434,97377.60405290031
27,18,55,0.5,491258.68017633434,195629.34008816717
27,18,55,0.7,491258.68017633434,293881.076123434
27,18,55,0.9,491258.68017633434,392132.8121587009
28,18,54,0.1,482326.70417312824,-1767.3295826871763
28,18,54,0.3,482326.70417312824,94698.01125193847
28,18,54,0.5,482326.70417312824,191163.35208656412
28,18,54,0.7,482326.70417312824,287628.69292118977
28,18,54,0.9,482326.70417312824,384094.0337558154
29,17,54,0.1,473469.9865357079,-2653.001346429206
29,17,54,0.3,473469.9865357079,92040.99596071237
29,17,54,0.5,473469.9865357079,186734.99326785395
29,17,54,0.7,473469.9865357079,281428.9905749955
29,17,54,0.9,473469.9865357079,376122.9878821371
30,17,53,0.1,464702.02382208366,-3529.797617791628
30,17,53,0.3,464702.02382208366,89410.60714662509
30,17,53,0.5,464702.02382208366,182351.01191104183
30,17,53,0.7,464702.02382208366,275291.41667545855
30,17,53,0.9,464702.02382208366,368231.8214398753
31,17,52,0.1,455934.0611084595,-4406.59388915405
31,17,52,0.3,455934.0611084595,86780.21833253783
31,17,52,0.5,455934.0611084595,177967.03055422974
31,17,52,0.7,455934.0611084595,269153.8427759216
31,17,52,0.9,455934.0611084595,360340.6549976136
32,17,51,0.1,447166.09839483525,-5283.390160516472
32,17,51,0.3,447166.09839483525,84149.82951845057
32,17,51,0.5,447166.09839483525,173583.04919741763
32,17,51,0.7,447166.09839483525,263016.26887638465
32,17,51,0.9,447166.09839483525,352449.48855535174
33,17,50,0.1,438398.135681211,-6160.186431878894
33,17,50,0.3,438398.135681211,81519.44070436331
33,17,50,0.5,438398.135681211,169199.0678406055
33,17,50,0.7,438398.135681211,256878.69497684768
33,17,50,0.9,438398.135681211,344558.3221130899
34,16,50,0.1,429728.61350037996,-7027.138649961998
34,16,50,0.3,429728.61350037996,78918.58405011398
34,16,50,0.5,429728.61350037996,164864.30675018998
34,16,50,0.7,429728.61350037996,250810.02945026592
34,16,50,0.9,429728.61350037996,336755.752150342
35,16,49,0.1,421134.0412303723,-7886.595876962761
35,16,49,0.3,421134.0412303723,76340.21236911169
35,16,49,0.5,421134.0412303723,160567.02061518616
35,16,49,0.7,421134.0412303723,244793.8288612606
35,16,49,0.9,421134.0412303723,329020.6371073351
36,16,48,0.1,412539.4689603647,-8746.053103963524
36,16,48,0.3,412539.4689603647,73761.8406881094
36,16,48,0.5,412539.4689603647,156269.73448018235
36,16,48,0.7,412539.4689603647,238777.62827225524
36,16,48,0.9,412539.4689603647,321285.52206432825
37,16,47,0.1,403944.8966903571,-9605.510330964287
37,16,47,0.3,403944.8966903571,71183.46900710714
37,16,47,0.5,403944.8966903571,151972.44834517856
37,16,47,0.7,403944.8966903571,232761.42768325
37,16,47,0.9,403944.8966903571,313550.4070213214
38,16,46,0.1,395350.32442034956,-10464.967557965043
38,16,46,0.3,395350.32442034956,68605.09732610486
38,16,46,0.5,395350.32442034956,147675.16221017478
38,16,46,0.7,395350.32442034956,226745.22709424468
38,16,46,0.9,395350.32442034956,305815.29197831464
39,15,46,0.1,386890.6847842202,-11310.931521577979
39,15,46,0.3,386890.6847842202,66067.20543526605
39,15,46,0.5,386890.6847842202,143445.3423921101
39,15,46,0.7,386890.6847842202,220823.4793489541
39,15,46,0.9,386890.6847842202,298201.6163057982
40,15,45,0.1,378480.0177236936,-12151.998227630633
40,15,45,0.3,378480.0177236936,63544.00531710808
40,15,45,0.5,378480.0177236936,139240.0088618468
40,15,45,0.7,378480.0177236936,214936.0124065855
40,15,45,0.9,378480.0177236936,290632.01595132425
41,15,44,0.1,370069.35066316713,-12993.064933683287
41,15,44,0.3,370069.35066316713,61020.80519895014
41,15,44,0.5,370069.35066316713,135034.67533158357
41,15,44,0.7,370069.35066316713,209048.54546421696
41,15,44,0.9,370069.35066316713,283062.41559685045
42,15,43,0.1,361658.6836026406,-13834.13163973594
42,15,43,0.3,361658.6836026406,58497.60508079217
42,15,43,0.5,361658.6836026406,130829.34180132029
42,15,43,0.7,361658.6836026406,203161.0785218484
42,15,43,0.9,361658.6836026406,275492.8152423765
43,15,42,0.1,353248.0165421141,-14675.198345788587
43,15,42,0.3,353248.0165421141,55974.40496263422
43,15,42,0.5,353248.0165421141,126624.00827105704
43,15,42,0.7,353248.0165421141,197273.61157947985
43,15,42,0.9,353248.0165421141,267923.21488790266
44,14,42,0.1,345025.33843643696,-15497.466156356306
44,14,42,0.3,345025.33843643696,53507.60153093109
44,14,42,0.5,345025.33843643696,122512.66921821848
44,14,42,0.7,345025.33843643696,191517.73690550585
44,14,42,0.9,345025.33843643696,260522.80459279328
45,14,41,0.1,336810.4494260456,-16318.95505739544
45,14,41,0.3,336810.4494260456,51043.13482781367
45,14,41,0.5,336810.4494260456,118405.22471302279
45,14,41,0.7,336810.4494260456,185767.3145982319
45,14,41,0.9,336810.4494260456,253129.40448344103
46,14,40,0.1,328595.5604156542,-17140.443958434575
46,14,40,0.3,328595.5604156542,48578.668124696254
46,14,40,0.5,328595.5604156542,114297.7802078271
46,14,40,0.7,328595.5604156542,180016.89229095794
46,14,40,0.9,328595.5604156542,245736.00437408878
47,14,39,0.1,320380.6714052629,-17961.93285947371
47,14,39,0.3,320380.6714052629,46114.201421578866
47,14,39,0.5,320380.6714052629,110190.33570263145
47,14,39,0.7,320380.6714052629,174266.46998368402
47,14,39,0.9,320380.6714052629,238342.60426473664
48,13,39,0.1,312218.3476491635,-18778.16523508365
48,13,39,0.3,312218.3476491635,43665.504294749044
48,13,39,0.5,312218.3476491635,106109.17382458175
48,13,39,0.7,312218.3476491635,168552.84335441445
48,13,39,0.9,312218.3476491635,230996.51288424717
49,13,38,0.1,304212.74899149267,-19578.72510085073
49,13,38,0.3,304212.74899149267,41263.824697447795
49,13,38,0.5,304212.74899149267,102106.37449574634
49,13,38,0.7,304212.74899149267,162948.92429404485
49,13,38,0.9,304212.74899149267,223791.47409234341
50,13,37,0.1,296207.1503338218,-20379.284966617823
50,13,37,0.3,296207.1503338218,38862.14510014653
50,13,37,0.5,296207.1503338218,98103.57516691089
50,13,37,0.7,296207.1503338218,157345.00523367524
50,13,37,0.9,296207.1503338218,216586.4353004396
51,13,36,0.1,288201.55167615094,-21179.844832384904
51,13,36,0.3,288201.55167615094,36460.46550284528
51,13,36,0.5,288201.55167615094,94100.77583807547
51,13,36,0.7,288201.55167615094,151741.08617330564
51,13,36,0.9,288201.55167615094,209381.39650853584
52,13,35,0.1,280195.9530184801,-21980.40469815199
52,13,35,0.3,280195.9530184801,34058.78590554402
52,13,35,0.5,280195.9530184801,90097.97650924005
52,13,35,0.7,280195.9530184801,146137.16711293606
52,13,35,0.9,280195.9530184801,202176.3577166321
53,12,35,0.1,272327.7064097918,-22767.22935902082
53,12,35,0.3,272327.7064097918,31698.31192293753
53,12,35,0.5,272327.7064097918,86163.85320489589
53,12,35,0.7,272327.7064097918,140629.39448685423
53,12,35,0.9,272327.7064097918,195094.9357688126
54,12,34,0.1,264546.9147980834,-23545.308520191655
54,12,34,0.3,264546.9147980834,29364.07443942502
54,12,34,0.5,264546.9147980834,82273.45739904171
54,12,34,0.7,264546.9147980834,135182.84035865837
54,12,34,0.9,264546.9147980834,188092.2233182751
55,12,33,0.1,256766.1231863751,-24323.38768136249
55,12,33,0.3,256766.1231863751,27029.836955912528
55,12,33,0.5,256766.1231863751,78383.06159318755
55,12,33,0.7,256766.1231863751,129736.28623046257
55,12,33,0.9,256766.1231863751,181089.51086773758
56,12,32,0.1,248985.33157466678,-25101.466842533322
56,12,32,0.3,248985.33157466678,24695.599472400034
56,12,32,0.5,248985.33157466678,74492.66578733339
56,12,32,0.7,248985.33157466678,124289.73210226675
56,12,32,0.9,248985.33157466678,174086.7984172001
57,11,32,0.1,241215.40814430584,-25878.459185569416
57,11,32,0.3,241215.40814430584,22364.62244329175
57,11,32,0.5,241215.40814430584,70607.70407215292
57,11,32,0.7,241215.40814430584,118850.78570101407
57,11,32,0.9,241215.40814430584,167093.86732987527
58,11,31,0.1,233677.42663979626,-26632.25733602037
58,11,31,0.3,233677.42663979626,20103.227991938882
58,11,31,0.5,233677.42663979626,66838.71331989813
58,11,31,0.7,233677.42663979626,113574.19864785738
58,11,31,0.9,233677.42663979626,160309.68397581665
59,11,30,0.1,226139.44513528672,-27386.055486471327
59,11,30,0.3,226139.44513528672,17841.833540586013
59,11,30,0.5,226139.44513528672,63069.72256764336
59,11,30,0.7,226139.44513528672,108297.61159470069
59,11,30,0.9,226139.44513528672,153525.50062175805
60,11,29,0.1,218601.46363077714,-28139.853636922286
60,11,29,0.3,218601.46363077714,15580.439089233143
60,11,29,0.5,218601.46363077714,59300.73181538857
60,11,29,0.7,218601.46363077714,103021.024541544
60,11,29,0.9,218601.46363077714,146741.31726769943
61,11,28,0.1,211063.4821262676,-28893.651787373237
61,11,28,0.3,211063.4821262676,13319.044637880274
61,11,28,0.5,211063.4821262676,55531.7410631338
61,11,28,0.7,211063.4821262676,97744.43748838731
61,11,28,0.9,211063.4821262676,139957.13391364084
62,10,28,0.1,203672.89294111673,-29632.710705888327
62,10,28,0.3,203672.89294111673,11101.86788233502
62,10,28,0.5,203672.89294111673,51836.44647055837
62,10,28,0.7,203672.89294111673,92571.0250587817
62,10,28,0.9,203672.89294111673,133305.60364700507
63,10,27,0.1,196398.86105036258,-30360.113894963742
63,10,27,0.3,196398.86105036258,8919.658315108776
63,10,27,0.5,196398.86105036258,48199.43052518129
63,10,27,0.7,196398.86105036258,87479.20273525381
63,10,27,0.9,196398.86105036258,126758.97494532634
64,10,26,0.1,189124.8291596084,-31087.51708403916
64,10,26,0.3,189124.8291596084,6737.448747882518
64,10,26,0.5,189124.8291596084,44562.4145798042
64,10,26,0.7,189124.8291596084,82387.38041172587
64,10,26,0.9,189124.8291596084,120212.34624364757
65,10,25,0.1,181850.79726885425,-31814.920273114574
65,10,25,0.3,181850.79726885425,4555.239180656274
65,10,25,0.5,181850.79726885425,40925.398634427125
65,10,25,0.7,181850.79726885425,77295.55808819797
65,10,25,0.9,181850.79726885425,113665.71754196883
66,9,25,0.1,174622.69503191736,-32537.730496808264
66,9,25,0.3,174622.69503191736,2386.8085095752103
66,9,25,0.5,174622.69503191736,37311.34751595868
66,9,25,0.7,174622.69503191736,72235.88652234215
66,9,25,0.9,174622.69503191736,107160.42552872564
67,9,24,0.1,167637.78723064065,-33236.22127693593
67,9,24,0.3,167637.78723064065,291.3361691921964
67,9,24,0.5,167637.78723064065,33818.893615320325
67,9,24,0.7,167637.78723064065,67346.45106144845
67,9,24,0.9,167637.78723064065,100874.0085075766
68,9,23,0.1,160652.879429364,-33934.7120570636
68,9,23,0.3,160652.879429364,-1804.136171190803
68,9,23,0.5,160652.879429364,30326.439714681997
68,9,23,0.7,160652.879429364,62457.01560055479
68,9,23,0.9,160652.879429364,94587.59148642761
69,9,22,0.1,153667.97162808728,-34633.202837191275
69,9,22,0.3,153667.97162808728,-3899.608511573817
69,9,22,0.5,153667.97162808728,26833.98581404364
69,9,22,0.7,153667.97162808728,57567.58013966109
69,9,22,0.9,153667.97162808728,88301.17446527857
70,9,21,0.1,146683.06382681057,-35331.693617318946
70,9,21,0.3,146683.06382681057,-5995.080851956831
70,9,21,0.5,146683.06382681057,23341.531913405284
70,9,21,0.7,146683.06382681057,52678.14467876739
70,9,21,0.9,146683.06382681057,82014.75744412953
71,8,21,0.1,139971.21491834437,-36002.878508165566
71,8,21,0.3,139971.21491834437,-8008.635524496691
71,8,21,0.5,139971.21491834437,19985.607459172184
71,8,21,0.7,139971.21491834437,47979.85044284105
71,8,21,0.9,139971.21491834437,75974.09342650993
72,8,20,0.1,133305.91896985177,-36669.40810301482
72,8,20,0.3,133305.91896985177,-10008.224309044468
72,8,20,0.5,133305.91896985177,16652.959484925886
72,8,20,0.7,133305.91896985177,43314.14327889624
72,8,20,0.9,133305.91896985177,69975.3270728666
73,8,19,0.1,126640.6230213592,-37335.93769786408
73,8,19,0.3,126640.6230213592,-12007.813093592238
73,8,19,0.5,126640.6230213592,13320.311510679603
73,8,19,0.7,126640.6230213592,38648.436114951444
73,8,19,0.9,126640.6230213592,63976.560719223286
74,8,18,0.1,119975.32707286661,-38002.467292713336
74,8,18,0.3,119975.32707286661,-14007.401878140015
74,8,18,0.5,119975.32707286661,9987.663536433305
74,8,18,0.7,119975.32707286661,33982.72895100662
74,8,18,0.9,119975.32707286661,57977.794365579946
75,7,18,0.1,113544.00531710808,-38645.59946828919
75,7,18,0.3,113544.00531710808,-15936.798404867579
75,7,18,0.5,113544.00531710808,6772.00265855404
75,7,18,0.7,113544.00531710808,29480.80372197565
75,7,18,0.9,113544.00531710808,52189.60478539727
76,7,17,0.1,107236.00502171318,-39276.39949782868
76,7,17,0.3,107236.00502171318,-17829.19849348605
76,7,17,0.5,107236.00502171318,3618.0025108565897
76,7,17,0.7,107236.00502171318,25065.203515199217
76,7,17,0.9,107236.00502171318,46512.40451954186
77,7,16,0.1,100928.00472631831,-39907.19952736817
77,7,16,0.3,100928.00472631831,-19721.59858210451
77,7,16,0.5,100928.00472631831,464.0023631591539
77,7,16,0.7,100928.00472631831,20649.60330842281
77,7,16,0.9,100928.00472631831,40835.204253686476
78,7,15,0.1,94620.0044309234,-40537.99955690766
78,7,15,0.3,94620.0044309234,-21613.99867072298
78,7,15,0.5,94620.0044309234,-2689.9977845382964
78,7,15,0.7,94620.0044309234,16234.003101646376
78,7,15,0.9,94620.0044309234,35158.00398783106
79,6,15,0.1,88543.97838808839,-41145.60216119116
79,6,15,0.3,88543.97838808839,-23436.806483573484
79,6,15,0.5,88543.97838808839,-5728.010805955804
79,6,15,0.7,88543.97838808839,11980.784871661868
79,6,15,0.9,88543.97838808839,29689.580549279548
80,6,14,0.1,82641.04649554916,-41735.895350445084
80,6,14,0.3,82641.04649554916,-25207.68605133525
80,6,14,0.5,82641.04649554916,-8679.476752225419
80,6,14,0.7,82641.04649554916,7848.7325468844065
80,6,14,0.9,82641.04649554916,24376.941845994254
