product,category,gross_one_step_oracle_full,spread_adjusted_one_step_oracle_full,h50_oracle_full,mean_spread_full,median_spread_full,mean_top_depth_full,rows_full,gross_one_step_oracle_portal,spread_adjusted_one_step_oracle_portal,h50_oracle_portal,mean_spread_portal,median_spread_portal,mean_top_depth_portal,rows_portal,realistic_opportunity_score
SLEEP_POD_LAMB_WOOL,SLEEP_POD,2552880.0,1391876.1364999998,19252955.0,9.4001,10.0,21.7455,30000,84845.0,46318.62999999999,639205.0,9.294,9.0,21.929,1000,401924.1238
TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,2423210.0,1320164.1779999996,16792760.0,8.9121,9.0,22.202666666666666,30000,88400.0,47864.494999999995,657065.0,9.819,10.0,21.929,1000,391110.95784999995
ROBOT_LAUNDRY,ROBOT,2352555.0,1433976.4266666668,16849895.0,7.165066666666666,7.0,16.095133333333333,30000,72780.0,44194.075,521520.0,6.745,7.0,17.025,1000,391032.5265833334
ROBOT_IRONING,ROBOT,2088540.0,1530467.444,14643860.0,6.392933333333334,6.0,16.702933333333334,30000,62690.0,46103.58499999999,386175.0,5.889,6.0,11.927,1000,390569.41055
TRANSLATOR_VOID_BLUE,TRANSLATOR,2588615.0,1409613.7133333334,17506200.0,9.524666666666667,10.0,21.824166666666667,30000,84880.0,46440.3,508225.0,9.39,10.0,21.929,1000,385891.5576666667
PANEL_4X4,PANEL,2381520.0,1296441.0246666665,16730315.0,8.750466666666666,9.0,22.64206666666667,30000,82705.0,44570.59999999999,611810.0,9.34,9.0,21.929,1000,377766.43493333337
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE,2865650.0,1161407.4940000002,19905145.0,15.0546,15.0,36.5128,30000,95005.0,38671.495,714325.0,14.869,15.0,36.16,1000,364315.57105
TRANSLATOR_SPACE_GRAY,TRANSLATOR,2255160.0,1215530.811666667,16065110.0,8.402166666666666,9.0,23.884966666666667,30000,79980.0,43173.15000000001,597985.0,8.802,9.0,22.441,1000,358793.24483333336
ROBOT_VACUUMING,ROBOT,2202855.0,1338321.5950000002,15330930.0,6.7533,7.0,17.145466666666668,30000,66995.0,39350.51000000001,432945.0,6.502,7.0,17.999,1000,356048.7495000001
TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR,2350435.0,1274448.3513333332,16292910.0,8.700433333333333,9.0,22.6464,30000,76570.0,40689.034999999996,475270.0,8.627,9.0,22.829,1000,350842.0395166667
SLEEP_POD_NYLON,SLEEP_POD,2292590.0,1238716.45,16123270.0,8.564666666666668,9.0,23.365433333333332,30000,75925.0,40951.96,518635.0,8.664,9.0,22.551,1000,350317.218
TRANSLATOR_ASTRO_BLACK,TRANSLATOR,2255730.0,1220817.936,15949040.0,8.3664,8.0,24.097633333333334,30000,73580.0,39584.49,516890.0,8.341,8.0,24.719,1000,345940.45670000004
UV_VISOR_MAGENTA,UV_VISOR,2671965.0,1075680.92,17987305.0,14.0916,14.0,36.5128,30000,88015.0,34851.83000000001,704265.0,14.189,14.0,36.16,1000,343560.4405
PANEL_2X2,PANEL,2293810.0,1241372.98,16092145.0,8.515466666666667,9.0,23.663433333333334,30000,72720.0,39670.61000000001,419415.0,8.059,8.0,25.971,1000,335602.7815
PANEL_1X4,PANEL,2254385.0,1221942.8080000002,16135210.0,8.376633333333332,8.0,24.3759,30000,67335.0,35987.575,439610.0,7.735,8.0,27.012,1000,332824.42785000004
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,2597010.0,1044624.4578333334,19079035.0,13.690033333333334,14.0,36.5128,30000,89190.0,35761.58,635020.0,14.076,14.0,36.16,1000,327462.7605666667
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,2452290.0,978193.0416666667,17108335.0,13.050833333333333,13.0,36.5128,30000,85590.0,34435.740000000005,717685.0,13.788,14.0,36.16,1000,325847.0153333334
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE,2208190.0,1149631.609,15087510.0,11.860466666666667,12.0,36.5128,30000,71440.0,36854.92,463350.0,11.778,12.0,36.16,1000,323315.02780000004
UV_VISOR_YELLOW,UV_VISOR,2629290.0,1055444.9674999998,17978400.0,13.909966666666667,14.0,36.5128,30000,96185.0,37400.36,566880.0,15.248,16.0,36.16,1000,320307.19149999996
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,2732625.0,1097188.0300000003,19511480.0,14.512766666666666,14.0,36.5128,30000,97210.0,39984.615000000005,498745.0,14.991,15.0,36.16,1000,319856.89425000007
UV_VISOR_RED,UV_VISOR,2640080.0,1050715.4881666666,18617915.0,14.039433333333333,14.0,36.5128,30000,89460.0,35098.44,576025.0,14.342,15.0,36.16,1000,319466.9896333333
MICROCHIP_CIRCLE,MICROCHIP,2204470.0,1182786.8666666665,15274700.0,8.262166666666667,8.0,13.522233333333334,30000,67065.0,35369.4,385720.0,7.728,8.0,14.735,1000,315342.04333333333
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,2656240.0,1059270.1670000001,18316580.0,14.071533333333333,14.0,36.5128,30000,85725.0,33768.94499999999,520965.0,13.567,14.0,36.16,1000,312187.7031500001
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,2518085.0,1008033.9970000001,17663345.0,13.301266666666667,14.0,36.5128,30000,89050.0,36981.95,564860.0,13.502,14.0,36.16,1000,310291.8719
UV_VISOR_ORANGE,UV_VISOR,2499345.0,998594.8570000001,17993395.0,13.2841,13.0,36.5128,30000,82275.0,32538.649999999998,571520.0,13.265,13.0,36.16,1000,306959.22890000005
OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE,2410450.0,964974.0560000001,16048795.0,12.7829,13.0,36.5128,30000,77150.0,30321.449999999997,522830.0,12.307,13.0,36.16,1000,291712.10870000004
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,2369845.0,942432.6628333332,17196830.0,12.593566666666666,13.0,36.5128,30000,76770.0,30682.499999999996,527465.0,12.367,13.0,36.16,1000,288097.65756666666
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE,2307410.0,1035576.8153333332,16019105.0,12.185466666666667,12.0,36.5128,30000,71390.0,26707.879999999997,414710.0,11.704,12.0,36.16,1000,287627.1970666667
PANEL_1X2,PANEL,2161950.0,862564.3028333335,15300870.0,11.509766666666666,12.0,36.5128,30000,68500.0,26918.989999999998,452910.0,11.307,11.0,36.16,1000,258870.8050666667
UV_VISOR_AMBER,UV_VISOR,1903965.0,748315.6425000003,13589200.0,10.3205,10.0,36.5396,30000,58525.0,23388.89,493895.0,9.297,9.0,36.16,1000,240227.26800000007
SNACKPACK_RASPBERRY,SNACKPACK,1936895.0,373704.23899999994,12982995.0,16.842466666666667,17.0,58.9913,30000,64900.0,12728.515000000003,428985.0,16.927,17.0,59.043,1000,151993.58104999998
SNACKPACK_STRAWBERRY,SNACKPACK,1945780.0,337591.0656666668,13071090.0,17.826466666666665,18.0,58.9913,30000,66050.0,11439.759999999998,406085.0,17.928,18.0,59.043,1000,140627.13113333334
SNACKPACK_CHOCOLATE,SNACKPACK,1570350.0,198793.79083333336,10913440.0,16.471166666666665,17.0,58.9913,30000,52320.0,6899.51,332110.0,16.407,17.0,59.043,1000,99274.28866666667
SNACKPACK_VANILLA,SNACKPACK,1555750.0,179939.89666666667,10929990.0,16.868666666666666,17.0,58.9913,30000,51930.0,6240.3499999999985,319610.0,16.774,17.0,59.043,1000,93265.97183333333
SNACKPACK_PISTACHIO,SNACKPACK,1252625.0,87312.80733333333,8335685.0,15.925633333333334,16.0,58.9913,30000,42630.0,3135.899999999999,267470.0,15.685,16.0,59.043,1000,65212.106466666664
