product,category,best_edge_family_full,best_edge_proxy_full,best_edge_corr_full,signal_threshold_proxy_full,model_type_full,residual_vol_full,best_edge_family_portal,best_edge_proxy_portal,best_edge_corr_portal,signal_threshold_proxy_portal,model_type_portal,residual_vol_portal,realistic_opportunity_score,spread_adjusted_one_step_oracle_portal,spread_adjusted_one_step_oracle_full,mean_spread_portal,mean_top_depth_portal,probe_priority,recommended_execution,probe_verdict
UV_VISOR_ORANGE,UV_VISOR,100_tick_reversal,467780.4500000003,0.013299112877972112,135.0,statistical/time-series,663.1402645999433,100_tick_momentum,96616.80000000002,-0.15363906296888286,131.60000000000002,statistical/time-series,190.17716738995628,306959.22890000005,32538.649999999998,998594.8570000001,13.265,36.16,128116.53771000002,passive-first,defer
ROBOT_DISHES,ROBOT,25_tick_reversal,699248.1499999999,0.07267364624871687,78.5,statistical/time-series,818.7883731199933,100_tick_momentum,71969.55,0.1673923596227964,195.5,statistical/time-series,156.50054312125332,475537.46221666667,51355.805,1721124.3473333332,7.467,15.109,127114.38481999999,passive-first,research_probe
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,100_tick_reversal,420448.2500000001,0.06538977625773668,133.5,statistical/time-series,456.4859063142933,100_tick_reversal,87830.55,0.3163699940327485,156.10000000000002,statistical/time-series,140.38693699764087,325847.0153333334,34435.740000000005,978193.0416666667,13.788,36.16,118828.16045000001,passive-first,defer
SLEEP_POD_SUEDE,SLEEP_POD,50_tick_reversal,148117.70000000007,0.03351839826095439,100.0,statistical/time-series,847.9640960966576,100_tick_reversal,67587.65000000001,0.29169150479638933,140.0,statistical/time-series,209.98605725778188,416148.37610000005,52558.549999999996,1490631.368,10.615,21.929,115662.07504000001,passive-first,research_probe
TRANSLATOR_ASTRO_BLACK,TRANSLATOR,50_tick_reversal,332250.69999999995,0.034396905708682465,85.0,statistical/time-series,635.1527643557689,100_tick_reversal,74633.9,0.33580272455135557,126.5,statistical/time-series,143.24118549376487,345940.45670000004,39584.49,1220817.936,8.341,24.719,113757.91728,passive-first,defer
MICROCHIP_RECTANGLE,MICROCHIP,100_tick_reversal,349206.70000000024,0.027259134502173984,163.0,statistical/time-series,894.5255756372712,50_tick_momentum,46220.450000000026,0.05340740491627544,115.0,statistical/time-series,167.5329463273417,551248.8936,63805.419999999984,2088829.0630000003,7.122,16.011,113419.99549000004,passive-first,research_probe
PANEL_4X4,PANEL,100_tick_reversal,689877.1000000002,0.029903849600987544,129.0,statistical/time-series,1755.7476375564488,50_tick_momentum,71377.79999999999,0.023231394893763264,106.0,statistical/time-series,486.95616552260435,377766.43493333337,44570.59999999999,1296441.0246666665,9.34,21.929,113089.47873999998,passive-first,defer
TRANSLATOR_VOID_BLUE,TRANSLATOR,50_tick_reversal,437416.19999999995,0.058369171942233074,95.0,statistical/time-series,699.1683238593437,100_tick_reversal,64634.9,0.3103654655915524,105.0,statistical/time-series,104.0082977025167,385891.5576666667,46440.3,1409613.7133333334,9.39,21.929,109887.3354,passive-first,defer
SLEEP_POD_POLYESTER,SLEEP_POD,100_tick_reversal,260233.0499999998,0.029928043487390667,148.5,statistical/time-series,601.8923985281664,100_tick_reversal,56839.350000000006,0.0243384374599122,191.0,statistical/time-series,269.43575685810623,459814.3985,57995.06,1560533.5775,11.132,21.929,107404.40212500001,passive-first,research_probe
PANEL_2X4,PANEL,50_tick_momentum,438755.8999999999,0.02674582806192393,103.10000000000036,statistical/time-series,845.1436790406442,50_tick_momentum,58567.84999999999,0.20431707240010974,105.5,statistical/time-series,174.9584942306729,419831.52700000006,49407.32,1479140.5050000001,9.663,21.929,106121.61075,passive-first,defer
TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR,100_tick_reversal,295207.05000000016,0.005256227657506074,122.0,statistical/time-series,377.5576462318021,50_tick_momentum,62072.899999999994,0.29441073851637023,79.0,statistical/time-series,149.2556338884228,350842.0395166667,40689.034999999996,1274448.3513333332,8.627,22.829,102871.31333999998,passive-first,defer
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,50_tick_momentum,356350.1499999999,0.03410695143738447,93.0,statistical/time-series,667.3358758175312,100_tick_reversal,70847.15,0.42895282518106903,112.70000000000005,statistical/time-series,126.46477281124454,288097.65756666666,30682.499999999996,942432.6628333332,12.367,36.16,100585.369885,passive-first,defer
ROBOT_MOPPING,ROBOT,100_tick_momentum,271549.55000000016,0.006733074972003672,138.0,statistical/time-series,1090.2178001575364,50_tick_momentum,43400.3,0.09545584215353446,91.10000000000002,statistical/time-series,155.02597189082553,444623.1725000001,58889.63,1635809.8800000004,8.394,12.939,96514.24680000001,passive-first,research_probe
PANEL_1X4,PANEL,100_tick_momentum,1186079.3500000003,0.13541018512032907,128.0,statistical/time-series,874.4423550069291,100_tick_momentum,56295.2,-0.15320829587928209,124.60000000000002,statistical/time-series,68.22856110198629,332824.42785000004,35987.575,1221942.8080000002,7.735,27.012,95213.69024,passive-first,defer
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE,100_tick_reversal,852745.75,0.0883327745819181,124.0,statistical/time-series,509.4842505076439,50_tick_momentum,60323.59999999999,0.2454112778885813,73.5,statistical/time-series,70.52863485719253,287627.1970666667,26707.879999999997,1035576.8153333332,11.704,36.16,92591.21485999998,passive-first,defer
MICROCHIP_CIRCLE,MICROCHIP,100_tick_reversal,381086.80000000005,0.024917253665495482,117.0,statistical/time-series,1424.9400151028333,100_tick_reversal,52551.34999999999,0.32270701799729945,86.5,statistical/time-series,202.53884258096713,315342.04333333333,35369.4,1182786.8666666665,7.728,14.735,90246.26799999998,passive-first,defer
SLEEP_POD_NYLON,SLEEP_POD,100_tick_momentum,118444.95000000004,-0.009594931453231254,120.0,statistical/time-series,905.3473886117886,100_tick_reversal,49505.450000000026,0.22986272241483338,119.10000000000002,statistical/time-series,65.93886505409311,350317.218,40951.96,1238716.45,8.664,22.551,89249.98030000002,passive-first,defer
SLEEP_POD_LAMB_WOOL,SLEEP_POD,50_tick_momentum,443027.74999999994,0.04426017979504255,103.0,statistical/time-series,1044.470764547762,100_tick_momentum,43950.600000000006,-0.18765124582129952,155.20000000000005,statistical/time-series,414.90599197462467,401924.1238,46318.62999999999,1391876.1364999998,9.294,21.929,88668.85449499999,passive-first,defer
UV_VISOR_YELLOW,UV_VISOR,50_tick_reversal,330260.3499999999,0.04133570881791763,96.0,statistical/time-series,715.1922825498797,25_tick_reversal,54697.45,0.256502169796252,77.0,statistical/time-series,102.55263659010905,320307.19149999996,37400.36,1055444.9674999998,15.248,36.16,88132.98782499999,passive-first,defer
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,100_tick_momentum,598957.6500000001,0.05608444964844444,140.5,statistical/time-series,667.6628273590908,100_tick_reversal,51984.09999999999,0.23438985325979916,116.10000000000002,statistical/time-series,152.21713484402656,312187.7031500001,33768.94499999999,1059270.1670000001,13.567,36.16,85378.36060999999,passive-first,defer
SLEEP_POD_COTTON,SLEEP_POD,100_tick_momentum,512391.04999999993,0.044331052571375255,152.0,statistical/time-series,491.2654864300549,100_tick_reversal,35031.899999999994,0.41520790283032616,164.5,statistical/time-series,256.37700538149306,449296.4844000001,54100.62000000001,1534189.9670000002,10.713,21.929,84528.60861000001,passive-first,research_probe
UV_VISOR_RED,UV_VISOR,100_tick_momentum,535644.4000000001,0.059485317381839986,142.0,statistical/time-series,1032.0364264696739,50_tick_reversal,50431.0,0.4235813108470257,99.10000000000002,statistical/time-series,112.23280114084496,319466.9896333333,35098.44,1050715.4881666666,14.342,36.16,83612.979845,passive-first,defer
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,100_tick_momentum,409240.3500000001,0.020478144284911265,153.0,statistical/time-series,937.329563192134,100_tick_reversal,45344.45,0.1210190492910125,105.5,statistical/time-series,105.31262368629916,319856.89425000007,39984.615000000005,1097188.0300000003,14.991,36.16,80259.5801,passive-first,defer
UV_VISOR_MAGENTA,UV_VISOR,100_tick_reversal,542448.25,0.046445123772179395,133.5,statistical/time-series,2012.3076152034848,50_tick_momentum,45581.45,0.06123059125107762,119.0,statistical/time-series,248.76591612468744,343560.4405,34851.83000000001,1075680.92,14.189,36.16,79504.904,passive-first,defer
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE,50_tick_momentum,541294.75,0.03252603723031882,107.0,statistical/time-series,1027.7213517004097,100_tick_momentum,37120.15000000001,0.20516249426353322,165.20000000000005,statistical/time-series,176.2900355772592,364315.57105,38671.495,1161407.4940000002,14.869,36.16,73866.57442,passive-first,defer
PANEL_1X2,PANEL,100_tick_reversal,253534.54999999987,0.010165334329144939,114.5,statistical/time-series,1086.8642265405724,100_tick_momentum,42434.45,-0.15323467581502404,111.60000000000002,statistical/time-series,147.4571274555105,258870.8050666667,26918.989999999998,862564.3028333335,11.307,36.16,69560.338285,passive-first,defer
OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE,100_tick_reversal,344159.3500000001,0.02154313040163727,121.0,statistical/time-series,878.4708686285779,50_tick_reversal,37587.899999999994,0.17835097434274175,85.60000000000002,statistical/time-series,123.13052284199411,291712.10870000004,30321.449999999997,964974.0560000001,12.307,36.16,67978.27768,passive-first,defer
ROBOT_VACUUMING,ROBOT,50_tick_momentum,82830.25000000009,0.01016543830281949,82.5,statistical/time-series,524.2409666593805,50_tick_reversal,25119.199999999997,0.11203113338607684,73.0,statistical/time-series,100.62201176860731,356048.7495000001,39350.51000000001,1338321.5950000002,6.502,17.999,67896.72865,passive-first,defer
PANEL_2X2,PANEL,50_tick_reversal,323310.0,0.031173805177686958,87.0,statistical/time-series,744.634608361251,100_tick_momentum,23524.549999999996,-0.056440499326586506,104.0,statistical/time-series,74.83050553193556,335602.7815,39670.61000000001,1241372.98,8.059,25.971,63294.66819999999,passive-first,defer
TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,100_tick_reversal,818691.6000000002,0.053269859531658484,127.0,statistical/time-series,535.5918988342067,100_tick_momentum,16418.75,-0.1163216180687373,156.0,statistical/time-series,150.03585117860618,391110.95784999995,47864.494999999995,1320164.1779999996,9.819,21.929,59067.31493999999,passive-first,defer
SNACKPACK_STRAWBERRY,SNACKPACK,50_tick_reversal,197928.29999999996,0.03458227846546067,70.0,statistical/time-series,417.22172633546705,100_tick_reversal,36053.59999999999,0.10666186387062075,99.30000000000007,statistical/time-series,61.98854617258714,140627.13113333334,11439.759999999998,337591.0656666668,17.928,59.043,45662.272769999996,passive-first,defer
SNACKPACK_VANILLA,SNACKPACK,50_tick_momentum,59855.100000000035,0.016677520684195056,58.5,statistical/time-series,217.8513987054995,100_tick_momentum,39186.90000000001,0.2948922139665758,94.5,statistical/time-series,93.38515123243671,93265.97183333333,6240.3499999999985,179939.89666666667,16.774,59.043,43742.404900000016,passive-first,defer
SNACKPACK_CHOCOLATE,SNACKPACK,50_tick_momentum,77232.75000000003,0.016121171675431572,59.0,statistical/time-series,270.90296848864153,50_tick_momentum,30917.85,0.33706711254087623,54.0,statistical/time-series,101.02034137642431,99274.28866666667,6899.51,198793.79083333336,16.407,59.043,36121.064525,passive-first,defer
SNACKPACK_RASPBERRY,SNACKPACK,100_tick_reversal,212369.34999999998,0.03492050736842268,98.0,statistical/time-series,231.820189932832,100_tick_reversal,11108.950000000004,-0.010692812919929141,118.5,statistical/time-series,89.69434189878507,151993.58104999998,12728.515000000003,373704.23899999994,16.927,59.043,21984.198370000002,passive-first,defer
SNACKPACK_PISTACHIO,SNACKPACK,50_tick_reversal,118860.50000000003,0.03896691347693429,44.5,statistical/time-series,243.68905328168714,25_tick_reversal,10105.649999999998,0.10950501853437983,34.0,statistical/time-series,41.015259922179965,65212.106466666664,3135.899999999999,87312.80733333333,15.685,59.043,11721.106219999998,passive-first,defer
