product,category,style,side,gate,horizon,avg_markout,portal_avg_markout,hit_rate,portal_hit_rate,count,portal_count,full_proxy,portal_proxy,avg_fill_target
TRANSLATOR_SPACE_GRAY,TRANSLATOR,improve,ask,spread_low,100,7.1969,19.6133,0.5402,0.5812,29364,9842,211330.0,193034.0,-11.95
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,join,ask,spread_low,100,5.0426,21.3489,0.5245,0.6009,20527,8805,103509.5,187977.5,-18.12
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE,improve,bid,spread_high,100,6.4189,19.8071,0.5203,0.5953,27949,9473,179402.0,187633.0,18.5
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,join,ask,spread_high,100,12.098,27.4677,0.5389,0.6172,18580,6771,224781.0,185983.5,-18.51
MICROCHIP_SQUARE,MICROCHIP,join,ask,all,50,0.0629,18.4135,0.4932,0.5445,29850,9950,1877.0,183214.5,-5.96
MICROCHIP_SQUARE,MICROCHIP,join,ask,spread_high,50,6.9966,18.6677,0.5083,0.5455,18198,9661,127325.0,180348.5,-5.99
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE,join,bid,all,50,13.9082,18.1204,0.559,0.5741,29850,9950,415160.5,180298.0,18.25
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE,join,bid,imb_buy,50,13.9082,18.1204,0.559,0.5741,29850,9950,415160.5,180298.0,18.25
PEBBLES_XL,PEBBLES,join,bid,spread_high,50,7.5662,22.1442,0.5202,0.5405,18100,8128,136948.0,179988.0,12.51
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,improve,ask,spread_high,100,11.098,26.4677,0.5362,0.6151,18580,6771,206201.0,179212.5,-18.51
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,improve,ask,spread_low,100,4.0426,20.3489,0.5214,0.5982,20527,8805,82982.5,179172.5,-18.12
TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,join,ask,all,100,5.5811,17.907,0.5197,0.5502,29700,9900,165758.0,177279.5,-11.08
TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,join,ask,spread_high,100,7.9958,18.4525,0.5311,0.5537,25605,9445,204732.0,174283.5,-11.23
MICROCHIP_SQUARE,MICROCHIP,improve,ask,all,50,-0.9371,17.4135,0.4904,0.5419,29850,9950,-27973.0,173264.5,-5.96
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE,join,bid,spread_high,50,11.6516,18.037,0.5429,0.5733,23299,9592,271469.5,173010.5,18.49
PEBBLES_XL,PEBBLES,improve,bid,spread_high,50,6.5662,21.1442,0.5176,0.5372,18100,8128,118848.0,171860.0,12.51
MICROCHIP_SQUARE,MICROCHIP,improve,ask,spread_high,50,5.9966,17.6677,0.506,0.5429,18198,9661,109127.0,170687.5,-5.99
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE,improve,bid,all,50,12.9082,17.1204,0.5541,0.5691,29850,9950,385310.5,170348.0,18.25
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE,improve,bid,imb_buy,50,12.9082,17.1204,0.5541,0.5691,29850,9950,385310.5,170348.0,18.25
TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,improve,ask,all,100,4.5811,16.907,0.5158,0.5462,29700,9900,136058.0,167379.5,-11.08
UV_VISOR_YELLOW,UV_VISOR,join,ask,all,50,7.079,16.5896,0.5312,0.5782,29850,9950,211308.0,165067.0,-18.26
TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,improve,ask,spread_high,100,6.9958,17.4525,0.527,0.5495,25605,9445,179127.0,164838.5,-11.23
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE,improve,bid,spread_high,50,10.6516,17.037,0.5382,0.5685,23299,9592,248170.5,163418.5,18.49
PEBBLES_L,PEBBLES,join,ask,all,50,7.8238,15.8901,0.5309,0.5642,29850,9950,233539.0,158106.0,-12.4
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,join,ask,all,50,7.6638,15.8579,0.5327,0.5881,29850,9950,228763.5,157786.0,-18.26
UV_VISOR_YELLOW,UV_VISOR,improve,ask,all,50,6.079,15.5896,0.5264,0.5735,29850,9950,181458.0,155117.0,-18.26
PANEL_4X4,PANEL,join,ask,all,100,7.1096,15.5687,0.5339,0.5872,29700,9900,211155.5,154130.5,-11.33
UV_VISOR_ORANGE,UV_VISOR,join,ask,all,100,8.7575,15.207,0.5298,0.5544,29700,9900,260096.5,150549.0,-18.26
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,join,bid,all,50,13.4315,14.9529,0.572,0.5789,29850,9950,400930.5,148781.5,18.25
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,join,bid,imb_buy,50,13.4315,14.9529,0.572,0.5789,29850,9950,400930.5,148781.5,18.25
PEBBLES_L,PEBBLES,improve,ask,all,50,6.8238,14.8901,0.5269,0.5604,29850,9950,203689.0,148156.0,-12.4
SLEEP_POD_NYLON,SLEEP_POD,join,bid,all,100,6.9474,14.9483,0.5296,0.5374,29700,9900,206338.5,147988.0,11.68
SLEEP_POD_NYLON,SLEEP_POD,join,bid,imb_buy,100,6.9474,14.9483,0.5296,0.5374,29700,9900,206338.5,147988.0,11.68
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,improve,ask,all,50,6.6638,14.8579,0.527,0.5822,29850,9950,198913.5,147836.0,-18.26
SLEEP_POD_POLYESTER,SLEEP_POD,join,ask,all,100,-1.9672,14.9184,0.4868,0.554,29700,9900,-58425.5,147692.5,-10.87
MICROCHIP_RECTANGLE,MICROCHIP,join,bid,spread_low,100,5.4968,14.9642,0.5185,0.5465,22495,9798,123651.0,146619.0,7.3
ROBOT_DISHES,ROBOT,join,bid,all,100,8.2272,14.731,0.5622,0.6673,29700,9900,244348.0,145837.0,7.63
ROBOT_DISHES,ROBOT,join,bid,imb_buy,100,8.2272,14.731,0.5622,0.6673,29700,9900,244348.0,145837.0,7.63
PANEL_2X4,PANEL,join,bid,all,100,12.5708,14.723,0.5489,0.5622,29700,9900,373352.0,145758.0,10.87
PANEL_2X4,PANEL,join,bid,imb_buy,100,12.5708,14.723,0.5489,0.5622,29700,9900,373352.0,145758.0,10.87
PANEL_4X4,PANEL,improve,ask,all,100,6.1096,14.5687,0.5299,0.5828,29700,9900,181455.5,144230.5,-11.33
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,join,bid,spread_high,50,12.8055,14.9233,0.5669,0.5782,25147,9602,322019.0,143294.0,18.47
SLEEP_POD_NYLON,SLEEP_POD,join,bid,spread_low,100,7.1918,17.4444,0.5327,0.5491,27871,8080,200441.5,140950.5,11.73
UV_VISOR_ORANGE,UV_VISOR,improve,ask,all,100,7.7575,14.207,0.5264,0.5502,29700,9900,230396.5,140649.0,-18.26
MICROCHIP_RECTANGLE,MICROCHIP,join,bid,all,100,0.4179,14.2062,0.5032,0.5442,29700,9900,12410.5,140641.0,7.21
MICROCHIP_RECTANGLE,MICROCHIP,join,bid,imb_buy,100,0.4179,14.2062,0.5032,0.5442,29700,9900,12410.5,140641.0,7.21
PANEL_4X4,PANEL,join,ask,spread_high,100,9.8232,17.7144,0.5472,0.5989,22823,7904,224195.0,140014.5,-11.57
SLEEP_POD_POLYESTER,SLEEP_POD,join,ask,spread_high,100,8.5737,15.0911,0.525,0.556,14963,9276,128288.5,139985.0,-11.01
PEBBLES_L,PEBBLES,join,ask,spread_high,50,10.2898,17.9257,0.5395,0.5698,23185,7789,238569.5,139623.0,-12.5
UV_VISOR_YELLOW,UV_VISOR,join,ask,spread_low,100,-0.7159,18.6447,0.4974,0.5849,17912,7478,-12822.5,139425.0,-18.1
ROBOT_DISHES,ROBOT,join,bid,spread_high,100,7.7583,14.5633,0.5624,0.6716,28179,9553,218620.5,139123.5,7.72
MICROCHIP_TRIANGLE,MICROCHIP,join,ask,all,100,10.3702,14.0265,0.5323,0.5368,29700,9900,307993.5,138862.5,-6.43
MICROCHIP_TRIANGLE,MICROCHIP,join,ask,spread_low,100,5.5807,14.0265,0.5187,0.5368,25518,9900,142409.0,138862.5,-6.51
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,improve,bid,all,50,12.4315,13.9529,0.5666,0.5749,29850,9950,371080.5,138831.5,18.25
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,improve,bid,imb_buy,50,12.4315,13.9529,0.5666,0.5749,29850,9950,371080.5,138831.5,18.25
SLEEP_POD_NYLON,SLEEP_POD,improve,bid,all,100,5.9474,13.9483,0.5263,0.5339,29700,9900,176638.5,138088.0,11.68
SLEEP_POD_NYLON,SLEEP_POD,improve,bid,imb_buy,100,5.9474,13.9483,0.5263,0.5339,29700,9900,176638.5,138088.0,11.68
PEBBLES_S,PEBBLES,join,ask,all,100,13.2048,13.9312,0.5338,0.531,29700,9900,392184.0,137919.0,-12.4
PEBBLES_S,PEBBLES,join,ask,spread_low,100,6.1247,13.9312,0.5188,0.531,23070,9900,141296.0,137919.0,-12.37
SLEEP_POD_POLYESTER,SLEEP_POD,improve,ask,all,100,-2.9672,13.9184,0.4827,0.5502,29700,9900,-88125.5,137792.5,-10.87
MICROCHIP_RECTANGLE,MICROCHIP,improve,bid,spread_low,100,4.4968,13.9642,0.5155,0.5444,22495,9798,101156.0,136821.0,7.3
PANEL_1X2,PANEL,join,bid,all,100,4.8054,13.7967,0.5184,0.5675,29700,9900,142719.0,136587.0,18.25
PANEL_1X2,PANEL,join,bid,imb_buy,100,4.8054,13.7967,0.5184,0.5675,29700,9900,142719.0,136587.0,18.25
UV_VISOR_RED,UV_VISOR,join,bid,all,100,12.4117,13.7621,0.5496,0.5446,29700,9900,368626.5,136245.0,18.25
UV_VISOR_RED,UV_VISOR,join,bid,imb_buy,100,12.4117,13.7621,0.5496,0.5446,29700,9900,368626.5,136245.0,18.25
ROBOT_DISHES,ROBOT,improve,bid,all,100,7.2272,13.731,0.5591,0.6662,29700,9900,214648.0,135937.0,7.63
ROBOT_DISHES,ROBOT,improve,bid,imb_buy,100,7.2272,13.731,0.5591,0.6662,29700,9900,214648.0,135937.0,7.63
PANEL_2X4,PANEL,improve,bid,all,100,11.5708,13.723,0.5454,0.5589,29700,9900,343652.0,135858.0,10.87
PANEL_2X4,PANEL,improve,bid,imb_buy,100,11.5708,13.723,0.5454,0.5589,29700,9900,343652.0,135858.0,10.87
MICROCHIP_CIRCLE,MICROCHIP,join,bid,all,50,4.7489,13.5994,0.5295,0.5709,29850,9950,141756.0,135314.0,6.77
MICROCHIP_CIRCLE,MICROCHIP,join,bid,imb_buy,50,4.7489,13.5994,0.5295,0.5709,29850,9950,141756.0,135314.0,6.77
PANEL_2X4,PANEL,join,bid,spread_high,100,8.8338,14.4534,0.5327,0.5624,22744,9351,200916.0,135154.0,10.99
PANEL_1X2,PANEL,join,bid,spread_low,100,7.9718,17.8487,0.5293,0.579,24709,7504,196974.5,133937.0,18.22
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,improve,bid,spread_high,50,11.8055,13.9233,0.5621,0.5744,25147,9602,296872.0,133692.0,18.47
SLEEP_POD_NYLON,SLEEP_POD,improve,bid,spread_low,100,6.1918,16.4444,0.5293,0.5454,27871,8080,172570.5,132870.5,11.73
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE,join,bid,all,50,7.0269,13.3407,0.5422,0.594,29850,9950,209754.0,132739.5,18.25
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE,join,bid,imb_buy,50,7.0269,13.3407,0.5422,0.594,29850,9950,209754.0,132739.5,18.25
UV_VISOR_RED,UV_VISOR,join,bid,spread_high,100,8.561,13.8737,0.5369,0.5454,24308,9553,208102.0,132535.5,18.49
PANEL_4X4,PANEL,improve,ask,spread_high,100,8.8232,16.7144,0.5431,0.5944,22823,7904,201372.0,132110.5,-11.57
SLEEP_POD_COTTON,SLEEP_POD,join,ask,spread_high,100,5.2202,13.838,0.516,0.571,23397,9536,122136.5,131959.0,-10.99
UV_VISOR_YELLOW,UV_VISOR,improve,ask,spread_low,100,-1.7159,17.6447,0.4934,0.5805,17912,7478,-30734.5,131947.0,-18.1
PEBBLES_L,PEBBLES,improve,ask,spread_high,50,9.2898,16.9257,0.5353,0.5654,23185,7789,215384.5,131834.0,-12.5
SLEEP_POD_COTTON,SLEEP_POD,join,ask,all,100,0.593,13.2877,0.5039,0.5692,29700,9900,17611.5,131548.5,-10.87
MICROCHIP_RECTANGLE,MICROCHIP,improve,bid,all,100,-0.5821,13.2062,0.5002,0.5421,29700,9900,-17289.5,130741.0,7.21
MICROCHIP_RECTANGLE,MICROCHIP,improve,bid,imb_buy,100,-0.5821,13.2062,0.5002,0.5421,29700,9900,-17289.5,130741.0,7.21
SLEEP_POD_POLYESTER,SLEEP_POD,improve,ask,spread_high,100,7.5737,14.0911,0.5212,0.5524,14963,9276,113325.5,130709.0,-11.01
PEBBLES_XL,PEBBLES,join,bid,all,10,10.3464,13.0367,0.5343,0.5498,29970,9990,310080.5,130237.0,12.41
PEBBLES_XL,PEBBLES,join,bid,imb_buy,10,10.3464,13.0367,0.5343,0.5498,29970,9990,310080.5,130237.0,12.41
MICROCHIP_CIRCLE,MICROCHIP,join,bid,spread_high,50,4.5165,13.7115,0.5276,0.5703,28446,9458,128477.5,129683.5,6.83
ROBOT_DISHES,ROBOT,improve,bid,spread_high,100,6.7583,13.5633,0.5593,0.6705,28179,9553,190441.5,129570.5,7.72
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,join,ask,spread_high,100,6.577,14.4928,0.5187,0.5446,27240,8937,179158.0,129522.0,-18.5
MICROCHIP_TRIANGLE,MICROCHIP,improve,ask,all,100,9.3702,13.0265,0.5297,0.534,29700,9900,278293.5,128962.5,-6.43
MICROCHIP_TRIANGLE,MICROCHIP,improve,ask,spread_low,100,4.5807,13.0265,0.516,0.534,25518,9900,116891.0,128962.5,-6.51
TRANSLATOR_VOID_BLUE,TRANSLATOR,join,bid,spread_low,100,11.3693,14.3756,0.5317,0.5343,28287,8937,321602.5,128474.5,10.9
UV_VISOR_ORANGE,UV_VISOR,join,ask,spread_high,100,9.7381,13.8255,0.5305,0.5452,26565,9270,258693.0,128162.5,-18.51
PEBBLES_S,PEBBLES,improve,ask,all,100,12.2048,12.9312,0.5312,0.5279,29700,9900,362484.0,128019.0,-12.4
PEBBLES_S,PEBBLES,improve,ask,spread_low,100,5.1247,12.9312,0.5157,0.5279,23070,9900,118226.0,128019.0,-12.37
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE,join,bid,spread_high,50,6.7747,13.4331,0.5404,0.5946,28094,9522,190328.0,127910.0,18.5
PEBBLES_L,PEBBLES,join,ask,spread_low,100,2.4288,32.7723,0.503,0.6066,19012,3894,46175.5,127615.5,-12.34
MICROCHIP_OVAL,MICROCHIP,join,ask,all,50,11.2896,12.7477,0.5598,0.5766,29850,9950,336993.5,126840.0,-7.74
MICROCHIP_OVAL,MICROCHIP,join,ask,spread_low,50,10.6891,12.7477,0.5602,0.5766,20892,9950,223317.0,126840.0,-8.24
PANEL_1X2,PANEL,improve,bid,all,100,3.8054,12.7967,0.5143,0.5618,29700,9900,113019.0,126687.0,18.25
PANEL_1X2,PANEL,improve,bid,imb_buy,100,3.8054,12.7967,0.5143,0.5618,29700,9900,113019.0,126687.0,18.25
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,join,ask,spread_low,50,5.6735,14.2792,0.5261,0.5779,20622,8855,116998.0,126442.5,-18.13
PANEL_1X2,PANEL,improve,bid,spread_low,100,6.9718,16.8487,0.525,0.5728,24709,7504,172265.5,126433.0,18.22
UV_VISOR_RED,UV_VISOR,improve,bid,all,100,11.4117,12.7621,0.5461,0.5401,29700,9900,338926.5,126345.0,18.25
UV_VISOR_RED,UV_VISOR,improve,bid,imb_buy,100,11.4117,12.7621,0.5461,0.5401,29700,9900,338926.5,126345.0,18.25
PEBBLES_XL,PEBBLES,join,bid,spread_low,50,28.1666,41.1251,0.5501,0.5658,19049,3070,536546.0,126254.0,12.35
PANEL_2X4,PANEL,improve,bid,spread_high,100,7.8338,13.4534,0.5293,0.5591,22744,9351,178172.0,125803.0,10.99
MICROCHIP_CIRCLE,MICROCHIP,improve,bid,all,50,3.7489,12.5994,0.5229,0.564,29850,9950,111906.0,125364.0,6.77
MICROCHIP_CIRCLE,MICROCHIP,improve,bid,imb_buy,50,3.7489,12.5994,0.5229,0.564,29850,9950,111906.0,125364.0,6.77
PEBBLES_L,PEBBLES,improve,ask,spread_low,100,1.4288,31.7723,0.5005,0.6035,19012,3894,27163.5,123721.5,-12.34
UV_VISOR_YELLOW,UV_VISOR,join,ask,spread_high,50,8.7026,24.8218,0.535,0.6074,20666,4974,179848.5,123463.5,-18.51
PEBBLES_XL,PEBBLES,improve,bid,spread_low,50,27.1666,40.1251,0.5485,0.5655,19049,3070,517497.0,123184.0,12.35
UV_VISOR_RED,UV_VISOR,improve,bid,spread_high,100,7.561,12.8737,0.5332,0.5407,24308,9553,183794.0,122982.5,18.49
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE,improve,bid,all,50,6.0269,12.3407,0.5379,0.5886,29850,9950,179904.0,122789.5,18.25
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE,improve,bid,imb_buy,50,6.0269,12.3407,0.5379,0.5886,29850,9950,179904.0,122789.5,18.25
PANEL_4X4,PANEL,join,ask,spread_low,100,5.6071,15.5053,0.5273,0.588,26688,7911,149643.5,122662.5,-11.37
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,join,ask,spread_high,100,13.6294,14.1047,0.5516,0.5328,15041,8695,205000.0,122640.0,-18.49
SLEEP_POD_COTTON,SLEEP_POD,improve,ask,spread_high,100,4.2202,12.838,0.5126,0.5677,23397,9536,98739.5,122423.0,-10.99
SLEEP_POD_COTTON,SLEEP_POD,improve,ask,all,100,-0.407,12.2877,0.5006,0.5659,29700,9900,-12088.5,121648.5,-10.87
TRANSLATOR_SPACE_GRAY,TRANSLATOR,join,ask,all,50,6.4837,12.2106,0.537,0.5848,29850,9950,193539.0,121495.0,-11.95
MICROCHIP_CIRCLE,MICROCHIP,join,bid,spread_low,100,7.626,26.3541,0.5253,0.5926,19444,4590,148280.5,120965.5,6.4
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,improve,ask,spread_high,100,5.577,13.4928,0.5155,0.5408,27240,8937,151918.0,120585.0,-18.5
PEBBLES_XL,PEBBLES,improve,bid,all,10,9.3464,12.0367,0.5306,0.5461,29970,9990,280110.5,120247.0,12.41
PEBBLES_XL,PEBBLES,improve,bid,imb_buy,10,9.3464,12.0367,0.5306,0.5461,29970,9990,280110.5,120247.0,12.41
MICROCHIP_CIRCLE,MICROCHIP,improve,bid,spread_high,50,3.5165,12.7115,0.521,0.5633,28446,9458,100031.5,120225.5,6.83
