lead,lag,lead_category,lag_category,same_category,lookback,horizon,ic,abs_ic,full_proxy,portal_proxy,count,portal_count
GALAXY_SOUNDS_SOLAR_FLAMES,MICROCHIP_SQUARE,GALAXY_SOUNDS,MICROCHIP,False,200,50,0.05875,0.05875,264967.5,166040.5,29250,9750
UV_VISOR_AMBER,PEBBLES_L,UV_VISOR,PEBBLES,False,200,50,0.02697,0.02697,129737.5,164514.0,29250,9750
ROBOT_MOPPING,MICROCHIP_SQUARE,ROBOT,MICROCHIP,False,50,50,-0.00179,0.00179,9262.0,163325.5,29700,9900
GALAXY_SOUNDS_PLANETARY_RINGS,PEBBLES_XL,GALAXY_SOUNDS,PEBBLES,False,50,50,-0.00776,0.00776,66588.0,159374.5,29700,9900
UV_VISOR_AMBER,PEBBLES_XL,UV_VISOR,PEBBLES,False,100,50,0.05141,0.05141,344505.5,158611.5,29550,9850
PANEL_1X4,PEBBLES_XL,PANEL,PEBBLES,False,100,50,0.01674,0.01674,26406.0,157312.5,29550,9850
PEBBLES_XS,MICROCHIP_SQUARE,PEBBLES,MICROCHIP,False,200,50,0.01254,0.01254,27351.0,154863.0,29250,9750
SLEEP_POD_SUEDE,MICROCHIP_SQUARE,SLEEP_POD,MICROCHIP,False,200,50,-0.00755,0.00755,110864.5,154149.5,29250,9750
OXYGEN_SHAKE_CHOCOLATE,PEBBLES_XL,OXYGEN_SHAKE,PEBBLES,False,200,50,-0.00926,0.00926,-64257.0,152868.0,29250,9750
UV_VISOR_RED,PEBBLES_XL,UV_VISOR,PEBBLES,False,50,50,-0.00399,0.00399,67031.0,147807.5,29700,9900
PANEL_1X2,MICROCHIP_SQUARE,PANEL,MICROCHIP,False,100,50,0.00701,0.00701,93952.0,144130.5,29550,9850
GALAXY_SOUNDS_SOLAR_WINDS,PEBBLES_XL,GALAXY_SOUNDS,PEBBLES,False,200,50,0.00947,0.00947,155800.5,143699.0,29250,9750
MICROCHIP_OVAL,SLEEP_POD_POLYESTER,MICROCHIP,SLEEP_POD,False,100,50,-0.00071,0.00071,-33403.5,143692.5,29550,9850
SNACKPACK_CHOCOLATE,GALAXY_SOUNDS_SOLAR_WINDS,SNACKPACK,GALAXY_SOUNDS,False,200,50,0.08515,0.08515,213784.0,143520.0,29250,9750
PEBBLES_M,PEBBLES_XL,PEBBLES,PEBBLES,True,200,50,0.0734,0.0734,318466.5,143381.5,29250,9750
TRANSLATOR_VOID_BLUE,GALAXY_SOUNDS_PLANETARY_RINGS,TRANSLATOR,GALAXY_SOUNDS,False,200,50,0.04872,0.04872,144855.0,139411.5,29250,9750
GALAXY_SOUNDS_PLANETARY_RINGS,MICROCHIP_SQUARE,GALAXY_SOUNDS,MICROCHIP,False,50,50,0.04449,0.04449,294656.5,139373.5,29700,9900
TRANSLATOR_ECLIPSE_CHARCOAL,UV_VISOR_ORANGE,TRANSLATOR,UV_VISOR,False,100,50,0.08049,0.08049,154239.0,138595.5,29550,9850
PEBBLES_XS,MICROCHIP_SQUARE,PEBBLES,MICROCHIP,False,100,50,0.01396,0.01396,34979.0,138271.0,29550,9850
ROBOT_MOPPING,MICROCHIP_SQUARE,ROBOT,MICROCHIP,False,100,50,0.01368,0.01368,44778.0,137076.5,29550,9850
SNACKPACK_CHOCOLATE,GALAXY_SOUNDS_SOLAR_WINDS,SNACKPACK,GALAXY_SOUNDS,False,100,50,0.07091,0.07091,154009.0,132225.0,29550,9850
PEBBLES_XL,PEBBLES_XS,PEBBLES,PEBBLES,True,100,50,0.0736,0.0736,132248.5,132153.5,29550,9850
UV_VISOR_MAGENTA,PEBBLES_S,UV_VISOR,PEBBLES,False,200,50,0.0268,0.0268,48004.0,132016.0,29250,9750
ROBOT_VACUUMING,MICROCHIP_SQUARE,ROBOT,MICROCHIP,False,50,50,0.01427,0.01427,33422.5,129905.0,29700,9900
SNACKPACK_RASPBERRY,MICROCHIP_CIRCLE,SNACKPACK,MICROCHIP,False,200,50,0.03966,0.03966,155955.5,129430.0,29250,9750
MICROCHIP_SQUARE,PEBBLES_S,MICROCHIP,PEBBLES,False,200,50,0.01042,0.01042,57223.0,128984.0,29250,9750
OXYGEN_SHAKE_MORNING_BREATH,MICROCHIP_SQUARE,OXYGEN_SHAKE,MICROCHIP,False,100,50,0.00763,0.00763,26689.0,128868.0,29550,9850
OXYGEN_SHAKE_MINT,PEBBLES_XL,OXYGEN_SHAKE,PEBBLES,False,200,50,-0.03741,0.03741,-152086.0,127920.5,29250,9750
SLEEP_POD_COTTON,PEBBLES_S,SLEEP_POD,PEBBLES,False,50,50,0.05349,0.05349,130474.5,127788.0,29700,9900
PEBBLES_M,MICROCHIP_RECTANGLE,PEBBLES,MICROCHIP,False,200,50,0.01993,0.01993,55739.5,125569.5,29250,9750
PEBBLES_S,MICROCHIP_SQUARE,PEBBLES,MICROCHIP,False,200,50,0.03457,0.03457,13404.5,125490.0,29250,9750
GALAXY_SOUNDS_SOLAR_FLAMES,SLEEP_POD_COTTON,GALAXY_SOUNDS,SLEEP_POD,False,100,50,0.06806,0.06806,201533.5,125247.0,29550,9850
PEBBLES_XS,MICROCHIP_SQUARE,PEBBLES,MICROCHIP,False,50,50,0.02017,0.02017,130377.0,124785.0,29700,9900
MICROCHIP_CIRCLE,PEBBLES_XL,MICROCHIP,PEBBLES,False,5,50,0.0251,0.0251,127190.5,124261.0,29835,9945
UV_VISOR_AMBER,PANEL_1X4,UV_VISOR,PANEL,False,100,50,0.1064,0.1064,183146.5,123358.5,29550,9850
TRANSLATOR_ECLIPSE_CHARCOAL,PEBBLES_M,TRANSLATOR,PEBBLES,False,200,50,0.01464,0.01464,139988.0,123191.0,29250,9750
ROBOT_LAUNDRY,GALAXY_SOUNDS_DARK_MATTER,ROBOT,GALAXY_SOUNDS,False,200,50,0.09406,0.09406,164967.0,121634.0,29250,9750
PEBBLES_S,MICROCHIP_SQUARE,PEBBLES,MICROCHIP,False,100,50,0.04938,0.04938,131048.5,120807.0,29550,9850
GALAXY_SOUNDS_DARK_MATTER,UV_VISOR_YELLOW,GALAXY_SOUNDS,UV_VISOR,False,100,50,0.04226,0.04226,83655.0,119575.5,29550,9850
SNACKPACK_CHOCOLATE,OXYGEN_SHAKE_GARLIC,SNACKPACK,OXYGEN_SHAKE,False,200,50,0.05736,0.05736,123490.5,119209.0,29250,9750
GALAXY_SOUNDS_SOLAR_FLAMES,TRANSLATOR_ASTRO_BLACK,GALAXY_SOUNDS,TRANSLATOR,False,200,50,0.04874,0.04874,96529.0,119102.5,29250,9750
OXYGEN_SHAKE_CHOCOLATE,UV_VISOR_RED,OXYGEN_SHAKE,UV_VISOR,False,200,50,0.05464,0.05464,88522.5,117589.5,29250,9750
TRANSLATOR_ECLIPSE_CHARCOAL,PEBBLES_XL,TRANSLATOR,PEBBLES,False,100,50,0.02034,0.02034,30516.5,117110.5,29550,9850
TRANSLATOR_VOID_BLUE,SLEEP_POD_COTTON,TRANSLATOR,SLEEP_POD,False,100,50,0.03444,0.03444,90526.5,116013.0,29550,9850
MICROCHIP_SQUARE,PEBBLES_XL,MICROCHIP,PEBBLES,False,50,50,0.04045,0.04045,133874.5,116010.0,29700,9900
TRANSLATOR_VOID_BLUE,UV_VISOR_ORANGE,TRANSLATOR,UV_VISOR,False,100,50,0.0815,0.0815,141529.0,115912.0,29550,9850
OXYGEN_SHAKE_MINT,MICROCHIP_TRIANGLE,OXYGEN_SHAKE,MICROCHIP,False,50,50,0.0239,0.0239,54549.5,115633.5,29700,9900
ROBOT_IRONING,UV_VISOR_MAGENTA,ROBOT,UV_VISOR,False,200,50,0.04272,0.04272,85121.5,115514.0,29250,9750
GALAXY_SOUNDS_SOLAR_WINDS,OXYGEN_SHAKE_MINT,GALAXY_SOUNDS,OXYGEN_SHAKE,False,200,50,0.08141,0.08141,177869.5,115277.5,29250,9750
TRANSLATOR_VOID_BLUE,UV_VISOR_ORANGE,TRANSLATOR,UV_VISOR,False,50,50,0.0722,0.0722,124809.5,114881.5,29700,9900
TRANSLATOR_VOID_BLUE,PEBBLES_M,TRANSLATOR,PEBBLES,False,200,50,-0.02592,0.02592,489.0,114752.0,29250,9750
MICROCHIP_TRIANGLE,GALAXY_SOUNDS_SOLAR_WINDS,MICROCHIP,GALAXY_SOUNDS,False,100,50,0.08814,0.08814,184256.5,114106.0,29550,9850
SLEEP_POD_SUEDE,MICROCHIP_SQUARE,SLEEP_POD,MICROCHIP,False,100,50,0.01974,0.01974,114454.0,114076.5,29550,9850
ROBOT_VACUUMING,PEBBLES_M,ROBOT,PEBBLES,False,100,50,0.07856,0.07856,219860.5,113730.5,29550,9850
UV_VISOR_AMBER,MICROCHIP_SQUARE,UV_VISOR,MICROCHIP,False,100,50,-0.00941,0.00941,-53792.5,113399.0,29550,9850
GALAXY_SOUNDS_SOLAR_FLAMES,OXYGEN_SHAKE_GARLIC,GALAXY_SOUNDS,OXYGEN_SHAKE,False,200,50,0.05374,0.05374,210880.0,113330.5,29250,9750
OXYGEN_SHAKE_MINT,GALAXY_SOUNDS_SOLAR_WINDS,OXYGEN_SHAKE,GALAXY_SOUNDS,False,100,50,0.04298,0.04298,94023.0,112227.5,29550,9850
SNACKPACK_RASPBERRY,OXYGEN_SHAKE_GARLIC,SNACKPACK,OXYGEN_SHAKE,False,200,50,0.01858,0.01858,18389.0,112070.5,29250,9750
ROBOT_MOPPING,MICROCHIP_RECTANGLE,ROBOT,MICROCHIP,False,100,50,-0.01567,0.01567,-33619.0,112029.5,29550,9850
PEBBLES_S,SLEEP_POD_LAMB_WOOL,PEBBLES,SLEEP_POD,False,200,50,0.09039,0.09039,113886.5,111746.0,29250,9750
MICROCHIP_CIRCLE,PEBBLES_M,MICROCHIP,PEBBLES,False,200,50,0.04448,0.04448,94771.0,111051.0,29250,9750
PANEL_1X2,PEBBLES_S,PANEL,PEBBLES,False,200,50,0.0103,0.0103,27042.5,110983.0,29250,9750
PEBBLES_XL,PEBBLES_XS,PEBBLES,PEBBLES,True,50,50,0.05318,0.05318,124361.0,110790.0,29700,9900
OXYGEN_SHAKE_MORNING_BREATH,PANEL_1X2,OXYGEN_SHAKE,PANEL,False,100,50,0.01556,0.01556,88302.5,110670.5,29550,9850
MICROCHIP_CIRCLE,UV_VISOR_RED,MICROCHIP,UV_VISOR,False,200,50,0.0044,0.0044,29484.0,110650.0,29250,9750
SLEEP_POD_LAMB_WOOL,TRANSLATOR_SPACE_GRAY,SLEEP_POD,TRANSLATOR,False,200,50,0.02451,0.02451,44725.0,110551.5,29250,9750
UV_VISOR_RED,MICROCHIP_TRIANGLE,UV_VISOR,MICROCHIP,False,100,50,0.02676,0.02676,42012.0,110185.5,29550,9850
MICROCHIP_CIRCLE,OXYGEN_SHAKE_CHOCOLATE,MICROCHIP,OXYGEN_SHAKE,False,200,50,0.06246,0.06246,114301.5,109735.5,29250,9750
UV_VISOR_AMBER,PANEL_2X4,UV_VISOR,PANEL,False,100,50,0.00651,0.00651,32550.5,109368.0,29550,9850
UV_VISOR_YELLOW,MICROCHIP_SQUARE,UV_VISOR,MICROCHIP,False,200,50,-0.02136,0.02136,-1511.5,109178.0,29250,9750
UV_VISOR_MAGENTA,UV_VISOR_RED,UV_VISOR,UV_VISOR,True,200,50,0.00803,0.00803,99030.5,108625.0,29250,9750
PEBBLES_M,MICROCHIP_RECTANGLE,PEBBLES,MICROCHIP,False,100,50,0.05568,0.05568,135151.0,108187.5,29550,9850
UV_VISOR_MAGENTA,PEBBLES_S,UV_VISOR,PEBBLES,False,50,50,0.044,0.044,108941.5,107376.5,29700,9900
SNACKPACK_PISTACHIO,SLEEP_POD_POLYESTER,SNACKPACK,SLEEP_POD,False,200,50,0.03145,0.03145,145129.5,107000.5,29250,9750
OXYGEN_SHAKE_CHOCOLATE,PEBBLES_XL,OXYGEN_SHAKE,PEBBLES,False,50,50,-0.03064,0.03064,-624.0,106446.0,29700,9900
GALAXY_SOUNDS_BLACK_HOLES,OXYGEN_SHAKE_GARLIC,GALAXY_SOUNDS,OXYGEN_SHAKE,False,200,50,0.02569,0.02569,52017.0,106037.0,29250,9750
UV_VISOR_AMBER,PEBBLES_XL,UV_VISOR,PEBBLES,False,50,50,0.05531,0.05531,217665.0,105999.0,29700,9900
SNACKPACK_VANILLA,SLEEP_POD_SUEDE,SNACKPACK,SLEEP_POD,False,100,50,0.01726,0.01726,72791.0,105153.5,29550,9850
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,OXYGEN_SHAKE,True,200,50,0.0706,0.0706,101857.5,104664.0,29250,9750
UV_VISOR_YELLOW,TRANSLATOR_VOID_BLUE,UV_VISOR,TRANSLATOR,False,100,50,0.03029,0.03029,60256.5,104611.5,29550,9850
UV_VISOR_ORANGE,MICROCHIP_SQUARE,UV_VISOR,MICROCHIP,False,200,50,0.06722,0.06722,211308.5,104533.5,29250,9750
OXYGEN_SHAKE_MINT,GALAXY_SOUNDS_SOLAR_WINDS,OXYGEN_SHAKE,GALAXY_SOUNDS,False,50,50,0.02986,0.02986,114977.5,104322.5,29700,9900
MICROCHIP_CIRCLE,UV_VISOR_RED,MICROCHIP,UV_VISOR,False,50,50,0.04806,0.04806,124128.0,104139.0,29700,9900
PEBBLES_L,PEBBLES_XL,PEBBLES,PEBBLES,True,10,50,0.00765,0.00765,103443.0,103848.0,29820,9940
ROBOT_MOPPING,PANEL_2X4,ROBOT,PANEL,False,200,50,0.0591,0.0591,166710.0,103584.0,29250,9750
SNACKPACK_STRAWBERRY,SLEEP_POD_POLYESTER,SNACKPACK,SLEEP_POD,False,200,50,0.04318,0.04318,155064.0,103131.0,29250,9750
TRANSLATOR_ASTRO_BLACK,PEBBLES_L,TRANSLATOR,PEBBLES,False,50,50,0.08105,0.08105,168812.5,102833.0,29700,9900
OXYGEN_SHAKE_EVENING_BREATH,GALAXY_SOUNDS_BLACK_HOLES,OXYGEN_SHAKE,GALAXY_SOUNDS,False,200,50,0.03594,0.03594,69758.5,102308.5,29250,9750
PEBBLES_XL,PEBBLES_M,PEBBLES,PEBBLES,True,100,50,0.09649,0.09649,262456.0,102201.0,29550,9850
OXYGEN_SHAKE_MORNING_BREATH,MICROCHIP_SQUARE,OXYGEN_SHAKE,MICROCHIP,False,50,50,-0.0122,0.0122,-20040.0,102200.5,29700,9900
TRANSLATOR_ECLIPSE_CHARCOAL,PEBBLES_XL,TRANSLATOR,PEBBLES,False,50,50,0.01902,0.01902,15819.0,102011.5,29700,9900
GALAXY_SOUNDS_SOLAR_WINDS,PEBBLES_XL,GALAXY_SOUNDS,PEBBLES,False,100,50,0.00953,0.00953,103919.0,101761.5,29550,9850
UV_VISOR_MAGENTA,PEBBLES_S,UV_VISOR,PEBBLES,False,100,50,0.02485,0.02485,82223.0,101677.5,29550,9850
UV_VISOR_ORANGE,TRANSLATOR_GRAPHITE_MIST,UV_VISOR,TRANSLATOR,False,100,50,0.07747,0.07747,130487.5,101514.5,29550,9850
TRANSLATOR_GRAPHITE_MIST,PANEL_4X4,TRANSLATOR,PANEL,False,200,50,0.07639,0.07639,134532.5,101371.5,29250,9750
ROBOT_DISHES,MICROCHIP_SQUARE,ROBOT,MICROCHIP,False,50,50,0.05819,0.05819,242778.0,100612.5,29700,9900
UV_VISOR_ORANGE,MICROCHIP_TRIANGLE,UV_VISOR,MICROCHIP,False,200,50,0.00794,0.00794,-1610.0,100512.5,29250,9750
SLEEP_POD_POLYESTER,MICROCHIP_SQUARE,SLEEP_POD,MICROCHIP,False,100,50,0.0015,0.0015,27654.5,100448.5,29550,9850
SLEEP_POD_POLYESTER,MICROCHIP_RECTANGLE,SLEEP_POD,MICROCHIP,False,100,50,0.06635,0.06635,148330.0,100348.5,29550,9850
TRANSLATOR_VOID_BLUE,SLEEP_POD_COTTON,TRANSLATOR,SLEEP_POD,False,200,50,0.04428,0.04428,109372.5,99995.5,29250,9750
SLEEP_POD_POLYESTER,MICROCHIP_RECTANGLE,SLEEP_POD,MICROCHIP,False,50,50,0.05491,0.05491,102650.0,99635.5,29700,9900
TRANSLATOR_GRAPHITE_MIST,PEBBLES_XL,TRANSLATOR,PEBBLES,False,10,50,0.0071,0.0071,107105.0,99116.0,29820,9940
GALAXY_SOUNDS_BLACK_HOLES,SLEEP_POD_NYLON,GALAXY_SOUNDS,SLEEP_POD,False,100,50,0.01098,0.01098,39049.5,98892.5,29550,9850
TRANSLATOR_VOID_BLUE,GALAXY_SOUNDS_PLANETARY_RINGS,TRANSLATOR,GALAXY_SOUNDS,False,100,50,0.04283,0.04283,97429.5,98871.0,29550,9850
GALAXY_SOUNDS_DARK_MATTER,PEBBLES_XL,GALAXY_SOUNDS,PEBBLES,False,100,50,0.02663,0.02663,206975.0,98866.0,29550,9850
GALAXY_SOUNDS_SOLAR_WINDS,OXYGEN_SHAKE_MORNING_BREATH,GALAXY_SOUNDS,OXYGEN_SHAKE,False,100,50,0.06986,0.06986,126292.0,98628.5,29550,9850
SNACKPACK_CHOCOLATE,MICROCHIP_SQUARE,SNACKPACK,MICROCHIP,False,100,50,-0.00427,0.00427,132627.0,98479.5,29550,9850
ROBOT_VACUUMING,MICROCHIP_SQUARE,ROBOT,MICROCHIP,False,200,50,-0.0072,0.0072,46839.5,98082.0,29250,9750
SLEEP_POD_LAMB_WOOL,GALAXY_SOUNDS_PLANETARY_RINGS,SLEEP_POD,GALAXY_SOUNDS,False,200,50,-0.01153,0.01153,-9765.0,97980.0,29250,9750
OXYGEN_SHAKE_GARLIC,SLEEP_POD_POLYESTER,OXYGEN_SHAKE,SLEEP_POD,False,200,50,0.03979,0.03979,93389.0,97432.5,29250,9750
PANEL_2X2,MICROCHIP_SQUARE,PANEL,MICROCHIP,False,200,50,0.05128,0.05128,238453.5,97136.5,29250,9750
ROBOT_LAUNDRY,GALAXY_SOUNDS_DARK_MATTER,ROBOT,GALAXY_SOUNDS,False,100,50,0.07456,0.07456,169837.5,97004.0,29550,9850
UV_VISOR_RED,MICROCHIP_TRIANGLE,UV_VISOR,MICROCHIP,False,200,50,0.00367,0.00367,-26685.5,96684.5,29250,9750
PANEL_2X2,UV_VISOR_YELLOW,PANEL,UV_VISOR,False,200,50,-0.01069,0.01069,41327.0,96681.5,29250,9750
GALAXY_SOUNDS_BLACK_HOLES,PEBBLES_S,GALAXY_SOUNDS,PEBBLES,False,200,50,0.05822,0.05822,133573.0,96460.5,29250,9750
MICROCHIP_OVAL,UV_VISOR_YELLOW,MICROCHIP,UV_VISOR,False,200,50,0.07681,0.07681,143142.5,96424.0,29250,9750
OXYGEN_SHAKE_CHOCOLATE,TRANSLATOR_VOID_BLUE,OXYGEN_SHAKE,TRANSLATOR,False,50,50,0.04128,0.04128,97589.5,96208.5,29700,9900
ROBOT_IRONING,OXYGEN_SHAKE_EVENING_BREATH,ROBOT,OXYGEN_SHAKE,False,200,50,-0.00277,0.00277,42770.5,96066.0,29250,9750
OXYGEN_SHAKE_MORNING_BREATH,PEBBLES_M,OXYGEN_SHAKE,PEBBLES,False,50,50,-0.02589,0.02589,-48531.5,95936.5,29700,9900
PEBBLES_M,ROBOT_MOPPING,PEBBLES,ROBOT,False,200,50,0.03459,0.03459,76697.5,95645.5,29250,9750
TRANSLATOR_GRAPHITE_MIST,SLEEP_POD_POLYESTER,TRANSLATOR,SLEEP_POD,False,100,50,0.08723,0.08723,206136.0,95343.5,29550,9850
PANEL_1X2,SLEEP_POD_LAMB_WOOL,PANEL,SLEEP_POD,False,100,50,0.04913,0.04913,128568.0,95155.0,29550,9850
TRANSLATOR_SPACE_GRAY,OXYGEN_SHAKE_GARLIC,TRANSLATOR,OXYGEN_SHAKE,False,100,50,0.083,0.083,154003.5,94989.5,29550,9850
SLEEP_POD_LAMB_WOOL,PEBBLES_XL,SLEEP_POD,PEBBLES,False,200,50,-0.00082,0.00082,143095.5,94797.0,29250,9750
GALAXY_SOUNDS_DARK_MATTER,PEBBLES_S,GALAXY_SOUNDS,PEBBLES,False,50,50,0.05731,0.05731,111614.0,94752.0,29700,9900
PANEL_2X2,MICROCHIP_CIRCLE,PANEL,MICROCHIP,False,100,50,0.046,0.046,106042.0,94542.0,29550,9850
PANEL_1X2,SLEEP_POD_LAMB_WOOL,PANEL,SLEEP_POD,False,50,50,0.05962,0.05962,100945.5,94500.0,29700,9900
PANEL_1X4,GALAXY_SOUNDS_DARK_MATTER,PANEL,GALAXY_SOUNDS,False,50,50,0.08408,0.08408,137031.0,94463.5,29700,9900
UV_VISOR_ORANGE,UV_VISOR_RED,UV_VISOR,UV_VISOR,True,200,50,0.02002,0.02002,49305.0,94391.5,29250,9750
PEBBLES_XS,SLEEP_POD_SUEDE,PEBBLES,SLEEP_POD,False,200,50,0.02648,0.02648,84292.0,94317.0,29250,9750
SNACKPACK_STRAWBERRY,UV_VISOR_RED,SNACKPACK,UV_VISOR,False,50,50,0.03422,0.03422,97447.0,94309.5,29700,9900
OXYGEN_SHAKE_GARLIC,UV_VISOR_RED,OXYGEN_SHAKE,UV_VISOR,False,100,50,0.03781,0.03781,83583.5,93927.5,29550,9850
UV_VISOR_AMBER,PANEL_2X4,UV_VISOR,PANEL,False,200,50,-0.01978,0.01978,46082.0,93913.0,29250,9750
SNACKPACK_PISTACHIO,GALAXY_SOUNDS_SOLAR_WINDS,SNACKPACK,GALAXY_SOUNDS,False,200,50,-0.0049,0.0049,29195.0,93816.5,29250,9750
PANEL_2X2,PEBBLES_S,PANEL,PEBBLES,False,200,50,0.01065,0.01065,129030.0,93802.0,29250,9750
SLEEP_POD_POLYESTER,PANEL_2X4,SLEEP_POD,PANEL,False,100,50,0.05847,0.05847,98154.5,93503.0,29550,9850
MICROCHIP_OVAL,SLEEP_POD_POLYESTER,MICROCHIP,SLEEP_POD,False,50,50,0.00376,0.00376,27544.5,93461.5,29700,9900
PANEL_2X4,TRANSLATOR_VOID_BLUE,PANEL,TRANSLATOR,False,200,50,0.06329,0.06329,89310.5,93239.5,29250,9750
MICROCHIP_CIRCLE,PANEL_1X2,MICROCHIP,PANEL,False,100,50,0.09186,0.09186,185021.0,93202.0,29550,9850
GALAXY_SOUNDS_DARK_MATTER,UV_VISOR_YELLOW,GALAXY_SOUNDS,UV_VISOR,False,200,50,0.07834,0.07834,98308.5,93026.5,29250,9750
MICROCHIP_TRIANGLE,PEBBLES_XS,MICROCHIP,PEBBLES,False,50,50,0.02054,0.02054,51416.5,92974.0,29700,9900
PEBBLES_XS,MICROCHIP_OVAL,PEBBLES,MICROCHIP,False,100,50,-0.01445,0.01445,69226.0,92849.0,29550,9850
TRANSLATOR_GRAPHITE_MIST,GALAXY_SOUNDS_SOLAR_WINDS,TRANSLATOR,GALAXY_SOUNDS,False,50,50,0.08599,0.08599,190730.5,92581.0,29700,9900
SLEEP_POD_NYLON,OXYGEN_SHAKE_MINT,SLEEP_POD,OXYGEN_SHAKE,False,100,50,0.03023,0.03023,16443.5,92371.5,29550,9850
SNACKPACK_RASPBERRY,MICROCHIP_OVAL,SNACKPACK,MICROCHIP,False,200,50,0.05141,0.05141,153817.5,92361.0,29250,9750
ROBOT_LAUNDRY,TRANSLATOR_SPACE_GRAY,ROBOT,TRANSLATOR,False,200,50,0.05193,0.05193,68517.5,91965.0,29250,9750
TRANSLATOR_VOID_BLUE,SLEEP_POD_POLYESTER,TRANSLATOR,SLEEP_POD,False,200,50,0.03618,0.03618,91077.0,91954.5,29250,9750
MICROCHIP_CIRCLE,OXYGEN_SHAKE_CHOCOLATE,MICROCHIP,OXYGEN_SHAKE,False,100,50,0.083,0.083,177502.5,91567.5,29550,9850
SNACKPACK_PISTACHIO,PANEL_1X4,SNACKPACK,PANEL,False,200,50,0.00767,0.00767,41219.0,91548.0,29250,9750
SLEEP_POD_LAMB_WOOL,PEBBLES_XL,SLEEP_POD,PEBBLES,False,100,50,0.00477,0.00477,74483.0,91347.0,29550,9850
SLEEP_POD_POLYESTER,PEBBLES_S,SLEEP_POD,PEBBLES,False,200,50,0.03853,0.03853,148928.5,91014.5,29250,9750
GALAXY_SOUNDS_SOLAR_FLAMES,MICROCHIP_TRIANGLE,GALAXY_SOUNDS,MICROCHIP,False,100,50,0.01098,0.01098,39431.5,91013.5,29550,9850
MICROCHIP_TRIANGLE,PANEL_4X4,MICROCHIP,PANEL,False,200,50,-0.00349,0.00349,-5459.0,90933.0,29250,9750
SLEEP_POD_COTTON,TRANSLATOR_ASTRO_BLACK,SLEEP_POD,TRANSLATOR,False,200,50,0.02708,0.02708,56555.5,90759.5,29250,9750
ROBOT_MOPPING,PEBBLES_XL,ROBOT,PEBBLES,False,200,50,0.00672,0.00672,51035.5,90678.0,29250,9750
MICROCHIP_OVAL,PANEL_4X4,MICROCHIP,PANEL,False,50,50,0.01409,0.01409,58119.5,90642.5,29700,9900
TRANSLATOR_SPACE_GRAY,MICROCHIP_SQUARE,TRANSLATOR,MICROCHIP,False,200,50,0.0253,0.0253,199182.0,90460.0,29250,9750
GALAXY_SOUNDS_DARK_MATTER,MICROCHIP_SQUARE,GALAXY_SOUNDS,MICROCHIP,False,200,50,0.00068,0.00068,203276.0,90295.5,29250,9750
MICROCHIP_OVAL,MICROCHIP_TRIANGLE,MICROCHIP,MICROCHIP,True,200,50,0.05525,0.05525,197257.5,90107.5,29250,9750
UV_VISOR_ORANGE,MICROCHIP_TRIANGLE,UV_VISOR,MICROCHIP,False,100,50,-0.0278,0.0278,-84486.5,90088.5,29550,9850
