product,category,best_taker_horizon,taker_oracle,taker_signal_count,taker_avg_edge,best_passive_horizon,passive_oracle,passive_hit_count,passive_avg_markout,best_inventory_horizon,inventory_oracle,inventory_turnover,best_residual_horizon,residual_proxy,residual_ic,engine,engine_proxy_pnl,turnover,regime,regime_oracle,round5_candidate_35,round5_candidate_36,best_current_portal_pnl,oracle_capacity,oracle_gap_vs_best_current,capture_ratio,full_best_engine,full_engine_proxy_pnl,full_engine_turnover,marginal_role,practical_engine_proxy,full_robust_proxy,practical_marginal_proxy_vs_current,raw_oracle_units_not_pnl
MICROCHIP_TRIANGLE,MICROCHIP,50,122182.5,910,65.7945054945055,200,331590.0,800,131.22,5,29230.0,4090,50,17064172.75,0.2733939551117376,reversal_50,2485.0,250,imbalance_extreme,188026.75,0.0,4266.0,4266.0,17064172.75,17059906.75,0.0002499974691125,momentum_200,1490.0,1700,candidate_addition,2485.0,1490.0,0.0,17064172.75
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE,100,280087.0,849,59.25088339222615,200,314155.25,800,79.439375,5,9060.0,3550,100,12659800.75,0.4910819923469542,reversal_200,360.0,70,imbalance_extreme,179453.5,1841.0,0.0,1841.0,12659800.75,12657959.75,0.0001454209301042,reversal_200,3460.0,2080,candidate_addition,360.0,3460.0,0.0,12659800.75
PANEL_1X4,PANEL,200,838463.5,793,121.47225725094576,200,479189.25,800,128.144375,5,10895.0,4130,50,5658601.0,0.4664999096697474,momentum_100,1270.0,80,imbalance_extreme,187942.25,2427.0,3529.0,3529.0,5658601.0,5655072.0,0.0006236523833364,momentum_100,24635.0,2550,candidate_addition,1270.0,24635.0,0.0,5658601.0
SLEEP_POD_COTTON,SLEEP_POD,50,162175.0,889,77.3312710911136,200,709338.0,800,191.70625,5,20625.0,3850,50,4641104.0,0.165429207110927,momentum_200,2820.0,30,imbalance_extreme,318011.0,3154.0,2880.0,3154.0,4641104.0,4637950.0,0.0006795796862125,momentum_200,12340.0,1590,candidate_addition,2820.0,12340.0,0.0,4641104.0
ROBOT_LAUNDRY,ROBOT,200,859236.5,788,159.88071065989848,200,460047.25,800,164.235,5,20085.0,3910,5,0.0,0.0,momentum_25,2975.0,290,imbalance_extreme,170110.75,0.0,5180.0,5180.0,859236.5,854056.5,0.0060286079560167,reversal_200,15200.0,2100,candidate_addition,2975.0,15200.0,0.0,859236.5
PANEL_2X2,PANEL,200,724531.5,791,110.04361567635904,200,435845.0,800,116.856875,5,11390.0,4440,5,0.0,0.0,momentum_200,940.0,40,imbalance_extreme,179022.0,1457.0,3150.0,3150.0,724531.5,721381.5,0.0043476370592582,reversal_200,1370.0,1900,candidate_addition,940.0,1370.0,0.0,724531.5
PEBBLES_L,PEBBLES,200,425779.0,757,119.63738441215324,200,506424.5,800,126.923125,5,24820.0,3530,25,626231.5,0.0629911454235452,reversal_50,3550.0,300,imbalance_extreme,329408.5,-660.0,510.0,510.0,626231.5,625721.5,0.0008143953154703,momentum_200,-8920.0,1820,portal_only_or_gated,3550.0,-8920.0,3040.0,626231.5
UV_VISOR_MAGENTA,UV_VISOR,200,903376.5,784,145.17729591836735,200,618141.75,800,156.40875,5,13140.0,3800,100,7245362.0,0.3893411226317561,momentum_50,2380.0,150,imbalance_extreme,316403.5,0.0,0.0,0.0,7245362.0,7245362.0,0.0,reversal_100,-8130.0,3940,portal_only_or_gated,2380.0,-8130.0,2380.0,7245362.0
SNACKPACK_STRAWBERRY,SNACKPACK,200,336693.5,775,83.46645161290323,200,389639.25,800,98.595625,200,-560.0,350,100,21589364.0,0.6938050835152982,reversal_200,2000.0,80,imbalance_extreme,160919.75,0.0,0.0,0.0,21589364.0,21589364.0,0.0,reversal_200,-7810.0,2100,portal_only_or_gated,2000.0,-7810.0,2000.0,21589364.0
MICROCHIP_CIRCLE,MICROCHIP,200,296057.0,787,69.23570520965693,200,196699.0,800,75.836875,5,14380.0,3740,5,0.0,0.0,reversal_100,1885.0,150,spread_low,113330.75,0.0,0.0,0.0,296057.0,296057.0,0.0,momentum_200,-7650.0,1940,portal_only_or_gated,1885.0,-7650.0,1885.0,296057.0
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,200,311333.5,773,83.1254851228978,200,374011.75,800,95.125625,10,9970.0,2770,100,29468696.25,0.2110289625421529,reversal_50,1290.0,310,imbalance_extreme,212123.0,0.0,0.0,0.0,29468696.25,29468696.25,0.0,momentum_200,-5235.0,1650,portal_only_or_gated,1290.0,-5235.0,1290.0,29468696.25
SNACKPACK_RASPBERRY,SNACKPACK,200,391825.5,777,102.8069498069498,200,460388.75,800,116.61875,200,755.0,350,100,4345471.75,0.2723910489501628,reversal_200,950.0,80,imbalance_extreme,174653.0,0.0,0.0,0.0,4345471.75,4345471.75,0.0,reversal_200,-3970.0,2120,portal_only_or_gated,950.0,-3970.0,950.0,4345471.75
ROBOT_VACUUMING,ROBOT,200,158547.0,780,75.38269230769231,200,232024.0,800,79.944375,5,15415.0,4270,100,15768240.0,0.1619795170011644,reversal_200,910.0,100,spread_low,146738.5,0.0,0.0,0.0,15768240.0,15768240.0,0.0,reversal_200,-550.0,1920,portal_only_or_gated,910.0,-550.0,910.0,15768240.0
UV_VISOR_YELLOW,UV_VISOR,200,349794.0,759,83.88208168642952,200,374148.5,800,94.59625,5,12485.0,3970,100,29607340.5,0.3470077230850144,reversal_200,1620.0,140,spread_low,245699.75,782.0,0.0,782.0,29607340.5,29606558.5,2.6412368919119907e-05,reversal_100,-11580.0,3760,portal_only_or_gated,1620.0,-11580.0,838.0,29607340.5
SNACKPACK_CHOCOLATE,SNACKPACK,200,385630.5,776,103.55476804123712,200,460307.75,800,116.69625,100,2525.0,450,100,9185556.0,0.414624331747217,momentum_200,735.0,50,spread_low,127968.0,0.0,0.0,0.0,9185556.0,9185556.0,0.0,reversal_200,-10540.0,1740,portal_only_or_gated,735.0,-10540.0,735.0,9185556.0
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE,100,285656.0,860,66.10116279069767,100,331755.0,900,74.66,5,8380.0,4270,100,8419277.5,0.5926190667010451,reversal_100,980.0,180,spread_low,201725.0,290.0,0.0,290.0,8419277.5,8418987.5,3.444476084794687e-05,reversal_200,-8820.0,1820,portal_only_or_gated,980.0,-8820.0,690.0,8419277.5
SNACKPACK_PISTACHIO,SNACKPACK,200,246258.5,736,59.42663043478261,200,276569.75,800,69.993125,200,-555.0,330,100,11590206.0,0.5271242451762561,reversal_200,320.0,80,imbalance_extreme,98425.25,0.0,0.0,0.0,11590206.0,11590206.0,0.0,reversal_200,-8500.0,2000,portal_only_or_gated,320.0,-8500.0,320.0,11590206.0
SNACKPACK_VANILLA,SNACKPACK,200,367883.5,786,98.98027989821882,200,449089.75,800,113.89,100,1945.0,470,100,1155866.5,0.2427986516351087,momentum_200,245.0,50,imbalance_extreme,121111.25,0.0,0.0,0.0,1155866.5,1155866.5,0.0,reversal_200,-11880.0,1720,portal_only_or_gated,245.0,-11880.0,245.0,1155866.5
ROBOT_MOPPING,ROBOT,200,373226.0,774,133.0406976744186,200,338849.75,800,137.029375,5,23870.0,4000,100,116594740.25,-0.2383962447949767,reversal_25,490.0,460,spread_low,159425.5,0.0,1286.0,1286.0,116594740.25,116593454.25,1.1029657060366408e-05,momentum_200,-4335.0,1850,portal_only_or_gated,490.0,-4335.0,0.0,116594740.25
SLEEP_POD_NYLON,SLEEP_POD,100,217940.0,875,71.82514285714285,200,336972.5,800,91.488125,5,13890.0,3800,100,103549642.5,0.3961069820419864,reversal_200,670.0,40,spread_low,221381.25,1043.5,700.5,1043.5,103549642.5,103548599.0,1.0077292154823227e-05,momentum_200,-4980.0,1860,portal_only_or_gated,670.0,-4980.0,0.0,103549642.5
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE,100,347728.0,871,109.01033295063148,200,668142.5,800,169.11,10,11285.0,2750,100,82666517.0,0.054382653037017,momentum_100,3380.0,70,imbalance_extreme,318238.25,3442.0,1422.0,3442.0,82666517.0,82663075.0,4.163717215762217e-05,momentum_100,-2010.0,2970,portal_only_or_gated,3380.0,-2010.0,0.0,82666517.0
ROBOT_IRONING,ROBOT,100,51521.5,869,59.8584579976985,200,232096.0,800,96.893125,5,18040.0,3890,100,70165618.0,0.3770344749323518,momentum_50,1490.0,170,spread_low,107976.5,2524.0,0.0,2524.0,70165618.0,70163094.0,3.59720340523474e-05,reversal_200,-2990.0,1770,portal_only_or_gated,1490.0,-2990.0,0.0,70165618.0
UV_VISOR_AMBER,UV_VISOR,200,1054251.0,791,163.24146649810368,200,673092.25,800,170.674375,5,7475.0,3650,100,67393530.0,0.4211663066396656,momentum_200,3710.0,20,imbalance_extreme,222927.25,0.0,4111.0,4111.0,67393530.0,67389419.0,6.099992091228936e-05,momentum_200,-6490.0,1720,portal_only_or_gated,3710.0,-6490.0,0.0,67393530.0
PEBBLES_S,PEBBLES,200,679645.5,768,123.08268229166669,200,515860.5,800,129.375,5,28725.0,4130,50,65112194.75,0.3078879442341248,reversal_50,4310.0,300,imbalance_extreme,378896.5,11719.0,10531.0,11719.0,65112194.75,65100475.75,0.0001799816462184,reversal_200,-6080.0,1760,portal_only_or_gated,4310.0,-6080.0,0.0,65112194.75
UV_VISOR_ORANGE,UV_VISOR,50,143752.0,891,57.32210998877665,200,550433.75,800,139.175625,5,8600.0,3810,100,48452517.75,0.0345086436195071,momentum_200,1610.0,20,imbalance_extreme,252165.75,3959.0,4249.0,4249.0,48452517.75,48448268.75,8.769410130395133e-05,reversal_100,-3410.0,3600,portal_only_or_gated,1610.0,-3410.0,0.0,48452517.75
TRANSLATOR_ASTRO_BLACK,TRANSLATOR,100,167398.0,854,76.43442622950819,200,381842.0,800,103.51375,5,16790.0,3900,100,40747800.5,0.2300981832576661,momentum_200,-70.0,40,imbalance_extreme,221473.25,0.0,0.0,0.0,40747800.5,40747800.5,0.0,reversal_200,-1490.0,1860,portal_only_or_gated,-70.0,-1490.0,0.0,40747800.5
SLEEP_POD_POLYESTER,SLEEP_POD,200,691527.0,787,168.9561626429479,200,655297.0,800,177.279375,5,23035.0,4110,100,38816712.0,0.2735194885059893,reversal_200,705.0,50,imbalance_extreme,327219.75,1976.5,2021.5,2021.5,38816712.0,38814690.5,5.207808430554345e-05,reversal_200,-3760.0,1860,portal_only_or_gated,705.0,-3760.0,0.0,38816712.0
MICROCHIP_OVAL,MICROCHIP,200,705108.0,795,163.72955974842768,200,474979.75,800,169.504375,5,21780.0,4090,100,28886357.25,0.2516109214532092,momentum_100,1450.0,80,imbalance_extreme,196965.25,4379.0,5017.0,5017.0,28886357.25,28881340.25,0.0001736806048813,reversal_200,-6120.0,1860,portal_only_or_gated,1450.0,-6120.0,0.0,28886357.25
MICROCHIP_RECTANGLE,MICROCHIP,200,586254.0,775,156.58774193548388,200,428932.0,800,158.803125,5,26705.0,4090,100,27485998.0,0.2438178091566797,momentum_100,2280.0,40,imbalance_extreme,208857.25,2666.0,265.0,2666.0,27485998.0,27483332.0,9.699484079130037e-05,reversal_200,-3550.0,1830,portal_only_or_gated,2280.0,-3550.0,0.0,27485998.0
SLEEP_POD_LAMB_WOOL,SLEEP_POD,200,1003001.5,779,147.25673940949935,200,564226.0,800,152.624375,5,19230.0,3560,50,25535910.0,-0.0158250014584115,momentum_200,1420.0,40,imbalance_extreme,275984.0,2269.0,5535.0,5535.0,25535910.0,25530375.0,0.000216753583483,momentum_100,-1760.0,3190,portal_only_or_gated,1420.0,-1760.0,0.0,25535910.0
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,200,1313565.0,770,177.40584415584416,200,727467.25,800,184.778125,5,11200.0,3930,100,22706910.0,-0.0226021248934896,momentum_100,3630.0,40,imbalance_extreme,281296.75,4625.0,4199.0,4625.0,22706910.0,22702285.0,0.0002036824913649,momentum_200,-1495.0,1770,portal_only_or_gated,3630.0,-1495.0,0.0,22706910.0
TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR,200,241806.5,773,122.27749029754204,200,469662.75,800,126.67375,5,16350.0,4060,100,17568477.5,-0.1028450693935807,momentum_100,955.0,70,spread_low,200860.75,-1375.0,3674.0,3674.0,17568477.5,17564803.5,0.0002091245527678,reversal_200,-1580.0,1800,portal_only_or_gated,955.0,-1580.0,0.0,17568477.5
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,200,434298.0,775,108.94967741935484,200,468950.5,800,118.888125,5,10470.0,3950,100,11286600.0,0.1809211850807095,momentum_100,410.0,60,spread_low,247432.0,2208.0,0.0,2208.0,11286600.0,11284392.0,0.0001956302163627,momentum_200,-195.0,1630,portal_only_or_gated,410.0,-195.0,0.0,11286600.0
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,200,210979.5,759,91.08498023715416,200,393439.25,800,99.75,5,13640.0,3590,100,9690463.5,0.0318855587912069,reversal_200,2520.0,80,spread_low,226178.5,3245.5,0.0,3245.5,9690463.5,9687218.0,0.0003349169005177,momentum_200,-100.0,1680,portal_only_or_gated,2520.0,-100.0,0.0,9690463.5
UV_VISOR_RED,UV_VISOR,50,150750.5,890,57.311797752808985,200,440964.0,800,111.425,10,6765.0,3210,50,5045684.0,0.3311041085994115,momentum_100,-70.0,100,spread_low,252017.25,3135.0,0.0,3135.0,5045684.0,5042549.0,0.0006213230951442,momentum_200,-4080.0,1660,portal_only_or_gated,-70.0,-4080.0,0.0,5045684.0
PANEL_1X2,PANEL,200,691254.5,777,107.94079794079794,200,457657.25,800,116.091875,5,9995.0,3650,100,4833019.0,0.8017399124474319,momentum_200,1135.0,30,spread_low,197684.0,2827.0,2968.0,2968.0,4833019.0,4830051.0,0.0006141089037721,momentum_200,-5510.0,1870,portal_only_or_gated,1135.0,-5510.0,0.0,4833019.0
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,200,536729.0,735,88.12517006802722,200,367931.5,800,93.10375,5,9510.0,3830,100,3819913.0,0.0795157790661149,reversal_200,555.0,70,spread_low,233016.75,211.5,1216.5,1216.5,3819913.0,3818696.5,0.0003184627503296,momentum_100,-6560.0,3160,portal_only_or_gated,555.0,-6560.0,0.0,3819913.0
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,200,577088.0,791,107.75537294563844,100,517094.5,900,116.20055555555555,5,12460.0,3560,100,3528710.0,0.6077230981478503,momentum_50,1580.0,160,imbalance_extreme,322713.25,4254.0,0.0,4254.0,3528710.0,3524456.0,0.0012055397014773,reversal_200,-3475.0,1730,portal_only_or_gated,1580.0,-3475.0,0.0,3528710.0
OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE,200,501211.5,745,99.00604026845636,200,412547.75,800,104.33375,5,8175.0,3930,100,1823226.5,0.4612093276268172,momentum_200,1660.0,30,spread_low,230056.0,3446.0,0.0,3446.0,1823226.5,1819780.5,0.0018900558981563,reversal_200,-8090.0,2040,portal_only_or_gated,1660.0,-8090.0,0.0,1823226.5
TRANSLATOR_SPACE_GRAY,TRANSLATOR,200,1066598.0,782,157.73401534526857,200,604307.0,800,162.988125,5,19590.0,3590,5,291455.25,-0.0664806039047681,momentum_200,4965.0,10,imbalance_extreme,257782.75,2807.0,7195.0,7195.0,1066598.0,1059403.0,0.0067457467574475,momentum_200,-6380.0,1800,portal_only_or_gated,4965.0,-6380.0,0.0,1066598.0
