product,category,scope_full,signal_family_full,model_type_full,horizon_full,passive_proxy_pnl_full,taker_proxy_pnl_full,signal_corr_full,positive_days_full,day_count_full,positive_blocks_full,block_count_full,bidirectional_full,best_execution_full,scope_portal,signal_family_portal,model_type_portal,horizon_portal,passive_proxy_pnl_portal,taker_proxy_pnl_portal,signal_corr_portal,positive_days_portal,day_count_portal,positive_blocks_portal,block_count_portal,bidirectional_portal,best_execution_portal,full_oracle_h1,full_oracle_h10,full_oracle_h50,full_oracle_h100,portal_oracle_h1,portal_oracle_h10,portal_oracle_h50,portal_oracle_h100,best_candidate_pnl_full,best_candidate_pnl_portal,worst_candidate_pnl_full,worst_candidate_pnl_portal,mean_spread,median_spread,mean_top_depth,rows,days,oracle_to_executable_capture_ratio,best_portal_proxy,best_full_proxy,classification,strategy_role,classification_reason,targeted_probe_portal_pnl,standalone_tradable,basket_only,signal_anchor_only,exclude,largest_gap,kevin_xeeshan_agree,end_window_liquidation_risk,inventory_path_risk
MICROCHIP_CIRCLE,MICROCHIP,full,rolling_mean_reversion,statistical/time-series,200,798172.5,843125.0,0.01795221125391217,2,3,22,30,1,taker,portal,breakout_low_reversal,breakout,500,144348.0,84111.25000000003,0.5375653942775639,1,1,4,4,0,passive,1183045.0,5785600.0,14074750.0,20430795.0,35355.0,170995.0,350295.0,458535.0,0.0,0.0,0.0,0.0,8.262166666666667,8.0,6.769866666666666,30000,3,4.082817140432754,144348.0,843125.0,not_currently_capturable,exclude,"large analytical oracle/proxy remains, but no executable replay has confirmed capture; treat as not currently capturable, not a tradable edge.",,False,False,False,True,35355.0,yes for formal candidate/probe replays when available; analytical proxy otherwise,unknown/high if signal is slow,passive queue/inventory trap risk
MICROCHIP_OVAL,MICROCHIP,full,breakout_low_reversal,breakout,500,6354082.75,4146074.1500000004,0.14469514039177198,3,3,21,25,0,passive,portal,breakout_low_reversal,breakout,500,425606.0,292541.3500000001,0.9033230323085333,1,1,1,1,0,passive,1945925.0,8184480.0,18993910.0,27781050.0,55015.0,227080.0,553570.0,838315.0,1994.0,3298.0,0.0,0.0,7.449766666666667,8.0,7.796033333333333,30000,3,7.7361810415341274,425606.0,6354082.75,validated_edge,standalone-tradable,positive integrated/formal replay attribution on portal and full-history support.,,True,False,False,False,51717.0,yes for formal candidate/probe replays when available; analytical proxy otherwise,manageable in existing replay,passive queue/inventory trap risk
MICROCHIP_SQUARE,MICROCHIP,full,momentum,statistical/time-series,500,2512212.75,1794154.9,-0.011898149135763429,2,3,16,25,1,passive,portal,breakout_low_reversal,breakout,200,474125.5,367223.39999999985,0.6219482849445928,1,1,6,6,0,passive,3342130.0,13550060.0,32269585.0,46843430.0,134740.0,516585.0,1191235.0,1523035.0,0.0,5022.0,-7765.0,0.0,11.7188,12.0,5.957566666666667,30000,3,3.5188177230221167,474125.5,2512212.75,conditional_edge,regime-only,portal/integration PnL is positive but full-history attribution is weak or negative; treat as portal-fragile and gate hard.,,False,False,False,False,129718.0,yes for formal candidate/probe replays when available; analytical proxy otherwise,unknown/high if signal is slow,passive queue/inventory trap risk
MICROCHIP_RECTANGLE,MICROCHIP,full,breakout_low_reversal,breakout,500,5635790.75,4348686.6,0.1818449709372891,3,3,18,24,0,passive,portal,breakout_low_reversal,breakout,500,428480.25,303121.95000000007,0.9583565520049288,1,1,3,3,0,passive,2089515.0,8806010.0,20579550.0,28936535.0,63905.0,262195.0,611960.0,874310.0,0.0,859.0,-11087.0,0.0,7.885766666666667,8.0,7.216366666666667,30000,3,6.704956576167749,428480.25,5635790.75,conditional_edge,regime-only,portal/integration PnL is positive but full-history attribution is weak or negative; treat as portal-fragile and gate hard.,,False,False,False,False,63046.0,yes for formal candidate/probe replays when available; analytical proxy otherwise,unknown/high if signal is slow,passive queue/inventory trap risk
MICROCHIP_TRIANGLE,MICROCHIP,full,breakout_low_reversal,breakout,500,9900050.25,7339277.900000001,0.2633184805237904,3,3,19,24,0,passive,portal,rolling_mean_reversion,statistical/time-series,50,90206.5,77005.1,0.3779451791831343,1,1,7,9,1,passive,2316490.0,9466565.0,22915260.0,33492420.0,74455.0,302570.0,598730.0,708585.0,9579.5,1242.5,0.0,0.0,8.635433333333333,9.0,6.439333333333333,30000,3,1.2115573164998992,90206.5,9900050.25,conditional_edge,basket-only,edge appears in a component/probe but is too small or unstable to call standalone strategy-grade.,,False,True,False,False,73212.5,yes for formal candidate/probe replays when available; analytical proxy otherwise,unknown/high if signal is slow,passive queue/inventory trap risk
PEBBLES_XS,PEBBLES,full,breakout_low_reversal,breakout,500,7701118.5,7230196.25,0.2092191072341999,3,3,24,27,0,passive,portal,breakout_low_reversal,breakout,500,344030.5,232293.29999999996,0.9560423374795332,1,1,2,2,0,passive,2342495.0,10010605.0,22879830.0,32984295.0,81490.0,341415.0,667310.0,942895.0,0.0,0.0,-813.0,-1945.0,9.744866666666667,9.0,13.4032,30000,3,4.221751135108602,344030.5,7701118.5,validated_edge,standalone-tradable,candidate 16/23/24/25 validates all five through online synthetic fair-value market making; some individual PnL can be negative but category edge is structural.,,True,False,False,False,81490.0,yes for formal candidate/probe replays when available; analytical proxy otherwise,manageable in existing replay,passive queue/inventory trap risk
PEBBLES_S,PEBBLES,full,vol_norm_reversal,statistical/time-series,500,6711400.25,5117858.8,0.20732594152414285,3,3,18,26,1,passive,portal,breakout_low_reversal,breakout,500,202150.75,145995.20000000004,0.5698551566047513,1,1,2,2,0,passive,2130835.0,9685350.0,24195635.0,34729830.0,70075.0,314240.0,761695.0,910330.0,80507.0,11490.0,0.0,0.0,11.551533333333333,12.0,12.410933333333332,30000,3,2.8847770246164823,202150.75,6711400.25,validated_edge,standalone-tradable,candidate 16/23/24/25 validates all five through online synthetic fair-value market making; some individual PnL can be negative but category edge is structural.,,True,False,False,False,58585.0,yes for formal candidate/probe replays when available; analytical proxy otherwise,manageable in existing replay,passive queue/inventory trap risk
PEBBLES_M,PEBBLES,full,rolling_mean_reversion,statistical/time-series,500,4136658.0,2744434.5499999993,0.0948642288399225,2,3,22,30,1,passive,portal,breakout_low_reversal,breakout,200,348615.5,248659.59999999992,0.6979579922329855,1,1,5,6,0,passive,1995225.0,9638655.0,23093215.0,32986355.0,64980.0,346980.0,848370.0,1097130.0,22494.0,1490.0,0.0,0.0,13.1209,13.0,12.410933333333332,30000,3,5.364966143428747,348615.5,4136658.0,validated_edge,standalone-tradable,candidate 16/23/24/25 validates all five through online synthetic fair-value market making; some individual PnL can be negative but category edge is structural.,,True,False,False,False,63490.0,yes for formal candidate/probe replays when available; analytical proxy otherwise,manageable in existing replay,passive queue/inventory trap risk
PEBBLES_L,PEBBLES,full,breakout_low_reversal,breakout,500,3921340.75,1415234.8999999994,0.10952712880107074,3,3,20,27,0,passive,portal,rolling_mean_reversion,statistical/time-series,500,246104.0,184542.64999999997,0.885264418232703,1,1,3,3,0,passive,1980740.0,9559060.0,22768300.0,32262115.0,61395.0,326230.0,661675.0,655665.0,3216.0,0.0,0.0,-660.0,13.0205,13.0,12.410933333333332,30000,3,4.008534896978581,246104.0,3921340.75,validated_edge,standalone-tradable,candidate 16/23/24/25 validates all five through online synthetic fair-value market making; some individual PnL can be negative but category edge is structural.,,True,False,False,False,61395.0,yes for formal candidate/probe replays when available; analytical proxy otherwise,manageable in existing replay,passive queue/inventory trap risk
PEBBLES_XL,PEBBLES,full,reversal,statistical/time-series,500,5097528.5,4257147.649999999,0.10604628794060694,2,3,16,27,1,passive,portal,rolling_mean_reversion,statistical/time-series,500,291008.25,184708.00000000003,0.6410561616091913,1,1,4,5,1,passive,5040110.0,20927845.0,48080770.0,66140520.0,174835.0,715710.0,1406295.0,1901515.0,12827.0,9560.0,0.0,0.0,16.630766666666666,17.0,12.410933333333332,30000,3,1.6644736465810621,291008.25,5097528.5,validated_edge,standalone-tradable,candidate 16/23/24/25 validates all five through online synthetic fair-value market making; some individual PnL can be negative but category edge is structural.,,True,False,False,False,165275.0,yes for formal candidate/probe replays when available; analytical proxy otherwise,manageable in existing replay,passive queue/inventory trap risk
ROBOT_VACUUMING,ROBOT,full,breakout_low_reversal,breakout,500,2846727.25,1935926.1000000006,0.06310131202594596,3,3,20,26,0,passive,portal,breakout_low_reversal,breakout,200,153825.25,121613.75,0.7040867406889907,1,1,4,4,0,passive,1338885.0,5976005.0,14345150.0,20856645.0,39460.0,163355.0,402765.0,540710.0,0.0,0.0,0.0,0.0,6.7533,7.0,8.604266666666666,30000,3,3.8982577293461733,153825.25,2846727.25,not_currently_capturable,exclude,"large analytical oracle/proxy remains, but no executable replay has confirmed capture; treat as not currently capturable, not a tradable edge.",,False,False,False,True,39460.0,yes for formal candidate/probe replays when available; analytical proxy otherwise,unknown/high if signal is slow,passive queue/inventory trap risk
ROBOT_MOPPING,ROBOT,full,vol_norm_momentum,statistical/time-series,500,3423648.0,3512045.9499999997,0.08195431711672856,2,3,12,26,1,taker,portal,rolling_mean_reversion,statistical/time-series,500,115242.25,74504.20000000001,0.7931783068170999,1,1,3,4,0,passive,1636760.0,7033275.0,16886185.0,24248550.0,58930.0,243110.0,519700.0,705765.0,10353.0,1622.0,0.0,0.0,7.970666666666666,8.0,7.061266666666667,30000,3,1.955578652638724,115242.25,3512045.9499999997,conditional_edge,basket-only,edge appears in a component/probe but is too small or unstable to call standalone strategy-grade.,,False,True,False,False,57308.0,yes for formal candidate/probe replays when available; analytical proxy otherwise,unknown/high if signal is slow,passive queue/inventory trap risk
ROBOT_DISHES,ROBOT,full,rolling_mean_reversion,statistical/time-series,500,4925994.5,4098542.8499999996,0.13385652093735032,3,3,22,29,1,passive,portal,breakout_low_reversal,breakout,500,254653.25,169252.75000000003,0.9316326673327059,1,1,2,2,0,passive,1736265.0,6746700.0,16223365.0,23311100.0,51425.0,250495.0,642210.0,953380.0,0.0,0.0,0.0,0.0,7.350266666666666,7.0,7.624333333333333,30000,3,4.951934856587263,254653.25,4925994.5,not_currently_capturable,exclude,"large analytical oracle/proxy remains, but no executable replay has confirmed capture; treat as not currently capturable, not a tradable edge.",,False,False,False,True,51425.0,yes for formal candidate/probe replays when available; analytical proxy otherwise,unknown/high if signal is slow,passive queue/inventory trap risk
ROBOT_LAUNDRY,ROBOT,full,vol_norm_reversal,statistical/time-series,500,2773632.75,1956501.7000000002,0.1354751665526647,2,3,19,25,1,passive,portal,breakout_low_reversal,breakout,500,439833.5,293658.45000000007,0.7147241929634246,1,1,3,3,0,passive,1434490.0,6439910.0,15801415.0,22370135.0,44300.0,202615.0,489950.0,791810.0,0.0,502.0,-4751.5,0.0,7.165066666666666,7.0,8.015533333333334,30000,3,9.92852144469526,439833.5,2773632.75,conditional_edge,regime-only,portal/integration PnL is positive but full-history attribution is weak or negative; treat as portal-fragile and gate hard.,,False,False,False,False,43798.0,yes for formal candidate/probe replays when available; analytical proxy otherwise,unknown/high if signal is slow,passive queue/inventory trap risk
ROBOT_IRONING,ROBOT,full,breakout_low_reversal,breakout,500,1760955.75,1232305.9,-0.030771798389660102,2,3,16,20,0,passive,portal,vol_norm_momentum,statistical/time-series,100,100488.5,63929.09999999999,0.012373287242844986,1,1,4,6,0,passive,1530980.0,5779775.0,13763920.0,19872125.0,46130.0,168225.0,360990.0,520170.0,16297.0,2524.0,0.0,0.0,6.392933333333334,6.0,8.3528,30000,3,2.1783763277693473,100488.5,1760955.75,validated_edge,standalone-tradable,positive integrated/formal replay attribution on portal and full-history support.,2524.0,True,False,False,False,43606.0,yes for formal candidate/probe replays when available; analytical proxy otherwise,manageable in existing replay,passive queue/inventory trap risk
UV_VISOR_YELLOW,UV_VISOR,full,breakout_low_reversal,breakout,500,1565942.0,2476979.0500000007,0.07649963544488383,2,3,15,22,0,taker,portal,breakout_low_reversal,breakout,500,133102.75,89096.84999999999,0.903391983420412,1,1,4,4,0,passive,1058525.0,6376130.0,15976985.0,22622770.0,37460.0,243640.0,497345.0,551185.0,0.0,0.0,0.0,0.0,13.909966666666667,14.0,18.253466666666668,30000,3,3.5531967431927387,133102.75,2476979.0500000007,not_currently_capturable,exclude,"large analytical oracle/proxy remains, but no executable replay has confirmed capture; treat as not currently capturable, not a tradable edge.",,False,False,False,True,37460.0,yes for formal candidate/probe replays when available; analytical proxy otherwise,unknown/high if signal is slow,passive queue/inventory trap risk
UV_VISOR_AMBER,UV_VISOR,full,breakout_low_reversal,breakout,500,2932450.5,1616709.95,0.06319392899952031,3,3,22,28,0,passive,portal,breakout_low_reversal,breakout,500,532984.0,337747.85000000003,0.7503183281792563,1,1,2,2,0,passive,747750.0,4643615.0,12107845.0,17925040.0,23515.0,143170.0,451140.0,721930.0,3563.0,534.5,-340.0,0.0,10.3205,10.0,18.266033333333333,30000,3,22.665702742930044,532984.0,2932450.5,conditional_edge,basket-only,edge appears in a component/probe but is too small or unstable to call standalone strategy-grade.,,False,True,False,False,22980.5,yes for formal candidate/probe replays when available; analytical proxy otherwise,unknown/high if signal is slow,passive queue/inventory trap risk
UV_VISOR_ORANGE,UV_VISOR,full,breakout_high,breakout,500,2125766.5,2412124.849999999,0.03339722622223465,2,3,5,21,0,taker,portal,momentum,statistical/time-series,200,150853.0,80815.65,0.012910465340887314,1,1,3,3,0,passive,1001605.0,6096000.0,16080890.0,23185085.0,32605.0,195990.0,510740.0,685665.0,15393.5,4270.0,0.0,0.0,13.2841,13.0,18.253466666666668,30000,3,4.626683024076062,150853.0,2412124.849999999,validated_edge,standalone-tradable,positive integrated/formal replay attribution on portal and full-history support.,3959.0,True,False,False,False,28335.0,yes for formal candidate/probe replays when available; analytical proxy otherwise,manageable in existing replay,passive queue/inventory trap risk
UV_VISOR_RED,UV_VISOR,full,reversal,statistical/time-series,500,3228433.5,2894955.9499999997,0.1330992716389188,1,3,17,26,1,passive,portal,momentum,statistical/time-series,200,81025.5,51111.65,-0.4740648806688824,1,1,4,4,0,passive,1055405.0,6277080.0,16594605.0,24399150.0,35320.0,193200.0,510075.0,573110.0,0.0,0.0,0.0,0.0,14.039433333333333,14.0,18.253466666666668,30000,3,2.2940402038505097,81025.5,3228433.5,conditional_edge,regime-only,targeted portal replay is positive but full-history replay failed; this is portal-fragile.,3135.0,False,False,False,False,35320.0,yes for formal candidate/probe replays when available; analytical proxy otherwise,unknown/high if signal is slow,passive queue/inventory trap risk
UV_VISOR_MAGENTA,UV_VISOR,full,vol_norm_momentum,statistical/time-series,500,783548.25,902456.9999999998,-0.017520931939714064,2,3,8,26,1,taker,portal,breakout_low_reversal,breakout,500,156466.0,121200.6,0.2947140971041805,1,1,2,2,0,passive,1079970.0,6482430.0,15961340.0,22686090.0,35125.0,227185.0,638700.0,899940.0,0.0,0.0,0.0,0.0,14.0916,14.0,18.253466666666668,30000,3,4.4545480427046265,156466.0,902456.9999999998,not_currently_capturable,exclude,"large analytical oracle/proxy remains, but no executable replay has confirmed capture; treat as not currently capturable, not a tradable edge.",,False,False,False,True,35125.0,yes for formal candidate/probe replays when available; analytical proxy otherwise,unknown/high if signal is slow,passive queue/inventory trap risk
TRANSLATOR_SPACE_GRAY,TRANSLATOR,full,reversal,statistical/time-series,500,1572025.0,983625.2999999996,0.07630258858905507,3,3,19,28,1,passive,portal,breakout_high,breakout,500,451401.5,310192.14999999997,0.5040922948935431,1,1,3,3,0,passive,1216750.0,5951900.0,14843705.0,21102275.0,43320.0,224555.0,556870.0,851035.0,0.0,0.0,0.0,0.0,8.402166666666666,9.0,11.933566666666668,30000,3,10.420163896583563,451401.5,1572025.0,not_currently_capturable,exclude,prior executable replay status was `no standalone edge found` despite high oracle/proxy; do not integrate without a new mechanism.,,False,False,False,True,43320.0,yes for formal candidate/probe replays when available; analytical proxy otherwise,unknown/high if signal is slow,passive queue/inventory trap risk
TRANSLATOR_ASTRO_BLACK,TRANSLATOR,full,breakout_high,breakout,500,1557892.0,476660.3499999996,-0.007691060611778013,2,3,11,20,0,passive,portal,breakout_low_reversal,breakout,100,116168.0,85309.55000000002,0.4507721679347018,1,1,5,5,0,passive,1221395.0,5984805.0,14731850.0,21013230.0,39640.0,188790.0,477905.0,652750.0,0.0,0.0,0.0,0.0,8.3664,8.0,12.0379,30000,3,2.9305751765893038,116168.0,1557892.0,conditional_edge,signal/anchor-only,prior individual probe status was `too weak alone`; keep only gated or as a basket component.,,False,False,True,False,39640.0,yes for formal candidate/probe replays when available; analytical proxy otherwise,unknown/high if signal is slow,passive queue/inventory trap risk
TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR,full,vol_norm_reversal,statistical/time-series,500,2886389.25,2044949.4999999995,0.14754899457159287,3,3,20,26,1,passive,portal,rolling_mean_reversion,statistical/time-series,500,258830.25,181419.19999999995,0.6666010973837108,1,1,2,3,1,passive,1276615.0,6063140.0,15025680.0,21318780.0,40885.0,190245.0,435475.0,691415.0,0.0,0.0,0.0,0.0,8.700433333333333,9.0,11.3355,30000,3,6.330689739513269,258830.25,2886389.25,not_currently_capturable,exclude,"large analytical oracle/proxy remains, but no executable replay has confirmed capture; treat as not currently capturable, not a tradable edge.",,False,False,False,True,40885.0,yes for formal candidate/probe replays when available; analytical proxy otherwise,unknown/high if signal is slow,passive queue/inventory trap risk
TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,full,breakout_low_reversal,breakout,500,1847052.5,1053319.6499999994,0.05950223210089528,2,3,21,27,0,passive,portal,breakout_low_reversal,breakout,200,92361.0,110212.5,0.3224253793196178,1,1,2,4,0,taker,1322045.0,6329085.0,15497910.0,21971855.0,47955.0,249655.0,611595.0,784360.0,0.0,3705.0,-4900.0,0.0,8.9121,9.0,11.1188,30000,3,2.2982483578354707,110212.5,1847052.5,conditional_edge,regime-only,portal/integration PnL is positive but full-history attribution is weak or negative; treat as portal-fragile and gate hard.,,False,False,False,False,44250.0,yes for formal candidate/probe replays when available; analytical proxy otherwise,unknown/high if signal is slow,crossing/adverse selection risk
TRANSLATOR_VOID_BLUE,TRANSLATOR,full,breakout_high,breakout,500,210900.0,1220502.7999999998,0.024825772588477426,2,3,7,23,0,taker,portal,breakout_low_reversal,breakout,500,164090.0,124271.5,0.5381419538008835,1,1,3,4,0,passive,1410610.0,6719800.0,16122665.0,22713625.0,46510.0,211585.0,464790.0,508400.0,12536.0,1456.0,0.0,0.0,9.524666666666667,10.0,10.9072,30000,3,3.5280584820468714,164090.0,1220502.7999999998,conditional_edge,basket-only,edge appears in a component/probe but is too small or unstable to call standalone strategy-grade.,,False,True,False,False,45054.0,yes for formal candidate/probe replays when available; analytical proxy otherwise,unknown/high if signal is slow,passive queue/inventory trap risk
PANEL_1X2,PANEL,full,breakout_high,breakout,500,1482840.75,1419819.9000000004,0.07906996736994042,1,3,6,21,0,passive,portal,breakout_low_reversal,breakout,200,270286.75,195478.65000000005,0.6415152982265042,1,1,5,5,0,passive,865025.0,5300440.0,13645410.0,20069635.0,27035.0,182700.0,401505.0,590800.0,0.0,0.0,0.0,0.0,11.509766666666666,12.0,18.253466666666668,30000,3,9.997660440170149,270286.75,1482840.75,not_currently_capturable,exclude,"large analytical oracle/proxy remains, but no executable replay has confirmed capture; treat as not currently capturable, not a tradable edge.",,False,False,False,True,27035.0,yes for formal candidate/probe replays when available; analytical proxy otherwise,unknown/high if signal is slow,passive queue/inventory trap risk
