product,category,data_health,full_oracle_ceiling,portal_oracle_ceiling,best_signal_family,best_signal_proxy,portal_signal_proxy,fair_model,fair_quality,best_model_type,residual_vol,residual_abs_median,mean_spread,median_spread,spread_execution_profile,signal_stability_by_day,positive_blocks,total_blocks,lead_lag_behavior,best_leader,best_lead_lag_corr,mean_reversion_behavior,momentum_behavior,microstructure_imbalance_behavior,regime_sensitivity,expected_passive_fill_quality,expected_taker_quality,executable_edge_proxy_after_costs,role,suggested_strategy_role,confidence_level,main_overfit_risk,signal_detail
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE,good,1161407.4940000002,38671.495,50_tick_momentum,7812.5,1531.3,category_leave_one_mean,weak,statistical/time-series,1027.7213517004097,2161.875,15.0546,15.0,moderate,2/3 positive days,9,30,weak,OXYGEN_SHAKE_EVENING_BREATH,-0.016249313572906533,weak,positive,weak,block-fragile,unknown,weak,7812.5,exclude,exclude,low,timestamp-block concentration,"corr=0.0325; day_proxy=[-2552.1, 3568.4, 5125.7]"
UV_VISOR_MAGENTA,UV_VISOR,good,1075680.92,34851.83000000001,25_tick_reversal,7377.12,700.4,semantic_leave_one_line,weak,statistical/time-series,2012.3076152034848,1902.8714285714286,14.0916,14.0,moderate,3/3 positive days,14,30,weak,UV_VISOR_ORANGE,0.008735716562183842,positive,weak,weak,acceptable,unknown,weak,7377.12,exclude,exclude,low,execution/fill translation,"corr=0.0532; day_proxy=[1298.6, 5726.0, 86.4]"
SLEEP_POD_LAMB_WOOL,SLEEP_POD,good,1391876.1364999998,46318.62999999999,50_tick_momentum,7004.8,1019.52,semantic_leave_one_line,weak,statistical/time-series,1044.470764547762,1098.104166666667,9.4001,10.0,tight,2/3 positive days,14,30,weak,SLEEP_POD_COTTON,-0.010668439604850054,weak,positive,weak,acceptable,unknown,weak,7004.8,exclude,exclude,low,execution/fill translation,"corr=0.0443; day_proxy=[8485.1, 1124.5, -2968.9]"
TRANSLATOR_VOID_BLUE,TRANSLATOR,good,1409613.7133333334,46440.3,50_tick_reversal,6858.48,1005.52,category_leave_one_mean,weak,statistical/time-series,699.1683238593437,1298.25,9.524666666666667,10.0,tight,3/3 positive days,13,30,weak,TRANSLATOR_GRAPHITE_MIST,-0.009480896495395678,positive,weak,weak,block-fragile,unknown,weak,6858.48,exclude,exclude,low,timestamp-block concentration,"corr=0.0584; day_proxy=[1826.0, 3956.3, 1366.4]"
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,good,1044624.4578333334,35761.58,50_tick_reversal,6207.86,1829.3,category_leave_one_mean,weak,statistical/time-series,771.6494816501582,670.5,13.690033333333334,14.0,moderate,1/3 positive days,16,30,weak,GALAXY_SOUNDS_SOLAR_WINDS,-0.005833982431111079,positive,weak,weak,acceptable,unknown,weak,6207.86,exclude,exclude,low,one-day signal,"corr=0.0336; day_proxy=[-2335.7, 8739.3, -409.4]"
TRANSLATOR_ASTRO_BLACK,TRANSLATOR,good,1220817.936,39584.49,50_tick_reversal,4985.18,481.0,category_leave_one_mean,weak,statistical/time-series,635.1527643557689,840.0,8.3664,8.0,tight,2/3 positive days,15,30,weak,TRANSLATOR_SPACE_GRAY,0.00986756500835283,positive,weak,weak,acceptable,unknown,weak,4985.18,exclude,exclude,low,execution/fill translation,"corr=0.0344; day_proxy=[1839.0, -854.2, 3472.6]"
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,good,942432.6628333332,30682.499999999996,50_tick_momentum,4646.36,908.24,category_leave_one_mean,weak,statistical/time-series,667.3358758175312,371.0,12.593566666666666,13.0,moderate,2/3 positive days,17,30,weak,OXYGEN_SHAKE_CHOCOLATE,-0.0067488613761137435,weak,positive,weak,acceptable,unknown,weak,4646.36,exclude,exclude,low,execution/fill translation,"corr=0.0341; day_proxy=[2809.9, -995.2, 3061.2]"
PANEL_2X4,PANEL,good,1479140.5050000001,49407.32,25_tick_momentum,4510.92,1113.64,semantic_leave_one_line,weak,statistical/time-series,845.1436790406442,1688.4054535769892,9.8405,10.0,tight,2/3 positive days,10,30,weak,PANEL_2X2,-0.00936079863240774,weak,positive,weak,block-fragile,unknown,weak,4510.92,exclude,exclude,low,timestamp-block concentration,"corr=0.0188; day_proxy=[3286.3, 5252.7, -3536.0]"
ROBOT_LAUNDRY,ROBOT,good,1433976.4266666668,44194.075,50_tick_reversal,4319.46,1191.2,category_leave_one_mean,weak,statistical/time-series,615.8648767588577,547.125,7.165066666666666,7.0,tight,2/3 positive days,18,30,weak,ROBOT_DISHES,-0.0053914834239378855,positive,weak,weak,acceptable,unknown,weak,4319.46,exclude,exclude,low,execution/fill translation,"corr=0.0270; day_proxy=[6031.2, 306.7, -2381.5]"
UV_VISOR_ORANGE,UV_VISOR,good,998594.8570000001,32538.649999999998,50_tick_reversal,4189.7,442.9,semantic_leave_one_line,weak,statistical/time-series,663.1402645999433,589.7461832061072,13.2841,13.0,moderate,2/3 positive days,14,30,weak,UV_VISOR_MAGENTA,-0.006200560127076172,positive,weak,weak,acceptable,unknown,weak,4189.7,exclude,exclude,low,execution/fill translation,"corr=0.0371; day_proxy=[3163.5, 2675.3, -1157.3]"
UV_VISOR_YELLOW,UV_VISOR,good,1055444.9674999998,37400.36,50_tick_reversal,3813.44,1996.96,semantic_leave_one_line,weak,statistical/time-series,715.1922825498797,911.4604316546756,13.909966666666667,14.0,moderate,2/3 positive days,15,30,weak,UV_VISOR_AMBER,-0.004488136289488133,positive,weak,weak,acceptable,unknown,weak,3813.44,exclude,exclude,low,execution/fill translation,"corr=0.0413; day_proxy=[6853.1, -2526.4, 85.5]"
ROBOT_MOPPING,ROBOT,good,1635809.8800000004,58889.63,50_tick_reversal,3155.7,2062.2,category_leave_one_mean,weak,statistical/time-series,1090.2178001575364,1498.6875,7.970666666666666,8.0,tight,2/3 positive days,14,30,weak,ROBOT_VACUUMING,-0.008017203279901108,positive,weak,weak,acceptable,unknown,weak,3155.7,exclude,exclude,low,execution/fill translation,"corr=0.0159; day_proxy=[-1051.3, 3020.4, 923.6]"
TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR,good,1274448.3513333332,40689.034999999996,25_tick_reversal,2779.36,1188.46,category_leave_one_mean,weak,statistical/time-series,377.5576462318021,259.375,8.700433333333333,9.0,tight,2/3 positive days,17,30,weak,TRANSLATOR_SPACE_GRAY,0.00979183280078271,positive,weak,weak,acceptable,unknown,weak,2779.36,exclude,exclude,low,execution/fill translation,"corr=0.0120; day_proxy=[589.4, -506.4, 2050.2]"
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,good,978193.0416666667,34435.740000000005,50_tick_momentum,2067.9,1536.0,category_leave_one_mean,weak,statistical/time-series,456.4859063142933,618.375,13.050833333333333,13.0,moderate,2/3 positive days,13,30,weak,GALAXY_SOUNDS_SOLAR_WINDS,-0.016431339243449118,weak,positive,weak,block-fragile,unknown,weak,2067.9,exclude,exclude,low,timestamp-block concentration,"corr=0.0381; day_proxy=[-3656.3, 2022.0, 1610.0]"
MICROCHIP_OVAL,MICROCHIP,good,1949916.1504999995,55005.9,50_tick_reversal,1957.2,875.5,semantic_leave_one_line,weak,statistical/time-series,1837.2771771634596,930.3961864406783,7.449766666666667,8.0,tight,2/3 positive days,21,30,weak,MICROCHIP_RECTANGLE,0.013639743033217232,positive,weak,weak,acceptable,unknown,weak,1957.2,exclude,exclude,low,execution/fill translation,"corr=0.0016; day_proxy=[3783.8, -2770.3, 45.6]"
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,good,1059270.1670000001,33768.94499999999,50_tick_momentum,1420.26,1327.64,category_leave_one_mean,weak,statistical/time-series,667.6628273590908,471.4375,14.071533333333333,14.0,moderate,2/3 positive days,10,30,weak,GALAXY_SOUNDS_SOLAR_WINDS,0.0074036649740295175,weak,positive,weak,block-fragile,unknown,weak,1420.26,exclude,exclude,low,timestamp-block concentration,"corr=0.0224; day_proxy=[2740.0, 2676.6, -5478.4]"
TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,good,1320164.1779999996,47864.494999999995,50_tick_reversal,1353.48,129.4,category_leave_one_mean,weak,statistical/time-series,535.5918988342067,296.8125,8.9121,9.0,tight,1/3 positive days,18,30,weak,TRANSLATOR_VOID_BLUE,-0.0053327109048301674,positive,weak,weak,acceptable,unknown,weak,1353.48,exclude,exclude,low,one-day signal,"corr=0.0202; day_proxy=[3942.6, -498.0, -1397.6]"
MICROCHIP_TRIANGLE,MICROCHIP,good,2316760.2418333334,74433.0,50_tick_momentum,1318.62,1526.24,semantic_leave_one_line,weak,statistical/time-series,2330.3644406340677,4784.151869158878,8.635433333333333,9.0,tight,1/3 positive days,18,30,weak,MICROCHIP_OVAL,-0.008503579004498309,weak,positive,weak,acceptable,unknown,weak,1318.62,exclude,exclude,low,one-day signal,"corr=0.0349; day_proxy=[-1423.1, 3677.3, -2381.5]"
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE,good,1035576.8153333332,26707.879999999997,50_tick_reversal,1316.8,1137.04,category_leave_one_mean,weak,statistical/time-series,509.4842505076439,813.25,12.185466666666667,12.0,moderate,2/3 positive days,12,30,weak,OXYGEN_SHAKE_EVENING_BREATH,-0.005240458155927771,positive,weak,weak,block-fragile,unknown,weak,1316.8,exclude,exclude,low,timestamp-block concentration,"corr=0.0225; day_proxy=[-2032.3, 1849.4, 1296.0]"
MICROCHIP_CIRCLE,MICROCHIP,good,1182786.8666666665,35369.4,50_tick_momentum,1057.62,946.78,semantic_leave_one_line,weak,statistical/time-series,1424.9400151028333,757.1802721088434,8.262166666666667,8.0,tight,1/3 positive days,15,30,weak,MICROCHIP_SQUARE,-0.012149468870896102,weak,positive,weak,acceptable,unknown,weak,1057.62,exclude,exclude,low,one-day signal,"corr=0.0228; day_proxy=[-680.3, -153.7, 1936.9]"
SLEEP_POD_SUEDE,SLEEP_POD,good,1490631.368,52558.549999999996,50_tick_reversal,976.48,1279.96,semantic_leave_one_line,weak,statistical/time-series,847.9640960966576,960.8644834930774,9.949466666666666,10.0,tight,2/3 positive days,16,30,weak,SLEEP_POD_LAMB_WOOL,0.007392947405918518,positive,weak,weak,acceptable,unknown,weak,976.48,exclude,exclude,low,execution/fill translation,"corr=0.0335; day_proxy=[22.1, -301.8, 1609.9]"
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE,good,1149631.609,36854.92,25_tick_reversal,819.52,242.16,category_leave_one_mean,weak,statistical/time-series,575.1659204729409,1012.75,11.860466666666667,12.0,moderate,1/3 positive days,17,30,weak,OXYGEN_SHAKE_MORNING_BREATH,-0.015435018571072491,positive,weak,weak,acceptable,unknown,weak,819.52,exclude,exclude,low,one-day signal,"corr=0.0437; day_proxy=[2685.0, -1711.8, -153.7]"
SNACKPACK_STRAWBERRY,SNACKPACK,good,337591.0656666668,11439.759999999998,50_tick_reversal,478.32,248.86,category_leave_one_mean,weak,statistical/time-series,417.22172633546705,876.75,17.826466666666665,18.0,moderate,2/3 positive days,14,30,weak,SNACKPACK_VANILLA,-0.018951208959741006,positive,weak,weak,acceptable,unknown,weak,478.32,exclude,exclude,low,execution/fill translation,"corr=0.0346; day_proxy=[-3298.3, 2344.3, 1731.6]"
UV_VISOR_RED,UV_VISOR,good,1050715.4881666666,35098.44,50_tick_momentum,395.98,921.5,semantic_leave_one_line,weak,statistical/time-series,1032.0364264696739,1692.5512048192768,14.039433333333333,14.0,moderate,2/3 positive days,13,30,weak,UV_VISOR_ORANGE,-0.014538263072863971,weak,positive,weak,block-fragile,unknown,weak,395.98,exclude,exclude,low,timestamp-block concentration,"corr=0.0303; day_proxy=[-4914.3, 2234.2, 2621.3]"
ROBOT_VACUUMING,ROBOT,good,1338321.5950000002,39350.51000000001,50_tick_momentum,310.7,463.18,category_leave_one_mean,weak,statistical/time-series,524.2409666593805,937.375,6.7533,7.0,tight,2/3 positive days,19,30,weak,ROBOT_DISHES,-0.009224227283629758,weak,positive,weak,acceptable,unknown,weak,310.7,exclude,exclude,low,execution/fill translation,"corr=0.0102; day_proxy=[3187.6, 563.0, -3660.6]"
SNACKPACK_RASPBERRY,SNACKPACK,good,373704.23899999994,12728.515000000003,50_tick_reversal,165.24,-77.6,category_leave_one_mean,statistical,statistical/time-series,231.820189932832,185.375,16.842466666666667,17.0,moderate,2/3 positive days,15,30,weak,SNACKPACK_CHOCOLATE,-0.017113461651918405,positive,weak,weak,acceptable,unknown,weak,165.24,exclude,exclude,low,execution/fill translation,"corr=0.0366; day_proxy=[-2338.7, 1899.1, 869.0]"
PANEL_4X4,PANEL,good,1296441.0246666665,44570.59999999999,50_tick_momentum,73.08,1371.72,semantic_leave_one_line,weak,statistical/time-series,1755.7476375564488,4854.34545937334,8.750466666666666,9.0,tight,2/3 positive days,15,30,weak,PANEL_2X4,-0.008560982970422518,weak,positive,weak,acceptable,unknown,weak,73.08,exclude,exclude,low,execution/fill translation,"corr=0.0236; day_proxy=[1084.6, 1965.6, -2899.5]"
TRANSLATOR_SPACE_GRAY,TRANSLATOR,good,1215530.811666667,43173.15000000001,50_tick_reversal,-429.26,724.84,category_leave_one_mean,weak,statistical/time-series,592.7319363646145,536.75,8.402166666666666,9.0,tight,2/3 positive days,18,30,weak,TRANSLATOR_ECLIPSE_CHARCOAL,-0.022090047779233946,positive,weak,weak,acceptable,unknown,weak,-429.26,exclude,exclude,low,execution/fill translation,"corr=0.0155; day_proxy=[1252.5, 3378.8, -5830.3]"
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,good,1097188.0300000003,39984.615000000005,50_tick_momentum,-618.2,1426.52,category_leave_one_mean,weak,statistical/time-series,937.329563192134,535.375,14.512766666666666,14.0,moderate,2/3 positive days,12,30,weak,GALAXY_SOUNDS_DARK_MATTER,-0.00819594195857084,weak,positive,weak,block-fragile,unknown,weak,-618.2,exclude,exclude,low,timestamp-block concentration,"corr=-0.0016; day_proxy=[281.2, 3024.1, -3108.4]"
SNACKPACK_PISTACHIO,SNACKPACK,good,87312.80733333333,3135.899999999999,50_tick_reversal,-776.6,196.92,category_leave_one_mean,weak,statistical/time-series,243.68905328168714,709.125,15.925633333333334,16.0,moderate,2/3 positive days,18,30,weak,SNACKPACK_VANILLA,-0.02118195345009077,positive,weak,weak,acceptable,unknown,weak,-776.6,exclude,exclude,low,execution/fill translation,"corr=0.0390; day_proxy=[-2511.5, 785.9, 1209.6]"
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,good,1008033.9970000001,36981.95,50_tick_momentum,-905.0,742.6,category_leave_one_mean,weak,statistical/time-series,568.2404835477678,459.375,13.301266666666667,14.0,moderate,1/3 positive days,15,30,weak,GALAXY_SOUNDS_BLACK_HOLES,-0.00921372032166371,weak,positive,weak,acceptable,unknown,weak,-905.0,exclude,exclude,low,one-day signal,"corr=0.0043; day_proxy=[-2113.7, -1326.7, 2636.5]"
PANEL_1X2,PANEL,good,862564.3028333335,26918.989999999998,50_tick_reversal,-1511.64,635.0,semantic_leave_one_line,weak,statistical/time-series,1086.8642265405724,640.3101768505776,11.509766666666666,12.0,moderate,1/3 positive days,16,30,weak,PANEL_1X4,-0.010614652609899475,positive,weak,weak,acceptable,unknown,weak,-1511.64,exclude,exclude,low,one-day signal,"corr=-0.0055; day_proxy=[-1450.5, 1748.1, -1487.7]"
SNACKPACK_CHOCOLATE,SNACKPACK,good,198793.79083333336,6899.51,50_tick_momentum,-1743.3,521.04,category_leave_one_mean,weak,statistical/time-series,270.90296848864153,228.25,16.471166666666665,17.0,moderate,2/3 positive days,15,30,weak,SNACKPACK_RASPBERRY,-0.014005284446482285,weak,positive,weak,acceptable,unknown,weak,-1743.3,exclude,exclude,low,execution/fill translation,"corr=0.0161; day_proxy=[-1891.9, 226.5, 190.0]"
OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE,good,964974.0560000001,30321.449999999997,50_tick_reversal,-2135.74,678.96,category_leave_one_mean,weak,statistical/time-series,878.4708686285779,710.0,12.7829,13.0,moderate,1/3 positive days,12,30,weak,OXYGEN_SHAKE_EVENING_BREATH,0.011898523900614109,positive,weak,weak,block-fragile,unknown,weak,-2135.74,exclude,exclude,low,one-day signal,"corr=0.0256; day_proxy=[-1341.6, -3742.3, 1861.5]"
SNACKPACK_VANILLA,SNACKPACK,good,179939.89666666667,6240.3499999999985,50_tick_momentum,-2136.36,524.28,category_leave_one_mean,weak,statistical/time-series,217.8513987054995,166.625,16.868666666666666,17.0,moderate,1/3 positive days,18,30,weak,SNACKPACK_PISTACHIO,-0.018467558923388656,weak,positive,weak,acceptable,unknown,weak,-2136.36,exclude,exclude,low,one-day signal,"corr=0.0167; day_proxy=[-2909.9, 1208.4, -246.7]"
PANEL_2X2,PANEL,good,1241372.98,39670.61000000001,50_tick_reversal,4773.3,882.0,semantic_leave_one_line,semantic,semantic/name-based,744.634608361251,606.9434568335828,8.515466666666667,9.0,tight,3/3 positive days,14,30,weak,PANEL_1X4,-0.008362596891263743,positive,weak,weak,acceptable,possible,weak,4773.3,anchor,anchor-only,low-anchor,execution/fill translation,"corr=0.0312; day_proxy=[498.5, 1249.8, 3821.2]"
SLEEP_POD_NYLON,SLEEP_POD,good,1238716.45,40951.96,25_tick_reversal,243.8,1380.0,semantic_leave_one_line,semantic,semantic/name-based,905.3473886117886,2311.9068016614738,8.564666666666668,9.0,tight,2/3 positive days,12,30,weak,SLEEP_POD_LAMB_WOOL,-0.007911651033451166,positive,weak,weak,block-fragile,possible,weak,243.8,anchor,anchor-only,low-anchor,timestamp-block concentration,"corr=0.0167; day_proxy=[1045.3, -1228.6, 177.4]"
SLEEP_POD_POLYESTER,SLEEP_POD,good,1560533.5775,57995.06,25_tick_reversal,-279.44,549.88,semantic_leave_one_line,semantic,semantic/name-based,601.8923985281664,1526.2849462365584,10.2957,11.0,moderate,2/3 positive days,10,30,weak,SLEEP_POD_SUEDE,-0.0054988491255808115,positive,weak,weak,block-fragile,possible,weak,-279.44,anchor,anchor-only,low-anchor,timestamp-block concentration,"corr=0.0164; day_proxy=[-3152.1, 1765.2, 498.2]"
SLEEP_POD_COTTON,SLEEP_POD,good,1534189.9670000002,54100.62000000001,10_tick_momentum,-2719.7,1232.8,semantic_leave_one_line,semantic,semantic/name-based,491.2654864300549,554.0224358974356,10.0502,10.0,tight,2/3 positive days,15,30,weak,SLEEP_POD_LAMB_WOOL,0.007840605250402399,weak,positive,weak,acceptable,possible,weak,-2719.7,anchor,anchor-only,low-anchor,execution/fill translation,"corr=0.0192; day_proxy=[473.9, -3972.5, 1755.9]"
