target,category,kind,peers,coefs,full_resid_std,portal_resid_std,full_reversion_proxy,portal_reversion_proxy,signal_count,portal_signal_count,day2_proxy,day3_proxy,day4_proxy,stability_min_day
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,small_int_dev,GALAXY_SOUNDS_BLACK_HOLES|TRANSLATOR_GRAPHITE_MIST,-3|-3,3811.8003,1111.6809,362385.0,342238.0,5788,5399,16451.0,3696.0,342238.0,3696.0
TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR,small_int_dev,TRANSLATOR_SPACE_GRAY|MICROCHIP_TRIANGLE,-2|3,1940.2898,650.7987,369069.5,340677.0,4287,3974,17414.0,10978.5,340677.0,10978.5
PEBBLES_XL,PEBBLES,small_int_dev,PEBBLES_XS|MICROCHIP_SQUARE,2|3,2961.1763,3615.0773,484328.5,336932.0,3506,2240,35232.0,112164.5,336932.0,35232.0
MICROCHIP_CIRCLE,MICROCHIP,small_int_dev,PEBBLES_M|PEBBLES_XL,3|-2,3708.7099,3612.5351,867925.0,336811.0,3104,1201,405357.0,125757.0,336811.0,125757.0
TRANSLATOR_ASTRO_BLACK,TRANSLATOR,small_int_dev,GALAXY_SOUNDS_SOLAR_WINDS|PEBBLES_M,2|-3,1237.3276,1280.9238,526225.0,336576.5,4639,2234,59810.0,129838.5,336576.5,59810.0
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE,small_int_dev,GALAXY_SOUNDS_BLACK_HOLES|PEBBLES_L,1|3,1988.9993,2449.8925,533424.0,336009.5,3932,2402,157740.0,39674.5,336009.5,39674.5
SNACKPACK_VANILLA,SNACKPACK,small_int_dev,MICROCHIP_TRIANGLE|MICROCHIP_CIRCLE,-3|-2,2006.7576,730.9458,310886.5,335434.5,5494,5033,0.0,-24548.0,335434.5,-24548.0
PANEL_2X2,PANEL,small_int_dev,PANEL_1X2|SLEEP_POD_POLYESTER,-3|-3,2617.6997,907.9344,352156.5,334750.5,4761,4673,17406.0,0.0,334750.5,0.0
SLEEP_POD_COTTON,SLEEP_POD,small_int_dev,SLEEP_POD_POLYESTER|PANEL_2X2,3|-2,3086.2486,790.3041,380891.0,334443.5,5120,4581,18930.5,27517.0,334443.5,18930.5
PEBBLES_XL,PEBBLES,small_int_dev,PEBBLES_S|MICROCHIP_SQUARE,2|2,2916.7511,3263.8742,406164.0,330476.0,4226,2442,0.0,75688.0,330476.0,0.0
PEBBLES_XL,PEBBLES,small_int_dev,PEBBLES_L|PEBBLES_M,2|2,2627.7635,2750.644,579489.0,329780.5,3355,1019,99404.5,150304.0,329780.5,99404.5
MICROCHIP_SQUARE,MICROCHIP,small_int_dev,MICROCHIP_OVAL|PEBBLES_XL,2|2,3139.8992,2317.131,420606.0,329696.0,4468,1781,83626.5,7283.5,329696.0,7283.5
PEBBLES_XS,PEBBLES,small_int_dev,PEBBLES_S|ROBOT_DISHES,-3|-3,2496.6485,1686.0577,466272.5,329090.0,4210,3026,137182.5,0.0,329090.0,0.0
ROBOT_MOPPING,ROBOT,small_int_dev,TRANSLATOR_ASTRO_BLACK|SLEEP_POD_POLYESTER,-3|-3,2823.102,1643.3874,414916.0,328732.0,5737,4540,52964.0,33220.0,328732.0,33220.0
ROBOT_MOPPING,ROBOT,small_int_dev,ROBOT_DISHES|PEBBLES_S,2|3,2216.3949,1348.7658,391666.5,327829.0,3785,2851,63837.5,0.0,327829.0,0.0
MICROCHIP_SQUARE,MICROCHIP,small_int_dev,MICROCHIP_OVAL|PEBBLES_XL,3|3,4236.4971,3258.9786,761890.5,326316.0,4236,1078,115762.0,319812.5,326316.0,115762.0
SNACKPACK_CHOCOLATE,SNACKPACK,small_int_dev,MICROCHIP_TRIANGLE|MICROCHIP_CIRCLE,3|2,1956.8552,704.2391,304709.0,322830.0,5353,4850,0.0,-18121.0,322830.0,-18121.0
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE,small_int_dev,ROBOT_IRONING|SLEEP_POD_POLYESTER,3|-2,4058.2767,584.2579,272900.5,322095.0,5300,4512,970.0,-50164.5,322095.0,-50164.5
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,small_int_dev,GALAXY_SOUNDS_BLACK_HOLES|PEBBLES_XL,3|-2,2461.5906,2657.7375,712764.0,321928.0,3321,1707,179232.5,211603.5,321928.0,179232.5
UV_VISOR_AMBER,UV_VISOR,small_int_dev,UV_VISOR_RED|SLEEP_POD_POLYESTER,-3|-3,3278.9171,895.5472,405664.5,321233.5,6773,6241,76168.0,8263.0,321233.5,8263.0
PEBBLES_XL,PEBBLES,small_int_dev,PEBBLES_L|MICROCHIP_SQUARE,3|2,4315.6667,4407.3168,511833.0,320743.0,4259,2270,115133.5,75956.5,320743.0,75956.5
PEBBLES_S,PEBBLES,small_int_dev,PEBBLES_L|SLEEP_POD_POLYESTER,-3|-2,2873.5166,3123.0064,325169.5,318620.5,4402,3118,28828.5,-22279.5,318620.5,-22279.5
PEBBLES_M,PEBBLES,small_int_dev,PEBBLES_XL|PEBBLES_XS,3|2,3450.6872,3552.2261,628824.5,318601.5,3545,2190,215861.0,94362.0,318601.5,94362.0
UV_VISOR_AMBER,UV_VISOR,small_int_dev,SLEEP_POD_POLYESTER|PEBBLES_S,-2|3,3280.2658,1242.5222,392965.0,318567.5,4959,3755,74397.5,0.0,318567.5,0.0
PEBBLES_S,PEBBLES,small_int_dev,PEBBLES_XL|MICROCHIP_SQUARE,2|-3,4245.2469,4685.4142,364005.5,316803.0,3494,1558,21976.5,25226.0,316803.0,21976.5
SLEEP_POD_SUEDE,SLEEP_POD,small_int_dev,SLEEP_POD_POLYESTER|ROBOT_IRONING,3|-2,3519.7141,750.4056,389972.0,316732.5,5260,3178,75322.0,-2082.5,316732.5,-2082.5
UV_VISOR_AMBER,UV_VISOR,small_int_dev,PEBBLES_S|PEBBLES_L,3|-1,1892.3126,1070.1089,432033.0,316185.0,4525,3985,115848.0,0.0,316185.0,0.0
UV_VISOR_RED,UV_VISOR,small_int_dev,UV_VISOR_YELLOW|MICROCHIP_TRIANGLE,-2|3,2724.7177,688.229,300147.0,315860.0,5825,5711,0.0,-15713.0,315860.0,-15713.0
SLEEP_POD_LAMB_WOOL,SLEEP_POD,small_int_dev,SLEEP_POD_NYLON|SLEEP_POD_POLYESTER,-3|-3,3792.322,930.0074,315054.0,315054.0,4059,4059,0.0,0.0,315054.0,0.0
PEBBLES_L,PEBBLES,small_int_dev,PEBBLES_S|SNACKPACK_STRAWBERRY,3|3,1978.8772,1117.6753,445871.5,314908.5,4226,3262,92248.0,38715.0,314908.5,38715.0
SNACKPACK_PISTACHIO,SNACKPACK,small_int_dev,SNACKPACK_RASPBERRY|PEBBLES_L,-2|3,1988.317,2351.3756,438381.5,314554.5,4082,2557,80527.0,43300.0,314554.5,43300.0
TRANSLATOR_ASTRO_BLACK,TRANSLATOR,small_int_dev,MICROCHIP_TRIANGLE|PEBBLES_L,-3|2,3129.0388,897.8747,312682.5,314495.0,7165,7134,1023.5,-2836.0,314495.0,-2836.0
PANEL_2X2,PANEL,small_int_dev,PEBBLES_M|SLEEP_POD_POLYESTER,3|1,3222.2892,958.7605,423227.0,314163.5,4433,3565,0.0,109063.5,314163.5,0.0
PEBBLES_L,PEBBLES,small_int_dev,PEBBLES_XL|MICROCHIP_OVAL,1|3,3957.9505,923.1139,403644.0,313634.0,4382,3061,90010.0,0.0,313634.0,0.0
PEBBLES_L,PEBBLES,small_int_dev,PEBBLES_S|GALAXY_SOUNDS_DARK_MATTER,3|-1,2674.3604,946.3588,415270.0,313486.0,4706,3632,101784.0,0.0,313486.0,0.0
MICROCHIP_RECTANGLE,MICROCHIP,small_int_dev,MICROCHIP_TRIANGLE|OXYGEN_SHAKE_CHOCOLATE,-3|-2,2226.3699,735.4415,324476.5,313243.5,4376,4150,30822.5,-19589.5,313243.5,-19589.5
UV_VISOR_MAGENTA,UV_VISOR,small_int_dev,UV_VISOR_RED|PEBBLES_L,3|2,2229.3321,1198.742,400365.0,313130.0,3309,1919,41618.0,45617.0,313130.0,41618.0
PEBBLES_L,PEBBLES,small_int_dev,PEBBLES_S|SNACKPACK_PISTACHIO,3|-2,2418.1357,1106.8107,412544.0,312819.5,5526,5091,99724.5,0.0,312819.5,0.0
ROBOT_MOPPING,ROBOT,small_int_dev,PEBBLES_L|SLEEP_POD_POLYESTER,3|3,3617.7642,2864.5674,412086.5,312556.5,3495,2133,81088.0,18442.0,312556.5,18442.0
UV_VISOR_RED,UV_VISOR,small_int_dev,UV_VISOR_MAGENTA|MICROCHIP_RECTANGLE,-3|-2,1375.953,1269.8711,387624.0,309760.5,4581,3621,77863.5,0.0,309760.5,0.0
PEBBLES_S,PEBBLES,small_int_dev,PEBBLES_XL|MICROCHIP_SQUARE,-2|3,4406.3113,3848.8524,366292.5,309576.0,3506,1584,19601.5,37115.0,309576.0,19601.5
PANEL_1X4,PANEL,small_int_dev,PEBBLES_S|OXYGEN_SHAKE_CHOCOLATE,-3|-2,2467.7084,852.8209,375773.0,309405.0,4507,2661,66368.0,0.0,309405.0,0.0
PEBBLES_L,PEBBLES,small_int_dev,PEBBLES_S|SNACKPACK_STRAWBERRY,3|2,2167.8228,1090.5178,406220.5,309001.5,5008,4216,97219.0,0.0,309001.5,0.0
SLEEP_POD_SUEDE,SLEEP_POD,small_int_dev,TRANSLATOR_SPACE_GRAY|MICROCHIP_TRIANGLE,-2|3,2515.5508,774.0164,349275.5,307695.5,3501,2977,55647.0,-14067.0,307695.5,-14067.0
PEBBLES_L,PEBBLES,small_int_dev,PEBBLES_S|TRANSLATOR_ASTRO_BLACK,3|-2,2373.4573,1176.9716,323900.5,307644.5,4271,4216,16256.0,0.0,307644.5,0.0
ROBOT_DISHES,ROBOT,small_int_dev,MICROCHIP_TRIANGLE|PANEL_4X4,-3|2,2428.3461,568.0195,386447.0,306926.0,3813,3376,0.0,79521.0,306926.0,0.0
MICROCHIP_SQUARE,MICROCHIP,small_int_dev,MICROCHIP_TRIANGLE|PEBBLES_S,2|-3,1594.2023,1503.0056,541786.0,306848.5,4599,1720,177503.5,57434.0,306848.5,57434.0
ROBOT_MOPPING,ROBOT,small_int_dev,PEBBLES_L|SLEEP_POD_POLYESTER,3|2,2791.5808,2574.7747,364986.0,306644.0,3807,2612,41150.0,17192.0,306644.0,17192.0
OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE,small_int_dev,OXYGEN_SHAKE_GARLIC|TRANSLATOR_GRAPHITE_MIST,-3|-3,3056.0271,852.9214,368828.0,306277.0,5440,4242,62551.0,0.0,306277.0,0.0
TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,small_int_dev,TRANSLATOR_ASTRO_BLACK|PEBBLES_S,-2|3,2426.3592,1154.1026,309206.5,305810.0,4560,4544,0.0,3396.5,305810.0,0.0
PEBBLES_L,PEBBLES,small_int_dev,PEBBLES_M|MICROCHIP_OVAL,-3|2,5104.0682,959.8137,342875.0,305777.5,2251,2026,37097.5,0.0,305777.5,0.0
PEBBLES_L,PEBBLES,small_int_dev,PEBBLES_M|PEBBLES_XL,-3|2,3723.3958,3555.4294,888088.0,305579.5,2760,700,444343.0,138165.5,305579.5,138165.5
SLEEP_POD_SUEDE,SLEEP_POD,small_int_dev,SLEEP_POD_POLYESTER|TRANSLATOR_ECLIPSE_CHARCOAL,3|-2,2120.9817,748.3508,439051.5,305231.0,5527,3345,100727.5,33093.0,305231.0,33093.0
SNACKPACK_PISTACHIO,SNACKPACK,small_int_dev,SNACKPACK_VANILLA|PEBBLES_L,-2|-3,1856.1015,2172.6297,459451.5,305136.5,4225,2043,89463.0,64852.0,305136.5,64852.0
UV_VISOR_MAGENTA,UV_VISOR,small_int_dev,UV_VISOR_RED|PEBBLES_L,3|3,2685.6364,1827.1012,410327.0,305130.0,4295,3115,63756.0,41441.0,305130.0,41441.0
PEBBLES_L,PEBBLES,small_int_dev,PEBBLES_M|PEBBLES_S,2|3,2035.4446,1083.2833,476481.5,305120.5,3374,2064,137284.0,34077.0,305120.5,34077.0
SLEEP_POD_LAMB_WOOL,SLEEP_POD,small_int_dev,SLEEP_POD_NYLON|SLEEP_POD_POLYESTER,3|3,3650.2324,783.3013,391357.0,304772.5,3299,2238,86584.5,0.0,304772.5,0.0
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE,small_int_dev,SLEEP_POD_NYLON|SLEEP_POD_POLYESTER,-2|-3,3476.2829,733.5713,336876.5,304463.5,2566,2417,32413.0,0.0,304463.5,0.0
UV_VISOR_MAGENTA,UV_VISOR,small_int_dev,UV_VISOR_YELLOW|PEBBLES_L,-3|-3,3241.0294,4144.7209,402379.0,304171.0,4622,3154,109127.5,-10919.5,304171.0,-10919.5
MICROCHIP_SQUARE,MICROCHIP,small_int_dev,MICROCHIP_TRIANGLE|PEBBLES_XL,3|1,2679.8316,1111.1785,289228.5,303950.5,4943,4171,41553.5,-56275.5,303950.5,-56275.5
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE,small_int_dev,PEBBLES_XL|ROBOT_IRONING,-3|-3,4198.085,3833.4876,796803.0,303740.5,5111,1410,473715.5,19347.0,303740.5,19347.0
PEBBLES_XL,PEBBLES,small_int_dev,PEBBLES_L|MICROCHIP_SQUARE,3|3,5831.9539,4911.8563,542606.5,302858.5,3646,1837,140323.0,99425.0,302858.5,99425.0
MICROCHIP_CIRCLE,MICROCHIP,small_int_dev,MICROCHIP_RECTANGLE|PEBBLES_XL,3|2,2509.9576,2604.8965,544979.0,302304.5,2932,2116,207041.5,35633.0,302304.5,35633.0
ROBOT_LAUNDRY,ROBOT,small_int_dev,MICROCHIP_TRIANGLE|PANEL_4X4,3|-2,2248.5712,602.4095,333131.0,301997.5,4597,4527,0.0,31133.5,301997.5,0.0
TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,small_int_dev,TRANSLATOR_SPACE_GRAY|PEBBLES_S,-2|3,2188.5991,952.3573,517081.5,301665.5,3994,2957,195729.5,19686.5,301665.5,19686.5
PANEL_2X2,PANEL,small_int_dev,SLEEP_POD_POLYESTER|GALAXY_SOUNDS_BLACK_HOLES,3|3,5936.427,1179.906,332532.5,301486.5,5825,4756,31046.0,0.0,301486.5,0.0
MICROCHIP_SQUARE,MICROCHIP,small_int_dev,MICROCHIP_TRIANGLE|SNACKPACK_RASPBERRY,3|1,3709.7444,978.8693,310069.0,301022.5,4766,4744,9046.5,0.0,301022.5,0.0
PEBBLES_M,PEBBLES,small_int_dev,PEBBLES_XL|GALAXY_SOUNDS_SOLAR_FLAMES,3|-2,5015.0901,3936.8665,586020.5,300469.5,6337,2412,285551.0,0.0,300469.5,0.0
TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR,small_int_dev,TRANSLATOR_GRAPHITE_MIST|MICROCHIP_TRIANGLE,3|-2,2724.3239,805.503,245531.0,300451.5,6811,6169,0.0,-54920.5,300451.5,-54920.5
PEBBLES_XL,PEBBLES,small_int_dev,PEBBLES_L|MICROCHIP_SQUARE,3|1,3152.411,3933.9586,353045.0,300206.0,4385,2629,86570.0,-33731.0,300206.0,-33731.0
SNACKPACK_RASPBERRY,SNACKPACK,small_int_dev,SNACKPACK_VANILLA|PEBBLES_L,1|3,1911.7281,2254.6951,443805.0,299817.0,3989,2023,80482.5,63505.5,299817.0,63505.5
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,small_int_dev,GALAXY_SOUNDS_BLACK_HOLES|SLEEP_POD_POLYESTER,-3|-3,5779.9086,1145.1456,365551.5,299786.5,3787,2557,65765.0,0.0,299786.5,0.0
PEBBLES_L,PEBBLES,small_int_dev,PEBBLES_S|PEBBLES_XS,3|-1,1700.3051,859.633,480533.5,299152.0,3756,2375,84269.0,97112.5,299152.0,84269.0
PEBBLES_XS,PEBBLES,small_int_dev,PEBBLES_L|PEBBLES_S,-1|3,1700.3051,859.633,480533.5,299152.0,3756,2375,84269.0,97112.5,299152.0,84269.0
ROBOT_MOPPING,ROBOT,small_int_dev,PANEL_1X2|SLEEP_POD_POLYESTER,-1|-3,3506.1644,950.9994,320063.5,298312.0,5008,4486,0.0,21751.5,298312.0,0.0
TRANSLATOR_ASTRO_BLACK,TRANSLATOR,small_int_dev,PEBBLES_L|UV_VISOR_RED,-2|-3,2334.7724,1371.4478,381679.5,298200.0,4750,3915,41861.5,41618.0,298200.0,41618.0
ROBOT_MOPPING,ROBOT,small_int_dev,PEBBLES_S|SLEEP_POD_POLYESTER,3|-2,4731.7539,1296.7411,366095.0,298160.0,4893,3823,67935.0,0.0,298160.0,0.0
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,small_int_dev,TRANSLATOR_ASTRO_BLACK|SLEEP_POD_POLYESTER,-3|-3,3077.5211,1155.3409,346856.5,297802.5,4110,3040,47582.5,1471.5,297802.5,1471.5
SNACKPACK_RASPBERRY,SNACKPACK,small_int_dev,MICROCHIP_SQUARE|PEBBLES_XS,-3|-3,2333.9949,2658.7238,518877.5,297788.0,3250,1856,26949.0,194140.5,297788.0,26949.0
PEBBLES_L,PEBBLES,small_int_dev,PEBBLES_S|SNACKPACK_CHOCOLATE,3|-2,2438.9419,1105.0104,454709.5,297644.0,5077,4027,157065.5,0.0,297644.0,0.0
PEBBLES_XL,PEBBLES,small_int_dev,PEBBLES_L|PEBBLES_M,3|3,3496.0172,3436.4673,579421.0,297319.5,4203,1440,121262.0,160839.5,297319.5,121262.0
PEBBLES_L,PEBBLES,small_int_dev,PEBBLES_S|TRANSLATOR_ASTRO_BLACK,3|-1,2471.1492,1120.8076,349741.0,297147.0,5253,4989,52594.0,0.0,297147.0,0.0
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE,small_int_dev,SLEEP_POD_POLYESTER|SLEEP_POD_NYLON,1|3,1694.9372,519.331,341895.0,297076.5,4687,3651,0.0,44818.5,297076.5,0.0
SLEEP_POD_POLYESTER,SLEEP_POD,small_int_dev,SLEEP_POD_NYLON|OXYGEN_SHAKE_CHOCOLATE,-3|1,1694.9372,519.331,341895.0,297076.5,4687,3651,0.0,44818.5,297076.5,0.0
PANEL_1X4,PANEL,small_int_dev,PANEL_2X4|PEBBLES_S,-2|-3,2125.0805,1028.302,340110.5,296898.5,5429,5294,43212.0,0.0,296898.5,0.0
SNACKPACK_CHOCOLATE,SNACKPACK,small_int_dev,SNACKPACK_RASPBERRY|PEBBLES_L,-1|3,1960.4798,2293.7466,441657.5,296170.5,4105,2222,82164.0,63323.0,296170.5,63323.0
SNACKPACK_RASPBERRY,SNACKPACK,small_int_dev,SNACKPACK_CHOCOLATE|PEBBLES_L,-1|3,1960.4798,2293.7466,441657.5,296170.5,4105,2222,82164.0,63323.0,296170.5,63323.0
PEBBLES_L,PEBBLES,small_int_dev,PEBBLES_M|MICROCHIP_OVAL,3|3,3581.9411,1656.8289,373369.0,296082.0,4835,4422,77287.0,0.0,296082.0,0.0
PEBBLES_L,PEBBLES,small_int_dev,PEBBLES_S|GALAXY_SOUNDS_DARK_MATTER,3|-2,2731.9557,872.4791,348667.5,295211.5,3704,2294,53456.0,0.0,295211.5,0.0
ROBOT_DISHES,ROBOT,small_int_dev,MICROCHIP_TRIANGLE|PANEL_1X4,-3|-3,4166.6481,1074.7542,311992.0,294110.0,5893,5515,-22949.0,40831.0,294110.0,-22949.0
ROBOT_MOPPING,ROBOT,small_int_dev,TRANSLATOR_ASTRO_BLACK|PEBBLES_L,-2|-3,2237.7182,2737.7179,406322.5,294106.5,4981,3326,35597.5,76618.5,294106.5,35597.5
UV_VISOR_MAGENTA,UV_VISOR,small_int_dev,ROBOT_IRONING|PEBBLES_L,2|-3,3115.1452,1910.9071,314428.0,294065.5,4729,3728,52522.5,-32160.0,294065.5,-32160.0
SLEEP_POD_SUEDE,SLEEP_POD,small_int_dev,SLEEP_POD_POLYESTER|UV_VISOR_MAGENTA,3|-2,1440.3281,1022.0296,443373.5,293829.0,5227,3570,70114.5,79430.0,293829.0,70114.5
PEBBLES_M,PEBBLES,small_int_dev,PEBBLES_XL|MICROCHIP_SQUARE,2|-3,4672.3599,4240.8026,349973.5,293788.0,3702,1310,33186.5,22999.0,293788.0,22999.0
TRANSLATOR_ASTRO_BLACK,TRANSLATOR,small_int_dev,TRANSLATOR_VOID_BLUE|PEBBLES_L,-1|-3,1953.3812,2329.1697,398160.5,293735.0,4624,2772,61577.5,42848.0,293735.0,42848.0
UV_VISOR_MAGENTA,UV_VISOR,small_int_dev,UV_VISOR_RED|PEBBLES_M,-3|-3,3736.1247,1240.1133,337015.5,293576.5,4651,4164,0.0,43439.0,293576.5,0.0
MICROCHIP_CIRCLE,MICROCHIP,small_int_dev,MICROCHIP_OVAL|PEBBLES_XL,-3|-1,3490.7072,805.1746,379374.5,293191.5,4091,3035,86183.0,0.0,293191.5,0.0
MICROCHIP_SQUARE,MICROCHIP,small_int_dev,MICROCHIP_TRIANGLE|PEBBLES_XL,3|3,3610.4271,3754.8673,619797.0,292472.0,3546,1385,322004.0,5321.0,292472.0,5321.0
PEBBLES_S,PEBBLES,small_int_dev,PEBBLES_L|ROBOT_MOPPING,-2|-3,2708.6947,2465.2604,259937.0,292433.5,7072,4230,0.0,-32496.5,292433.5,-32496.5
PEBBLES_L,PEBBLES,small_int_dev,PEBBLES_S|SNACKPACK_STRAWBERRY,3|-2,3236.8317,1232.6664,404401.0,292412.5,5363,4275,111988.5,0.0,292412.5,0.0
PEBBLES_S,PEBBLES,small_int_dev,PEBBLES_L|ROBOT_MOPPING,-3|-3,3204.8077,3179.6989,270593.0,292349.5,7079,4619,0.0,-21756.5,292349.5,-21756.5
PEBBLES_M,PEBBLES,small_int_dev,PEBBLES_XL|UV_VISOR_MAGENTA,2|-3,2565.3099,3159.2316,545400.5,292179.0,3312,2749,189499.5,63722.0,292179.0,63722.0
MICROCHIP_SQUARE,MICROCHIP,small_int_dev,MICROCHIP_RECTANGLE|PEBBLES_XL,3|3,4204.406,4997.1152,459755.5,292143.5,4335,3503,147773.0,19839.0,292143.5,19839.0
PANEL_2X4,PANEL,small_int_dev,GALAXY_SOUNDS_DARK_MATTER|PEBBLES_L,-2|-3,2228.1806,2303.2724,330638.5,291299.5,4644,2952,38282.5,1056.5,291299.5,1056.5
