{'Strategy': 'round4_exp_60_grid_vfe71000_vev5000_71200.py', 'Full Kevin': 'skipped', 'Full Xeeshan': 'skipped', 'Window Kevin': '78,313', 'Window Kevin Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_60_grid_vfe71000_vev5000_71200_kevin_window', 'Window Xeeshan': '78,313', 'Window Xeeshan Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_60_grid_vfe71000_vev5000_71200_xeeshan_window', 'Official': 'pending'}
{'Strategy': 'round4_exp_71_grid_vfe71400_vev5000_73000.py', 'Full Kevin': 'skipped', 'Full Xeeshan': 'skipped', 'Window Kevin': '79,969', 'Window Kevin Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_71_grid_vfe71400_vev5000_73000_kevin_window', 'Window Xeeshan': '79,969', 'Window Xeeshan Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_71_grid_vfe71400_vev5000_73000_xeeshan_window', 'Official': 'pending'}
{'Strategy': 'round4_exp_72_grid_vfe71800_vev5000_71200.py', 'Full Kevin': 'skipped', 'Full Xeeshan': 'skipped', 'Window Kevin': '80,008', 'Window Kevin Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_72_grid_vfe71800_vev5000_71200_kevin_window', 'Window Xeeshan': '80,008', 'Window Xeeshan Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_72_grid_vfe71800_vev5000_71200_xeeshan_window', 'Official': 'pending'}
{'Strategy': 'round4_exp_73_grid_vfe71800_vev5000_71600.py', 'Full Kevin': 'skipped', 'Full Xeeshan': 'skipped', 'Window Kevin': '80,781', 'Window Kevin Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_73_grid_vfe71800_vev5000_71600_kevin_window', 'Window Xeeshan': '80,781', 'Window Xeeshan Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_73_grid_vfe71800_vev5000_71600_xeeshan_window', 'Official': 'pending'}
{'Strategy': 'round4_exp_74_grid_vfe71800_vev5000_71900.py', 'Full Kevin': 'skipped', 'Full Xeeshan': 'skipped', 'Window Kevin': '80,939', 'Window Kevin Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_74_grid_vfe71800_vev5000_71900_kevin_window', 'Window Xeeshan': '80,939', 'Window Xeeshan Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_74_grid_vfe71800_vev5000_71900_xeeshan_window', 'Official': 'pending'}
{'Strategy': 'round4_exp_75_grid_vfe71800_vev5000_72200.py', 'Full Kevin': 'skipped', 'Full Xeeshan': 'skipped', 'Window Kevin': '80,816', 'Window Kevin Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_75_grid_vfe71800_vev5000_72200_kevin_window', 'Window Xeeshan': '80,816', 'Window Xeeshan Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_75_grid_vfe71800_vev5000_72200_xeeshan_window', 'Official': 'pending'}
{'Strategy': 'round4_exp_76_grid_vfe71800_vev5000_72600.py', 'Full Kevin': 'skipped', 'Full Xeeshan': 'skipped', 'Window Kevin': '80,959', 'Window Kevin Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_76_grid_vfe71800_vev5000_72600_kevin_window', 'Window Xeeshan': '80,959', 'Window Xeeshan Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_76_grid_vfe71800_vev5000_72600_xeeshan_window', 'Official': 'pending'}
{'Strategy': 'round4_exp_77_grid_vfe71800_vev5000_73000.py', 'Full Kevin': 'skipped', 'Full Xeeshan': 'skipped', 'Window Kevin': '80,967', 'Window Kevin Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_77_grid_vfe71800_vev5000_73000_kevin_window', 'Window Xeeshan': '80,967', 'Window Xeeshan Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_77_grid_vfe71800_vev5000_73000_xeeshan_window', 'Official': 'pending'}
{'Strategy': 'round4_exp_78_grid_vfe71900_vev5000_71200.py', 'Full Kevin': 'skipped', 'Full Xeeshan': 'skipped', 'Window Kevin': '80,133', 'Window Kevin Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_78_grid_vfe71900_vev5000_71200_kevin_window', 'Window Xeeshan': '80,133', 'Window Xeeshan Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_78_grid_vfe71900_vev5000_71200_xeeshan_window', 'Official': 'pending'}
{'Strategy': 'round4_exp_79_grid_vfe71900_vev5000_71600.py', 'Full Kevin': 'skipped', 'Full Xeeshan': 'skipped', 'Window Kevin': '80,906', 'Window Kevin Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_79_grid_vfe71900_vev5000_71600_kevin_window', 'Window Xeeshan': '80,906', 'Window Xeeshan Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_79_grid_vfe71900_vev5000_71600_xeeshan_window', 'Official': 'pending'}
{'Strategy': 'round4_exp_80_grid_vfe71900_vev5000_71900.py', 'Full Kevin': 'skipped', 'Full Xeeshan': 'skipped', 'Window Kevin': '81,064', 'Window Kevin Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_80_grid_vfe71900_vev5000_71900_kevin_window', 'Window Xeeshan': '81,064', 'Window Xeeshan Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_80_grid_vfe71900_vev5000_71900_xeeshan_window', 'Official': 'pending'}
{'Strategy': 'round4_exp_81_grid_vfe71900_vev5000_72200.py', 'Full Kevin': 'skipped', 'Full Xeeshan': 'skipped', 'Window Kevin': '80,941', 'Window Kevin Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_81_grid_vfe71900_vev5000_72200_kevin_window', 'Window Xeeshan': '80,941', 'Window Xeeshan Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_81_grid_vfe71900_vev5000_72200_xeeshan_window', 'Official': 'pending'}
{'Strategy': 'round4_exp_82_grid_vfe71900_vev5000_72600.py', 'Full Kevin': 'skipped', 'Full Xeeshan': 'skipped', 'Window Kevin': '81,084', 'Window Kevin Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_82_grid_vfe71900_vev5000_72600_kevin_window', 'Window Xeeshan': '81,084', 'Window Xeeshan Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_82_grid_vfe71900_vev5000_72600_xeeshan_window', 'Official': 'pending'}
{'Strategy': 'round4_exp_83_grid_vfe71900_vev5000_73000.py', 'Full Kevin': 'skipped', 'Full Xeeshan': 'skipped', 'Window Kevin': '81,092', 'Window Kevin Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_83_grid_vfe71900_vev5000_73000_kevin_window', 'Window Xeeshan': '81,092', 'Window Xeeshan Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_83_grid_vfe71900_vev5000_73000_xeeshan_window', 'Official': 'pending'}
{'Strategy': 'round4_exp_84_grid_vfe72200_vev5000_71200.py', 'Full Kevin': 'skipped', 'Full Xeeshan': 'skipped', 'Window Kevin': '79,973', 'Window Kevin Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_84_grid_vfe72200_vev5000_71200_kevin_window', 'Window Xeeshan': '79,973', 'Window Xeeshan Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_84_grid_vfe72200_vev5000_71200_xeeshan_window', 'Official': 'pending'}
{'Strategy': 'round4_exp_85_grid_vfe72200_vev5000_71600.py', 'Full Kevin': 'skipped', 'Full Xeeshan': 'skipped', 'Window Kevin': '80,746', 'Window Kevin Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_85_grid_vfe72200_vev5000_71600_kevin_window', 'Window Xeeshan': '80,746', 'Window Xeeshan Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_85_grid_vfe72200_vev5000_71600_xeeshan_window', 'Official': 'pending'}
{'Strategy': 'round4_exp_86_grid_vfe72200_vev5000_71900.py', 'Full Kevin': 'skipped', 'Full Xeeshan': 'skipped', 'Window Kevin': '80,904', 'Window Kevin Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_86_grid_vfe72200_vev5000_71900_kevin_window', 'Window Xeeshan': '80,904', 'Window Xeeshan Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_86_grid_vfe72200_vev5000_71900_xeeshan_window', 'Official': 'pending'}
{'Strategy': 'round4_exp_87_grid_vfe72200_vev5000_72200.py', 'Full Kevin': 'skipped', 'Full Xeeshan': 'skipped', 'Window Kevin': '80,781', 'Window Kevin Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_87_grid_vfe72200_vev5000_72200_kevin_window', 'Window Xeeshan': '80,781', 'Window Xeeshan Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_87_grid_vfe72200_vev5000_72200_xeeshan_window', 'Official': 'pending'}
{'Strategy': 'round4_exp_88_grid_vfe72200_vev5000_72600.py', 'Full Kevin': 'skipped', 'Full Xeeshan': 'skipped', 'Window Kevin': '80,924', 'Window Kevin Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_88_grid_vfe72200_vev5000_72600_kevin_window', 'Window Xeeshan': '80,924', 'Window Xeeshan Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_88_grid_vfe72200_vev5000_72600_xeeshan_window', 'Official': 'pending'}
{'Strategy': 'round4_exp_89_grid_vfe72200_vev5000_73000.py', 'Full Kevin': 'skipped', 'Full Xeeshan': 'skipped', 'Window Kevin': '80,932', 'Window Kevin Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_89_grid_vfe72200_vev5000_73000_kevin_window', 'Window Xeeshan': '80,932', 'Window Xeeshan Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_89_grid_vfe72200_vev5000_73000_xeeshan_window', 'Official': 'pending'}
{'Strategy': 'round4_exp_90_grid_vfe72600_vev5000_71200.py', 'Full Kevin': 'skipped', 'Full Xeeshan': 'skipped', 'Window Kevin': '79,806', 'Window Kevin Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_90_grid_vfe72600_vev5000_71200_kevin_window', 'Window Xeeshan': '79,806', 'Window Xeeshan Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_90_grid_vfe72600_vev5000_71200_xeeshan_window', 'Official': 'pending'}
{'Strategy': 'round4_exp_91_grid_vfe72600_vev5000_71600.py', 'Full Kevin': 'skipped', 'Full Xeeshan': 'skipped', 'Window Kevin': '80,579', 'Window Kevin Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_91_grid_vfe72600_vev5000_71600_kevin_window', 'Window Xeeshan': '80,579', 'Window Xeeshan Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_91_grid_vfe72600_vev5000_71600_xeeshan_window', 'Official': 'pending'}
{'Strategy': 'round4_exp_92_grid_vfe72600_vev5000_71900.py', 'Full Kevin': 'skipped', 'Full Xeeshan': 'skipped', 'Window Kevin': '80,737', 'Window Kevin Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_92_grid_vfe72600_vev5000_71900_kevin_window', 'Window Xeeshan': '80,737', 'Window Xeeshan Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_92_grid_vfe72600_vev5000_71900_xeeshan_window', 'Official': 'pending'}
{'Strategy': 'round4_exp_93_grid_vfe72600_vev5000_72200.py', 'Full Kevin': 'skipped', 'Full Xeeshan': 'skipped', 'Window Kevin': '80,614', 'Window Kevin Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_93_grid_vfe72600_vev5000_72200_kevin_window', 'Window Xeeshan': '80,614', 'Window Xeeshan Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_93_grid_vfe72600_vev5000_72200_xeeshan_window', 'Official': 'pending'}
{'Strategy': 'round4_exp_94_grid_vfe72600_vev5000_72600.py', 'Full Kevin': 'skipped', 'Full Xeeshan': 'skipped', 'Window Kevin': '80,757', 'Window Kevin Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_94_grid_vfe72600_vev5000_72600_kevin_window', 'Window Xeeshan': '80,757', 'Window Xeeshan Run': 'C:\\Users\\kushagra\\OneDrive\\Documents\\CS Projects\\IMC Trading Comp\\ROUND4\\research\\outputs\\strategy_runs\\fast_loop_vfe5000_grid_window_20260427_230359\\round4_exp_94_grid_vfe72600_vev5000_72600_xeeshan_window', 'Official': 'pending'}
