day,product,category,rows,unique_timestamps,missing_bid1,missing_ask1,missing_bid2,missing_ask2,missing_bid3,missing_ask3,locked_books,crossed_books,negative_or_zero_mid,duplicated_timestamps,trade_count
2,ROBOT_VACUUMING,ROBOT,10000,10000,0,0,2226,2189,9874,9883,0,0,0,0,229
2,SLEEP_POD_COTTON,SLEEP_POD,10000,10000,0,0,2,3,9835,9854,0,0,0,0,229
2,SLEEP_POD_LAMB_WOOL,SLEEP_POD,10000,10000,0,0,0,1,9835,9854,0,0,0,0,229
2,SLEEP_POD_NYLON,SLEEP_POD,10000,10000,0,0,478,475,9840,9864,0,0,0,0,229
2,SLEEP_POD_POLYESTER,SLEEP_POD,10000,10000,0,0,15,12,9835,9854,0,0,0,0,229
2,SLEEP_POD_SUEDE,SLEEP_POD,10000,10000,0,0,71,64,9835,9854,0,0,0,0,229
2,SNACKPACK_CHOCOLATE,SNACKPACK,10000,10000,0,0,0,0,9835,9854,0,0,0,0,229
2,SNACKPACK_PISTACHIO,SNACKPACK,10000,10000,0,0,0,0,9835,9854,0,0,0,0,229
2,SNACKPACK_RASPBERRY,SNACKPACK,10000,10000,0,0,0,0,9835,9854,0,0,0,0,229
2,SNACKPACK_STRAWBERRY,SNACKPACK,10000,10000,0,0,0,0,9835,9854,0,0,0,0,229
2,SNACKPACK_VANILLA,SNACKPACK,10000,10000,0,0,0,0,9835,9854,0,0,0,0,229
2,TRANSLATOR_ASTRO_BLACK,TRANSLATOR,10000,10000,0,0,114,103,9837,9855,0,0,0,0,229
2,TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR,10000,10000,0,0,395,373,9842,9858,0,0,0,0,229
2,TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,10000,10000,0,0,234,194,9839,9859,0,0,0,0,229
2,TRANSLATOR_SPACE_GRAY,TRANSLATOR,10000,10000,0,0,291,314,9840,9857,0,0,0,0,229
2,TRANSLATOR_VOID_BLUE,TRANSLATOR,10000,10000,0,0,63,80,9836,9855,0,0,0,0,229
2,UV_VISOR_AMBER,UV_VISOR,10000,10000,0,0,0,0,9835,9854,0,0,0,0,229
2,UV_VISOR_MAGENTA,UV_VISOR,10000,10000,0,0,0,0,9835,9854,0,0,0,0,229
2,UV_VISOR_ORANGE,UV_VISOR,10000,10000,0,0,0,0,9835,9854,0,0,0,0,229
2,UV_VISOR_RED,UV_VISOR,10000,10000,0,0,0,0,9835,9854,0,0,0,0,229
2,UV_VISOR_YELLOW,UV_VISOR,10000,10000,0,0,0,0,9835,9854,0,0,0,0,229
3,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,10000,10000,0,0,0,0,9839,9825,0,0,0,0,255
3,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,10000,10000,0,0,0,0,9839,9825,0,0,0,0,255
3,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,10000,10000,0,0,0,0,9839,9825,0,0,0,0,255
3,GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,10000,10000,0,0,0,0,9839,9825,0,0,0,0,255
3,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,10000,10000,0,0,0,0,9839,9825,0,0,0,0,255
3,MICROCHIP_CIRCLE,MICROCHIP,10000,10000,0,0,1073,1068,9886,9860,0,0,0,0,194
3,MICROCHIP_OVAL,MICROCHIP,10000,10000,0,0,1423,1452,9896,9879,0,0,0,0,194
3,MICROCHIP_RECTANGLE,MICROCHIP,10000,10000,0,0,1638,1700,9895,9874,0,0,0,0,194
3,MICROCHIP_SQUARE,MICROCHIP,10000,10000,0,0,0,0,9875,9847,0,0,0,0,194
3,MICROCHIP_TRIANGLE,MICROCHIP,10000,10000,0,0,62,66,9877,9850,0,0,0,0,194
3,OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE,10000,10000,0,0,0,0,9839,9825,0,0,0,0,255
3,OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE,10000,10000,0,0,0,0,9839,9825,0,0,0,0,255
3,OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE,10000,10000,0,0,0,0,9839,9825,0,0,0,0,255
3,OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,10000,10000,0,0,0,0,9839,9825,0,0,0,0,255
3,OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE,10000,10000,0,0,0,0,9839,9825,0,0,0,0,255
3,PANEL_1X2,PANEL,10000,10000,0,0,0,0,9839,9825,0,0,0,0,255
3,PANEL_1X4,PANEL,10000,10000,0,0,544,541,9855,9833,0,0,0,0,255
3,PANEL_2X2,PANEL,10000,10000,0,0,117,120,9839,9825,0,0,0,0,255
3,PANEL_2X4,PANEL,10000,10000,0,0,0,0,9839,9825,0,0,0,0,255
3,PANEL_4X4,PANEL,10000,10000,0,0,450,452,9844,9835,0,0,0,0,255
3,PEBBLES_L,PEBBLES,10000,10000,0,0,0,0,9856,9865,0,0,0,0,230
3,PEBBLES_M,PEBBLES,10000,10000,0,0,0,0,9856,9865,0,0,0,0,230
3,PEBBLES_S,PEBBLES,10000,10000,0,0,0,0,9856,9865,0,0,0,0,230
3,PEBBLES_XL,PEBBLES,10000,10000,0,0,0,0,9856,9865,0,0,0,0,230
3,PEBBLES_XS,PEBBLES,10000,10000,0,0,242,227,9860,9869,0,0,0,0,230
3,ROBOT_DISHES,ROBOT,10000,10000,0,0,2421,2428,9880,9863,0,0,0,0,255
3,ROBOT_IRONING,ROBOT,10000,10000,0,0,2689,2669,9880,9886,0,0,0,0,255
3,ROBOT_LAUNDRY,ROBOT,10000,10000,0,0,1770,1874,9874,9857,0,0,0,0,255
3,ROBOT_MOPPING,ROBOT,10000,10000,0,0,1157,1176,9854,9853,0,0,0,0,255
3,ROBOT_VACUUMING,ROBOT,10000,10000,0,0,2683,2596,9889,9874,0,0,0,0,255
3,SLEEP_POD_COTTON,SLEEP_POD,10000,10000,0,0,0,0,9839,9825,0,0,0,0,255
3,SLEEP_POD_LAMB_WOOL,SLEEP_POD,10000,10000,0,0,9,5,9839,9825,0,0,0,0,255
3,SLEEP_POD_NYLON,SLEEP_POD,10000,10000,0,0,774,795,9854,9837,0,0,0,0,255
3,SLEEP_POD_POLYESTER,SLEEP_POD,10000,10000,0,0,0,0,9839,9825,0,0,0,0,255
3,SLEEP_POD_SUEDE,SLEEP_POD,10000,10000,0,0,0,0,9839,9825,0,0,0,0,255
3,SNACKPACK_CHOCOLATE,SNACKPACK,10000,10000,0,0,0,0,9839,9825,0,0,0,0,255
3,SNACKPACK_PISTACHIO,SNACKPACK,10000,10000,0,0,0,0,9839,9825,0,0,0,0,255
3,SNACKPACK_RASPBERRY,SNACKPACK,10000,10000,0,0,0,0,9839,9825,0,0,0,0,255
3,SNACKPACK_STRAWBERRY,SNACKPACK,10000,10000,0,0,0,0,9839,9825,0,0,0,0,255
3,SNACKPACK_VANILLA,SNACKPACK,10000,10000,0,0,0,0,9839,9825,0,0,0,0,255
3,TRANSLATOR_ASTRO_BLACK,TRANSLATOR,10000,10000,0,0,968,966,9861,9846,0,0,0,0,255
3,TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR,10000,10000,0,0,136,118,9839,9825,0,0,0,0,255
3,TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,10000,10000,0,0,153,145,9840,9825,0,0,0,0,255
3,TRANSLATOR_SPACE_GRAY,TRANSLATOR,10000,10000,0,0,401,405,9843,9830,0,0,0,0,255
3,TRANSLATOR_VOID_BLUE,TRANSLATOR,10000,10000,0,0,0,0,9839,9825,0,0,0,0,255
3,UV_VISOR_AMBER,UV_VISOR,10000,10000,0,0,0,0,9839,9825,0,0,0,0,255
3,UV_VISOR_MAGENTA,UV_VISOR,10000,10000,0,0,0,0,9839,9825,0,0,0,0,255
3,UV_VISOR_ORANGE,UV_VISOR,10000,10000,0,0,0,0,9839,9825,0,0,0,0,255
3,UV_VISOR_RED,UV_VISOR,10000,10000,0,0,0,0,9839,9825,0,0,0,0,255
3,UV_VISOR_YELLOW,UV_VISOR,10000,10000,0,0,0,0,9839,9825,0,0,0,0,255
4,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,10000,10000,0,0,0,0,9822,9828,0,0,0,0,249
4,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,10000,10000,0,0,0,0,9822,9828,0,0,0,0,249
4,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,10000,10000,0,0,0,0,9822,9828,0,0,0,0,249
4,GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,10000,10000,0,0,0,0,9822,9828,0,0,0,0,249
4,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,10000,10000,0,0,0,0,9822,9828,0,0,0,0,249
4,MICROCHIP_CIRCLE,MICROCHIP,10000,10000,0,0,565,525,9879,9870,0,0,0,0,201
4,MICROCHIP_OVAL,MICROCHIP,10000,10000,0,0,3817,3721,9919,9917,0,0,0,0,201
4,MICROCHIP_RECTANGLE,MICROCHIP,10000,10000,0,0,1723,1685,9901,9882,0,0,0,0,201
4,MICROCHIP_SQUARE,MICROCHIP,10000,10000,0,0,0,0,9875,9859,0,0,0,0,201
4,MICROCHIP_TRIANGLE,MICROCHIP,10000,10000,0,0,1362,1347,9897,9872,0,0,0,0,201
4,OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE,10000,10000,0,0,0,0,9822,9828,0,0,0,0,249
4,OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE,10000,10000,0,0,0,0,9822,9828,0,0,0,0,249
4,OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE,10000,10000,0,0,0,0,9822,9828,0,0,0,0,249
4,OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,10000,10000,0,0,0,0,9822,9828,0,0,0,0,249
4,OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE,10000,10000,0,0,0,0,9822,9828,0,0,0,0,249
4,PANEL_1X2,PANEL,10000,10000,0,0,0,0,9822,9828,0,0,0,0,249
4,PANEL_1X4,PANEL,10000,10000,0,0,1405,1503,9843,9851,0,0,0,0,249
4,PANEL_2X2,PANEL,10000,10000,0,0,1245,1205,9842,9841,0,0,0,0,249
4,PANEL_2X4,PANEL,10000,10000,0,0,0,0,9822,9828,0,0,0,0,249
4,PANEL_4X4,PANEL,10000,10000,0,0,201,217,9825,9831,0,0,0,0,249
4,PEBBLES_L,PEBBLES,10000,10000,0,0,0,0,9864,9848,0,0,0,0,202
4,PEBBLES_M,PEBBLES,10000,10000,0,0,0,0,9864,9848,0,0,0,0,202
4,PEBBLES_S,PEBBLES,10000,10000,0,0,0,0,9864,9848,0,0,0,0,202
4,PEBBLES_XL,PEBBLES,10000,10000,0,0,0,0,9864,9848,0,0,0,0,202
4,PEBBLES_XS,PEBBLES,10000,10000,0,0,950,962,9885,9863,0,0,0,0,202
4,ROBOT_DISHES,ROBOT,10000,10000,0,0,198,200,9824,9831,0,0,0,0,249
4,ROBOT_IRONING,ROBOT,10000,10000,0,0,91,90,9822,9829,0,0,0,0,249
4,ROBOT_LAUNDRY,ROBOT,10000,10000,0,0,2724,2730,9872,9866,0,0,0,0,249
4,ROBOT_MOPPING,ROBOT,10000,10000,0,0,590,602,9832,9840,0,0,0,0,249
4,ROBOT_VACUUMING,ROBOT,10000,10000,0,0,3057,2973,9878,9883,0,0,0,0,249
4,SLEEP_POD_COTTON,SLEEP_POD,10000,10000,0,0,0,0,9822,9828,0,0,0,0,249
4,SLEEP_POD_LAMB_WOOL,SLEEP_POD,10000,10000,0,0,0,0,9822,9828,0,0,0,0,249
4,SLEEP_POD_NYLON,SLEEP_POD,10000,10000,0,0,64,55,9822,9828,0,0,0,0,249
4,SLEEP_POD_POLYESTER,SLEEP_POD,10000,10000,0,0,0,0,9822,9828,0,0,0,0,249
4,SLEEP_POD_SUEDE,SLEEP_POD,10000,10000,0,0,0,0,9822,9828,0,0,0,0,249
4,SNACKPACK_CHOCOLATE,SNACKPACK,10000,10000,0,0,0,0,9822,9828,0,0,0,0,249
4,SNACKPACK_PISTACHIO,SNACKPACK,10000,10000,0,0,0,0,9822,9828,0,0,0,0,249
4,SNACKPACK_RASPBERRY,SNACKPACK,10000,10000,0,0,0,0,9822,9828,0,0,0,0,249
4,SNACKPACK_STRAWBERRY,SNACKPACK,10000,10000,0,0,0,0,9822,9828,0,0,0,0,249
4,SNACKPACK_VANILLA,SNACKPACK,10000,10000,0,0,0,0,9822,9828,0,0,0,0,249
4,TRANSLATOR_ASTRO_BLACK,TRANSLATOR,10000,10000,0,0,822,864,9835,9843,0,0,0,0,249
4,TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR,10000,10000,0,0,227,227,9828,9831,0,0,0,0,249
4,TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,10000,10000,0,0,18,12,9822,9828,0,0,0,0,249
4,TRANSLATOR_SPACE_GRAY,TRANSLATOR,10000,10000,0,0,1039,1039,9840,9841,0,0,0,0,249
4,TRANSLATOR_VOID_BLUE,TRANSLATOR,10000,10000,0,0,0,0,9822,9828,0,0,0,0,249
4,UV_VISOR_AMBER,UV_VISOR,10000,10000,0,0,12,14,9823,9829,0,0,0,0,249
4,UV_VISOR_MAGENTA,UV_VISOR,10000,10000,0,0,0,0,9822,9828,0,0,0,0,249
4,UV_VISOR_ORANGE,UV_VISOR,10000,10000,0,0,0,0,9822,9828,0,0,0,0,249
4,UV_VISOR_RED,UV_VISOR,10000,10000,0,0,0,0,9822,9828,0,0,0,0,249
4,UV_VISOR_YELLOW,UV_VISOR,10000,10000,0,0,0,0,9822,9828,0,0,0,0,249
