product,category,day,trade_count,trade_volume,avg_qty,avg_abs_trade_vs_mid,buy_side_proxy
MICROCHIP_OVAL,MICROCHIP,2,174,342,1.9655172413793103,4.379310344827586,0.5517241379310345
MICROCHIP_OVAL,MICROCHIP,3,194,383,1.9742268041237114,3.8608247422680413,0.5360824742268041
MICROCHIP_OVAL,MICROCHIP,4,201,394,1.9601990049751243,2.9527363184079602,0.4975124378109453
MICROCHIP_RECTANGLE,MICROCHIP,2,174,342,1.9655172413793103,4.307471264367816,0.5517241379310345
MICROCHIP_RECTANGLE,MICROCHIP,3,194,383,1.9742268041237114,3.7731958762886597,0.5360824742268041
MICROCHIP_RECTANGLE,MICROCHIP,4,201,394,1.9601990049751243,3.7611940298507465,0.4975124378109453
MICROCHIP_SQUARE,MICROCHIP,2,174,342,1.9655172413793103,4.933908045977011,0.5517241379310345
MICROCHIP_SQUARE,MICROCHIP,3,194,383,1.9742268041237114,6.291237113402062,0.5360824742268041
MICROCHIP_SQUARE,MICROCHIP,4,201,394,1.9601990049751243,6.440298507462686,0.4975124378109453
MICROCHIP_TRIANGLE,MICROCHIP,2,174,342,1.9655172413793103,4.580459770114943,0.5517241379310345
MICROCHIP_TRIANGLE,MICROCHIP,3,194,383,1.9742268041237114,4.525773195876289,0.5360824742268041
MICROCHIP_TRIANGLE,MICROCHIP,4,201,394,1.9601990049751243,3.925373134328358,0.4975124378109453
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE,2,229,562,2.4541484716157207,5.925764192139738,0.48034934497816595
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE,3,255,649,2.545098039215686,5.921568627450981,0.5098039215686274
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE,4,249,594,2.3855421686746987,6.419678714859438,0.4738955823293173
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE,2,229,562,2.4541484716157207,6.0174672489082965,0.48034934497816595
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE,3,255,649,2.545098039215686,5.870588235294117,0.5098039215686274
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE,4,249,594,2.3855421686746987,5.903614457831325,0.4738955823293173
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE,2,229,562,2.4541484716157207,7.034934497816594,0.48034934497816595
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE,3,255,649,2.545098039215686,7.3882352941176475,0.5098039215686274
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE,4,249,594,2.3855421686746987,8.094377510040161,0.4738955823293173
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,2,229,562,2.4541484716157207,6.3406113537117905,0.48034934497816595
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,3,255,649,2.545098039215686,6.529411764705882,0.5098039215686274
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,4,249,594,2.3855421686746987,5.997991967871486,0.4738955823293173
OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE,2,229,562,2.4541484716157207,6.753275109170306,0.48034934497816595
OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE,3,255,649,2.545098039215686,6.272549019607843,0.5098039215686274
OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE,4,249,594,2.3855421686746987,6.140562248995984,0.4738955823293173
PANEL_1X2,PANEL,2,229,562,2.4541484716157207,5.941048034934497,0.48034934497816595
PANEL_1X2,PANEL,3,255,649,2.545098039215686,5.356862745098039,0.5098039215686274
PANEL_1X2,PANEL,4,249,594,2.3855421686746987,5.937751004016064,0.4738955823293173
PANEL_1X4,PANEL,2,229,562,2.4541484716157207,4.475982532751091,0.48034934497816595
PANEL_1X4,PANEL,3,255,649,2.545098039215686,4.2215686274509805,0.5098039215686274
PANEL_1X4,PANEL,4,249,594,2.3855421686746987,3.8775100401606424,0.4738955823293173
PANEL_2X2,PANEL,2,229,562,2.4541484716157207,4.353711790393013,0.48034934497816595
PANEL_2X2,PANEL,3,255,649,2.545098039215686,4.452941176470588,0.5098039215686274
PANEL_2X2,PANEL,4,249,594,2.3855421686746987,3.9457831325301207,0.4738955823293173
PANEL_2X4,PANEL,2,229,562,2.4541484716157207,4.707423580786026,0.48034934497816595
PANEL_2X4,PANEL,3,255,649,2.545098039215686,4.866666666666666,0.5098039215686274
PANEL_2X4,PANEL,4,249,594,2.3855421686746987,5.140562248995984,0.4738955823293173
PANEL_4X4,PANEL,2,229,562,2.4541484716157207,4.471615720524017,0.48034934497816595
PANEL_4X4,PANEL,3,255,649,2.545098039215686,4.223529411764706,0.5098039215686274
PANEL_4X4,PANEL,4,249,594,2.3855421686746987,4.463855421686747,0.4738955823293173
PEBBLES_L,PEBBLES,2,212,754,3.556603773584906,6.346698113207547,0.49056603773584906
PEBBLES_L,PEBBLES,3,230,829,3.6043478260869564,6.6173913043478265,0.5130434782608696
PEBBLES_L,PEBBLES,4,202,700,3.4653465346534653,6.742574257425742,0.4900990099009901
PEBBLES_M,PEBBLES,2,212,754,3.556603773584906,6.261792452830188,0.49056603773584906
PEBBLES_M,PEBBLES,3,230,829,3.6043478260869564,6.556521739130435,0.5130434782608696
PEBBLES_M,PEBBLES,4,202,700,3.4653465346534653,6.982673267326732,0.4900990099009901
PEBBLES_S,PEBBLES,2,212,754,3.556603773584906,6.193396226415095,0.49056603773584906
PEBBLES_S,PEBBLES,3,230,829,3.6043478260869564,5.995652173913044,0.5130434782608696
PEBBLES_S,PEBBLES,4,202,700,3.4653465346534653,5.242574257425742,0.4900990099009901
PEBBLES_XL,PEBBLES,2,212,754,3.556603773584906,7.365566037735849,0.49056603773584906
PEBBLES_XL,PEBBLES,3,230,829,3.6043478260869564,8.46304347826087,0.5130434782608696
PEBBLES_XL,PEBBLES,4,202,700,3.4653465346534653,9.267326732673267,0.4900990099009901
PEBBLES_XS,PEBBLES,2,212,754,3.556603773584906,5.952830188679245,0.49056603773584906
PEBBLES_XS,PEBBLES,3,230,829,3.6043478260869564,4.636956521739131,0.5130434782608696
PEBBLES_XS,PEBBLES,4,202,700,3.4653465346534653,4.066831683168317,0.4900990099009901
ROBOT_DISHES,ROBOT,2,229,562,2.4541484716157207,3.4716157205240177,0.48034934497816595
ROBOT_DISHES,ROBOT,3,255,649,2.545098039215686,3.6254901960784314,0.5098039215686274
ROBOT_DISHES,ROBOT,4,249,594,2.3855421686746987,3.9076305220883536,0.4738955823293173
ROBOT_IRONING,ROBOT,2,229,562,2.4541484716157207,3.423580786026201,0.48034934497816595
ROBOT_IRONING,ROBOT,3,255,649,2.545098039215686,3.1901960784313728,0.5098039215686274
ROBOT_IRONING,ROBOT,4,249,594,2.3855421686746987,2.9518072289156625,0.4738955823293173
ROBOT_LAUNDRY,ROBOT,2,229,562,2.4541484716157207,3.722707423580786,0.48034934497816595
ROBOT_LAUNDRY,ROBOT,3,255,649,2.545098039215686,3.664705882352941,0.5098039215686274
ROBOT_LAUNDRY,ROBOT,4,249,594,2.3855421686746987,3.3514056224899598,0.4738955823293173
ROBOT_MOPPING,ROBOT,2,229,562,2.4541484716157207,3.8100436681222707,0.48034934497816595
ROBOT_MOPPING,ROBOT,3,255,649,2.545098039215686,3.9705882352941178,0.5098039215686274
ROBOT_MOPPING,ROBOT,4,249,594,2.3855421686746987,4.180722891566265,0.4738955823293173
ROBOT_VACUUMING,ROBOT,2,229,562,2.4541484716157207,3.596069868995633,0.48034934497816595
ROBOT_VACUUMING,ROBOT,3,255,649,2.545098039215686,3.3215686274509806,0.5098039215686274
ROBOT_VACUUMING,ROBOT,4,249,594,2.3855421686746987,3.218875502008032,0.4738955823293173
SLEEP_POD_COTTON,SLEEP_POD,2,229,562,2.4541484716157207,4.718340611353712,0.48034934497816595
SLEEP_POD_COTTON,SLEEP_POD,3,255,649,2.545098039215686,4.923529411764706,0.5098039215686274
SLEEP_POD_COTTON,SLEEP_POD,4,249,594,2.3855421686746987,5.403614457831325,0.4738955823293173
SLEEP_POD_LAMB_WOOL,SLEEP_POD,2,229,562,2.4541484716157207,4.7663755458515285,0.48034934497816595
SLEEP_POD_LAMB_WOOL,SLEEP_POD,3,255,649,2.545098039215686,4.6,0.5098039215686274
SLEEP_POD_LAMB_WOOL,SLEEP_POD,4,249,594,2.3855421686746987,4.732931726907631,0.4738955823293173
SLEEP_POD_NYLON,SLEEP_POD,2,229,562,2.4541484716157207,4.262008733624454,0.48034934497816595
SLEEP_POD_NYLON,SLEEP_POD,3,255,649,2.545098039215686,4.107843137254902,0.5098039215686274
SLEEP_POD_NYLON,SLEEP_POD,4,249,594,2.3855421686746987,4.481927710843373,0.4738955823293173
SLEEP_POD_POLYESTER,SLEEP_POD,2,229,562,2.4541484716157207,4.692139737991266,0.48034934497816595
SLEEP_POD_POLYESTER,SLEEP_POD,3,255,649,2.545098039215686,5.154901960784314,0.5098039215686274
SLEEP_POD_POLYESTER,SLEEP_POD,4,249,594,2.3855421686746987,5.536144578313253,0.4738955823293173
SLEEP_POD_SUEDE,SLEEP_POD,2,229,562,2.4541484716157207,4.558951965065503,0.48034934497816595
SLEEP_POD_SUEDE,SLEEP_POD,3,255,649,2.545098039215686,5.125490196078432,0.5098039215686274
SLEEP_POD_SUEDE,SLEEP_POD,4,249,594,2.3855421686746987,5.253012048192771,0.4738955823293173
SNACKPACK_CHOCOLATE,SNACKPACK,2,229,562,2.4541484716157207,8.353711790393014,0.48034934497816595
SNACKPACK_CHOCOLATE,SNACKPACK,3,255,649,2.545098039215686,8.239215686274509,0.5098039215686274
SNACKPACK_CHOCOLATE,SNACKPACK,4,249,594,2.3855421686746987,8.110441767068274,0.4738955823293173
SNACKPACK_PISTACHIO,SNACKPACK,2,229,562,2.4541484716157207,8.087336244541484,0.48034934497816595
SNACKPACK_PISTACHIO,SNACKPACK,3,255,649,2.545098039215686,7.8843137254901965,0.5098039215686274
SNACKPACK_PISTACHIO,SNACKPACK,4,249,594,2.3855421686746987,7.843373493975903,0.4738955823293173
SNACKPACK_RASPBERRY,SNACKPACK,2,229,562,2.4541484716157207,8.445414847161572,0.48034934497816595
SNACKPACK_RASPBERRY,SNACKPACK,3,255,649,2.545098039215686,8.409803921568628,0.5098039215686274
SNACKPACK_RASPBERRY,SNACKPACK,4,249,594,2.3855421686746987,8.413654618473895,0.4738955823293173
SNACKPACK_STRAWBERRY,SNACKPACK,2,229,562,2.4541484716157207,8.655021834061136,0.48034934497816595
SNACKPACK_STRAWBERRY,SNACKPACK,3,255,649,2.545098039215686,8.929411764705883,0.5098039215686274
SNACKPACK_STRAWBERRY,SNACKPACK,4,249,594,2.3855421686746987,9.144578313253012,0.4738955823293173
SNACKPACK_VANILLA,SNACKPACK,2,229,562,2.4541484716157207,8.458515283842795,0.48034934497816595
SNACKPACK_VANILLA,SNACKPACK,3,255,649,2.545098039215686,8.35686274509804,0.5098039215686274
SNACKPACK_VANILLA,SNACKPACK,4,249,594,2.3855421686746987,8.514056224899598,0.4738955823293173
TRANSLATOR_ASTRO_BLACK,TRANSLATOR,2,229,562,2.4541484716157207,4.41703056768559,0.48034934497816595
TRANSLATOR_ASTRO_BLACK,TRANSLATOR,3,255,649,2.545098039215686,3.996078431372549,0.5098039215686274
TRANSLATOR_ASTRO_BLACK,TRANSLATOR,4,249,594,2.3855421686746987,4.106425702811245,0.4738955823293173
TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR,2,229,562,2.4541484716157207,4.286026200873362,0.48034934497816595
TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR,3,255,649,2.545098039215686,4.401960784313726,0.5098039215686274
TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR,4,249,594,2.3855421686746987,4.353413654618474,0.4738955823293173
TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,2,229,562,2.4541484716157207,4.334061135371179,0.48034934497816595
TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,3,255,649,2.545098039215686,4.376470588235295,0.5098039215686274
TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,4,249,594,2.3855421686746987,4.640562248995984,0.4738955823293173
TRANSLATOR_SPACE_GRAY,TRANSLATOR,2,229,562,2.4541484716157207,4.349344978165939,0.48034934497816595
TRANSLATOR_SPACE_GRAY,TRANSLATOR,3,255,649,2.545098039215686,4.249019607843137,0.5098039215686274
TRANSLATOR_SPACE_GRAY,TRANSLATOR,4,249,594,2.3855421686746987,4.026104417670683,0.4738955823293173
TRANSLATOR_VOID_BLUE,TRANSLATOR,2,229,562,2.4541484716157207,4.53056768558952,0.48034934497816595
TRANSLATOR_VOID_BLUE,TRANSLATOR,3,255,649,2.545098039215686,4.849019607843137,0.5098039215686274
TRANSLATOR_VOID_BLUE,TRANSLATOR,4,249,594,2.3855421686746987,4.913654618473895,0.4738955823293173
UV_VISOR_AMBER,UV_VISOR,2,229,562,2.4541484716157207,5.945414847161572,0.48034934497816595
UV_VISOR_AMBER,UV_VISOR,3,255,649,2.545098039215686,4.988235294117647,0.5098039215686274
UV_VISOR_AMBER,UV_VISOR,4,249,594,2.3855421686746987,4.572289156626506,0.4738955823293173
UV_VISOR_MAGENTA,UV_VISOR,2,229,562,2.4541484716157207,6.6593886462882095,0.48034934497816595
UV_VISOR_MAGENTA,UV_VISOR,3,255,649,2.545098039215686,7.145098039215687,0.5098039215686274
UV_VISOR_MAGENTA,UV_VISOR,4,249,594,2.3855421686746987,7.323293172690763,0.4738955823293173
UV_VISOR_ORANGE,UV_VISOR,2,229,562,2.4541484716157207,6.334061135371179,0.48034934497816595
UV_VISOR_ORANGE,UV_VISOR,3,255,649,2.545098039215686,6.676470588235294,0.5098039215686274
UV_VISOR_ORANGE,UV_VISOR,4,249,594,2.3855421686746987,6.865461847389558,0.4738955823293173
UV_VISOR_RED,UV_VISOR,2,229,562,2.4541484716157207,6.884279475982533,0.48034934497816595
UV_VISOR_RED,UV_VISOR,3,255,649,2.545098039215686,6.7176470588235295,0.5098039215686274
UV_VISOR_RED,UV_VISOR,4,249,594,2.3855421686746987,7.471887550200803,0.4738955823293173
UV_VISOR_YELLOW,UV_VISOR,2,229,562,2.4541484716157207,6.87117903930131,0.48034934497816595
UV_VISOR_YELLOW,UV_VISOR,3,255,649,2.545098039215686,7.17843137254902,0.5098039215686274
UV_VISOR_YELLOW,UV_VISOR,4,249,594,2.3855421686746987,6.807228915662651,0.4738955823293173
