segment,product,horizon,buyer,seller,events,quantity,buyer_direction_score,family
late,VEV_5200,500,Mark 14,Mark 22,33,122.0,-0.29508196721311475,static_short
late,VEV_5200,500,Mark 22,Mark 38,1,3.0,2.0,static_short
late,VEV_5200,500,Mark 38,Mark 22,2,3.0,0.3333333333333333,static_short
late,VEV_5200,1000,Mark 01,Mark 22,11,34.0,1.25,static_short
late,VEV_5200,1000,Mark 14,Mark 22,33,122.0,-0.1885245901639344,static_short
late,VEV_5200,1000,Mark 22,Mark 38,1,3.0,2.0,static_short
late,VEV_5200,1000,Mark 38,Mark 22,2,3.0,-1.3333333333333333,static_short
late,VEV_5200,5000,Mark 01,Mark 22,11,34.0,2.7941176470588234,static_short
late,VEV_5200,5000,Mark 14,Mark 22,33,122.0,-0.0942622950819672,static_short
late,VEV_5200,5000,Mark 22,Mark 38,1,3.0,7.5,static_short
late,VEV_5200,5000,Mark 38,Mark 22,2,3.0,-0.8333333333333334,static_short
late,VEV_5200,10000,Mark 01,Mark 22,11,34.0,3.6470588235294117,static_short
late,VEV_5200,10000,Mark 14,Mark 22,33,122.0,-0.3360655737704918,static_short
late,VEV_5200,10000,Mark 22,Mark 38,1,3.0,10.0,static_short
late,VEV_5200,10000,Mark 38,Mark 22,2,3.0,4.666666666666667,static_short
late,VEV_5200,20000,Mark 01,Mark 22,11,34.0,4.75,static_short
late,VEV_5200,20000,Mark 14,Mark 22,32,117.0,0.3504273504273504,static_short
late,VEV_5200,20000,Mark 22,Mark 38,1,3.0,11.5,static_short
late,VEV_5200,20000,Mark 38,Mark 22,2,3.0,5.0,static_short
late,VEV_5200,40000,Mark 01,Mark 22,11,34.0,8.808823529411764,static_short
late,VEV_5200,40000,Mark 14,Mark 22,32,117.0,0.717948717948718,static_short
late,VEV_5200,40000,Mark 22,Mark 38,1,3.0,4.0,static_short
late,VEV_5200,40000,Mark 38,Mark 22,2,3.0,8.333333333333334,static_short
late,VEV_5300,500,Mark 01,Mark 22,125,416.0,-0.13581730769230768,static_short
late,VEV_5300,500,Mark 14,Mark 22,30,105.0,-0.46190476190476193,static_short
late,VEV_5300,500,Mark 22,Mark 38,1,3.0,0.5,static_short
late,VEV_5300,500,Mark 38,Mark 22,1,1.0,0.5,static_short
late,VEV_5300,1000,Mark 01,Mark 22,125,416.0,-0.12379807692307693,static_short
late,VEV_5300,1000,Mark 14,Mark 22,30,105.0,-0.16666666666666666,static_short
late,VEV_5300,1000,Mark 22,Mark 38,1,3.0,1.0,static_short
late,VEV_5300,1000,Mark 38,Mark 22,1,1.0,0.5,static_short
late,VEV_5300,5000,Mark 01,Mark 22,125,416.0,0.07091346153846154,static_short
late,VEV_5300,5000,Mark 14,Mark 22,30,105.0,0.6,static_short
late,VEV_5300,5000,Mark 22,Mark 38,1,3.0,3.5,static_short
late,VEV_5300,5000,Mark 38,Mark 22,1,1.0,0.5,static_short
late,VEV_5300,10000,Mark 01,Mark 22,124,411.0,0.33941605839416056,static_short
late,VEV_5300,10000,Mark 14,Mark 22,30,105.0,0.6619047619047619,static_short
late,VEV_5300,10000,Mark 22,Mark 38,1,3.0,5.5,static_short
late,VEV_5300,10000,Mark 38,Mark 22,1,1.0,8.0,static_short
late,VEV_5300,20000,Mark 01,Mark 22,123,406.0,0.41748768472906406,static_short
late,VEV_5300,20000,Mark 14,Mark 22,29,102.0,0.6764705882352942,static_short
late,VEV_5300,20000,Mark 22,Mark 38,1,3.0,6.5,static_short
late,VEV_5300,20000,Mark 38,Mark 22,1,1.0,3.5,static_short
late,VEV_5300,40000,Mark 01,Mark 22,121,400.0,0.295,static_short
late,VEV_5300,40000,Mark 14,Mark 22,27,96.0,-0.359375,static_short
late,VEV_5300,40000,Mark 22,Mark 38,1,3.0,2.0,static_short
late,VEV_5300,40000,Mark 38,Mark 22,1,1.0,9.5,static_short
late,VEV_5400,500,Mark 01,Mark 22,244,847.0,-0.0035419126328217238,static_short
late,VEV_5400,500,Mark 14,Mark 22,10,38.0,-0.3026315789473684,static_short
late,VEV_5400,1000,Mark 01,Mark 22,244,847.0,0.011216056670602124,static_short
late,VEV_5400,1000,Mark 14,Mark 22,10,38.0,-0.42105263157894735,static_short
late,VEV_5400,5000,Mark 01,Mark 22,243,843.0,0.17615658362989323,static_short
late,VEV_5400,5000,Mark 14,Mark 22,10,38.0,-0.7763157894736842,static_short
late,VEV_5400,10000,Mark 01,Mark 22,241,833.0,0.1362545018007203,static_short
late,VEV_5400,10000,Mark 14,Mark 22,10,38.0,-0.5526315789473685,static_short
late,VEV_5400,20000,Mark 01,Mark 22,239,825.0,0.16727272727272727,static_short
late,VEV_5400,20000,Mark 14,Mark 22,10,38.0,-0.6578947368421053,static_short
late,VEV_5400,40000,Mark 01,Mark 22,238,821.0,0.1784409257003654,static_short
late,VEV_5400,40000,Mark 14,Mark 22,10,38.0,-1.9473684210526316,static_short
late,VEV_5500,500,Mark 01,Mark 22,275,957.0,-0.015151515151515152,static_short
late,VEV_5500,500,Mark 14,Mark 22,6,25.0,-0.36,static_short
late,VEV_5500,1000,Mark 01,Mark 22,275,957.0,-0.0020898641588296763,static_short
late,VEV_5500,1000,Mark 14,Mark 22,6,25.0,-0.2,static_short
late,VEV_5500,5000,Mark 01,Mark 22,274,953.0,0.04669464847848898,static_short
late,VEV_5500,5000,Mark 14,Mark 22,6,25.0,-0.52,static_short
late,VEV_5500,10000,Mark 01,Mark 22,273,948.0,0.003691983122362869,static_short
late,VEV_5500,10000,Mark 14,Mark 22,6,25.0,-0.68,static_short
late,VEV_5500,20000,Mark 01,Mark 22,271,940.0,0.04148936170212766,static_short
late,VEV_5500,20000,Mark 14,Mark 22,6,25.0,-0.88,static_short
late,VEV_5500,40000,Mark 01,Mark 22,267,928.0,-0.03394396551724138,static_short
late,VEV_5500,40000,Mark 14,Mark 22,6,25.0,-1.4,static_short
late,VEV_6000,500,Mark 01,Mark 22,291,1015.0,0.0,far_otm
late,VEV_6000,1000,Mark 01,Mark 22,291,1015.0,0.0,far_otm
late,VEV_6000,5000,Mark 01,Mark 22,290,1011.0,0.0,far_otm
late,VEV_6000,10000,Mark 01,Mark 22,288,1001.0,0.0,far_otm
late,VEV_6000,20000,Mark 01,Mark 22,286,993.0,0.0,far_otm
late,VEV_6000,40000,Mark 01,Mark 22,282,981.0,0.0,far_otm
late,VEV_6500,500,Mark 01,Mark 22,291,1015.0,0.0,far_otm
late,VEV_6500,1000,Mark 01,Mark 22,291,1015.0,0.0,far_otm
late,VEV_6500,5000,Mark 01,Mark 22,290,1011.0,0.0,far_otm
late,VEV_6500,10000,Mark 01,Mark 22,288,1001.0,0.0,far_otm
late,VEV_6500,20000,Mark 01,Mark 22,286,993.0,0.0,far_otm
late,VEV_6500,40000,Mark 01,Mark 22,282,981.0,0.0,far_otm
post40,VEV_4000,500,Mark 14,Mark 38,227,448.0,-0.25111607142857145,static_short
post40,VEV_4000,500,Mark 22,Mark 38,1,3.0,-1.5,static_short
post40,VEV_4000,500,Mark 38,Mark 14,199,396.0,0.14898989898989898,static_short
post40,VEV_4000,500,Mark 38,Mark 22,2,3.0,5.0,static_short
post40,VEV_4000,1000,Mark 14,Mark 38,227,448.0,0.0234375,static_short
post40,VEV_4000,1000,Mark 22,Mark 38,1,3.0,-1.0,static_short
post40,VEV_4000,1000,Mark 38,Mark 14,199,396.0,0.24494949494949494,static_short
post40,VEV_4000,1000,Mark 38,Mark 22,2,3.0,2.5,static_short
post40,VEV_4000,5000,Mark 14,Mark 38,226,446.0,-0.5,static_short
post40,VEV_4000,5000,Mark 22,Mark 38,1,3.0,8.0,static_short
post40,VEV_4000,5000,Mark 38,Mark 14,197,390.0,-0.15128205128205127,static_short
post40,VEV_4000,5000,Mark 38,Mark 22,2,3.0,3.1666666666666665,static_short
post40,VEV_4000,10000,Mark 14,Mark 38,226,446.0,-0.15358744394618834,static_short
post40,VEV_4000,10000,Mark 22,Mark 38,1,3.0,12.0,static_short
post40,VEV_4000,10000,Mark 38,Mark 14,195,384.0,-0.06380208333333333,static_short
post40,VEV_4000,10000,Mark 38,Mark 22,2,3.0,12.5,static_short
post40,VEV_4000,20000,Mark 14,Mark 38,225,444.0,-0.5608108108108109,static_short
post40,VEV_4000,20000,Mark 22,Mark 38,1,3.0,15.0,static_short
post40,VEV_4000,20000,Mark 38,Mark 14,195,384.0,-0.19270833333333334,static_short
post40,VEV_4000,20000,Mark 38,Mark 22,2,3.0,12.666666666666666,static_short
post40,VEV_4000,40000,Mark 14,Mark 38,219,432.0,-1.1041666666666667,static_short
post40,VEV_4000,40000,Mark 22,Mark 38,1,3.0,2.0,static_short
post40,VEV_4000,40000,Mark 38,Mark 14,190,375.0,0.9213333333333333,static_short
post40,VEV_4000,40000,Mark 38,Mark 22,2,3.0,17.833333333333332,static_short
post40,VEV_4500,500,Mark 22,Mark 38,1,3.0,0.0,static_short
post40,VEV_4500,500,Mark 38,Mark 22,2,3.0,3.1666666666666665,static_short
post40,VEV_4500,1000,Mark 22,Mark 38,1,3.0,0.5,static_short
post40,VEV_4500,1000,Mark 38,Mark 22,2,3.0,1.0,static_short
post40,VEV_4500,5000,Mark 22,Mark 38,1,3.0,9.0,static_short
post40,VEV_4500,5000,Mark 38,Mark 22,2,3.0,1.5,static_short
post40,VEV_4500,10000,Mark 22,Mark 38,1,3.0,13.0,static_short
post40,VEV_4500,10000,Mark 38,Mark 22,2,3.0,10.5,static_short
post40,VEV_4500,20000,Mark 22,Mark 38,1,3.0,16.0,static_short
post40,VEV_4500,20000,Mark 38,Mark 22,2,3.0,10.833333333333334,static_short
post40,VEV_4500,40000,Mark 22,Mark 38,1,3.0,3.5,static_short
post40,VEV_4500,40000,Mark 38,Mark 22,2,3.0,16.833333333333332,static_short
post40,VEV_5000,500,Mark 22,Mark 38,1,3.0,2.5,active_mid
post40,VEV_5000,500,Mark 38,Mark 22,2,3.0,0.8333333333333334,active_mid
post40,VEV_5000,1000,Mark 22,Mark 38,1,3.0,3.5,active_mid
post40,VEV_5000,1000,Mark 38,Mark 22,2,3.0,-1.6666666666666667,active_mid
post40,VEV_5000,5000,Mark 22,Mark 38,1,3.0,11.5,active_mid
post40,VEV_5000,5000,Mark 38,Mark 22,2,3.0,-0.6666666666666666,active_mid
post40,VEV_5000,10000,Mark 22,Mark 38,1,3.0,15.5,active_mid
post40,VEV_5000,10000,Mark 38,Mark 22,2,3.0,8.0,active_mid
post40,VEV_5000,20000,Mark 22,Mark 38,1,3.0,18.5,active_mid
post40,VEV_5000,20000,Mark 38,Mark 22,2,3.0,8.333333333333334,active_mid
post40,VEV_5000,40000,Mark 22,Mark 38,1,3.0,6.0,active_mid
post40,VEV_5000,40000,Mark 38,Mark 22,2,3.0,13.333333333333334,active_mid
post40,VEV_5100,500,Mark 22,Mark 38,1,3.0,2.5,active_mid
post40,VEV_5100,500,Mark 38,Mark 22,2,3.0,0.3333333333333333,active_mid
post40,VEV_5100,1000,Mark 22,Mark 38,1,3.0,3.0,active_mid
post40,VEV_5100,1000,Mark 38,Mark 22,2,3.0,-1.3333333333333333,active_mid
post40,VEV_5100,5000,Mark 22,Mark 38,1,3.0,10.5,active_mid
post40,VEV_5100,5000,Mark 38,Mark 22,2,3.0,-0.6666666666666666,active_mid
post40,VEV_5100,10000,Mark 22,Mark 38,1,3.0,13.5,active_mid
post40,VEV_5100,10000,Mark 38,Mark 22,2,3.0,6.666666666666667,active_mid
post40,VEV_5100,20000,Mark 22,Mark 38,1,3.0,16.5,active_mid
post40,VEV_5100,20000,Mark 38,Mark 22,2,3.0,6.833333333333333,active_mid
post40,VEV_5100,40000,Mark 22,Mark 38,1,3.0,5.5,active_mid
post40,VEV_5100,40000,Mark 38,Mark 22,2,3.0,11.333333333333334,active_mid
post40,VEV_5200,500,Mark 01,Mark 22,11,34.0,0.07352941176470588,static_short
post40,VEV_5200,500,Mark 14,Mark 22,33,122.0,-0.29508196721311475,static_short
post40,VEV_5200,500,Mark 22,Mark 38,1,3.0,2.0,static_short
post40,VEV_5200,500,Mark 38,Mark 22,2,3.0,0.3333333333333333,static_short
post40,VEV_5200,1000,Mark 01,Mark 22,11,34.0,1.25,static_short
post40,VEV_5200,1000,Mark 14,Mark 22,33,122.0,-0.1885245901639344,static_short
post40,VEV_5200,1000,Mark 22,Mark 38,1,3.0,2.0,static_short
post40,VEV_5200,1000,Mark 38,Mark 22,2,3.0,-1.3333333333333333,static_short
post40,VEV_5200,5000,Mark 01,Mark 22,11,34.0,2.7941176470588234,static_short
post40,VEV_5200,5000,Mark 14,Mark 22,33,122.0,-0.0942622950819672,static_short
post40,VEV_5200,5000,Mark 22,Mark 38,1,3.0,7.5,static_short
post40,VEV_5200,5000,Mark 38,Mark 22,2,3.0,-0.8333333333333334,static_short
post40,VEV_5200,10000,Mark 01,Mark 22,11,34.0,3.6470588235294117,static_short
post40,VEV_5200,10000,Mark 14,Mark 22,33,122.0,-0.3360655737704918,static_short
post40,VEV_5200,10000,Mark 22,Mark 38,1,3.0,10.0,static_short
post40,VEV_5200,10000,Mark 38,Mark 22,2,3.0,4.666666666666667,static_short
post40,VEV_5200,20000,Mark 01,Mark 22,11,34.0,4.75,static_short
post40,VEV_5200,20000,Mark 14,Mark 22,32,117.0,0.3504273504273504,static_short
post40,VEV_5200,20000,Mark 22,Mark 38,1,3.0,11.5,static_short
post40,VEV_5200,20000,Mark 38,Mark 22,2,3.0,5.0,static_short
post40,VEV_5200,40000,Mark 01,Mark 22,11,34.0,8.808823529411764,static_short
post40,VEV_5200,40000,Mark 14,Mark 22,32,117.0,0.717948717948718,static_short
post40,VEV_5200,40000,Mark 22,Mark 38,1,3.0,4.0,static_short
post40,VEV_5200,40000,Mark 38,Mark 22,2,3.0,8.333333333333334,static_short
post40,VEV_5300,500,Mark 01,Mark 22,127,423.0,-0.14775413711583923,static_short
post40,VEV_5300,500,Mark 14,Mark 22,30,105.0,-0.46190476190476193,static_short
post40,VEV_5300,500,Mark 22,Mark 38,1,3.0,0.5,static_short
post40,VEV_5300,500,Mark 38,Mark 22,1,1.0,0.5,static_short
post40,VEV_5300,1000,Mark 01,Mark 22,127,423.0,-0.16193853427895982,static_short
post40,VEV_5300,1000,Mark 14,Mark 22,30,105.0,-0.16666666666666666,static_short
post40,VEV_5300,1000,Mark 22,Mark 38,1,3.0,1.0,static_short
post40,VEV_5300,1000,Mark 38,Mark 22,1,1.0,0.5,static_short
post40,VEV_5300,5000,Mark 01,Mark 22,127,423.0,0.06973995271867613,static_short
post40,VEV_5300,5000,Mark 14,Mark 22,30,105.0,0.6,static_short
post40,VEV_5300,5000,Mark 22,Mark 38,1,3.0,3.5,static_short
post40,VEV_5300,5000,Mark 38,Mark 22,1,1.0,0.5,static_short
post40,VEV_5300,10000,Mark 01,Mark 22,126,418.0,0.35287081339712917,static_short
post40,VEV_5300,10000,Mark 14,Mark 22,30,105.0,0.6619047619047619,static_short
post40,VEV_5300,10000,Mark 22,Mark 38,1,3.0,5.5,static_short
post40,VEV_5300,10000,Mark 38,Mark 22,1,1.0,8.0,static_short
post40,VEV_5300,20000,Mark 01,Mark 22,125,413.0,0.44188861985472155,static_short
post40,VEV_5300,20000,Mark 14,Mark 22,29,102.0,0.6764705882352942,static_short
post40,VEV_5300,20000,Mark 22,Mark 38,1,3.0,6.5,static_short
post40,VEV_5300,20000,Mark 38,Mark 22,1,1.0,3.5,static_short
post40,VEV_5300,40000,Mark 01,Mark 22,123,407.0,0.3095823095823096,static_short
post40,VEV_5300,40000,Mark 14,Mark 22,27,96.0,-0.359375,static_short
post40,VEV_5300,40000,Mark 22,Mark 38,1,3.0,2.0,static_short
post40,VEV_5300,40000,Mark 38,Mark 22,1,1.0,9.5,static_short
post40,VEV_5400,500,Mark 01,Mark 22,253,879.0,-0.0005688282138794084,static_short
post40,VEV_5400,500,Mark 14,Mark 22,12,46.0,-0.42391304347826086,static_short
post40,VEV_5400,1000,Mark 01,Mark 22,253,879.0,0.013083048919226393,static_short
post40,VEV_5400,1000,Mark 14,Mark 22,12,46.0,-0.5543478260869565,static_short
post40,VEV_5400,5000,Mark 01,Mark 22,252,875.0,0.20457142857142857,static_short
post40,VEV_5400,5000,Mark 14,Mark 22,12,46.0,-0.7717391304347826,static_short
post40,VEV_5400,10000,Mark 01,Mark 22,250,865.0,0.15664739884393064,static_short
post40,VEV_5400,10000,Mark 14,Mark 22,12,46.0,-0.6413043478260869,static_short
post40,VEV_5400,20000,Mark 01,Mark 22,248,857.0,0.18903150525087514,static_short
post40,VEV_5400,20000,Mark 14,Mark 22,12,46.0,-0.8913043478260869,static_short
post40,VEV_5400,40000,Mark 01,Mark 22,247,853.0,0.18347010550996484,static_short
post40,VEV_5400,40000,Mark 14,Mark 22,12,46.0,-1.4782608695652173,static_short
post40,VEV_5500,500,Mark 01,Mark 22,286,999.0,-0.01701701701701702,static_short
post40,VEV_5500,500,Mark 14,Mark 22,7,27.0,-0.3333333333333333,static_short
post40,VEV_5500,1000,Mark 01,Mark 22,286,999.0,-0.011011011011011011,static_short
post40,VEV_5500,1000,Mark 14,Mark 22,7,27.0,-0.18518518518518517,static_short
post40,VEV_5500,5000,Mark 01,Mark 22,285,995.0,0.05226130653266332,static_short
post40,VEV_5500,5000,Mark 14,Mark 22,7,27.0,-0.48148148148148145,static_short
post40,VEV_5500,10000,Mark 01,Mark 22,284,990.0,0.013636363636363636,static_short
post40,VEV_5500,10000,Mark 14,Mark 22,7,27.0,-0.6296296296296297,static_short
post40,VEV_5500,20000,Mark 01,Mark 22,282,982.0,0.04073319755600815,static_short
post40,VEV_5500,20000,Mark 14,Mark 22,7,27.0,-0.8888888888888888,static_short
post40,VEV_5500,40000,Mark 01,Mark 22,278,970.0,-0.029381443298969072,static_short
post40,VEV_5500,40000,Mark 14,Mark 22,7,27.0,-1.3333333333333333,static_short
post40,VEV_6000,500,Mark 01,Mark 22,304,1062.0,0.0,far_otm
post40,VEV_6000,1000,Mark 01,Mark 22,304,1062.0,0.0,far_otm
post40,VEV_6000,5000,Mark 01,Mark 22,303,1058.0,0.0,far_otm
post40,VEV_6000,10000,Mark 01,Mark 22,301,1048.0,0.0,far_otm
post40,VEV_6000,20000,Mark 01,Mark 22,299,1040.0,0.0,far_otm
post40,VEV_6000,40000,Mark 01,Mark 22,295,1028.0,0.0,far_otm
post40,VEV_6500,500,Mark 01,Mark 22,304,1062.0,0.0,far_otm
post40,VEV_6500,1000,Mark 01,Mark 22,304,1062.0,0.0,far_otm
post40,VEV_6500,5000,Mark 01,Mark 22,303,1058.0,0.0,far_otm
post40,VEV_6500,10000,Mark 01,Mark 22,301,1048.0,0.0,far_otm
post40,VEV_6500,20000,Mark 01,Mark 22,299,1040.0,0.0,far_otm
post40,VEV_6500,40000,Mark 01,Mark 22,295,1028.0,0.0,far_otm
pre40,VEV_4000,500,Mark 14,Mark 38,5,10.0,2.05,static_short
pre40,VEV_4000,500,Mark 38,Mark 14,8,16.0,-0.5,static_short
pre40,VEV_4000,1000,Mark 14,Mark 38,5,10.0,1.5,static_short
pre40,VEV_4000,1000,Mark 38,Mark 14,8,16.0,-0.71875,static_short
pre40,VEV_4000,5000,Mark 14,Mark 38,5,10.0,1.85,static_short
pre40,VEV_4000,5000,Mark 38,Mark 14,8,16.0,-3.5,static_short
pre40,VEV_4000,10000,Mark 14,Mark 38,5,10.0,0.0,static_short
pre40,VEV_4000,10000,Mark 38,Mark 14,8,16.0,-3.59375,static_short
pre40,VEV_4000,20000,Mark 14,Mark 38,5,10.0,-4.9,static_short
pre40,VEV_4000,20000,Mark 38,Mark 14,8,16.0,-7.25,static_short
pre40,VEV_4000,40000,Mark 14,Mark 38,5,10.0,-7.85,static_short
pre40,VEV_4000,40000,Mark 38,Mark 14,8,16.0,-8.78125,static_short
pre40,VEV_5300,500,Mark 01,Mark 22,5,16.0,0.3125,static_short
pre40,VEV_5300,1000,Mark 01,Mark 22,5,16.0,0.375,static_short
pre40,VEV_5300,5000,Mark 01,Mark 22,5,16.0,-1.625,static_short
pre40,VEV_5300,10000,Mark 01,Mark 22,5,16.0,-4.28125,static_short
pre40,VEV_5300,20000,Mark 01,Mark 22,5,16.0,-5.125,static_short
pre40,VEV_5300,40000,Mark 01,Mark 22,5,16.0,-3.0625,static_short
pre40,VEV_5400,500,Mark 01,Mark 22,10,32.0,-0.265625,static_short
pre40,VEV_5400,500,Mark 14,Mark 22,1,2.0,0.0,static_short
pre40,VEV_5400,1000,Mark 01,Mark 22,10,32.0,-0.21875,static_short
pre40,VEV_5400,1000,Mark 14,Mark 22,1,2.0,0.0,static_short
pre40,VEV_5400,5000,Mark 01,Mark 22,10,32.0,-1.171875,static_short
pre40,VEV_5400,5000,Mark 14,Mark 22,1,2.0,-1.5,static_short
pre40,VEV_5400,10000,Mark 01,Mark 22,10,32.0,-2.109375,static_short
pre40,VEV_5400,10000,Mark 14,Mark 22,1,2.0,-4.0,static_short
pre40,VEV_5400,20000,Mark 01,Mark 22,10,32.0,-2.078125,static_short
pre40,VEV_5400,20000,Mark 14,Mark 22,1,2.0,-4.0,static_short
pre40,VEV_5400,40000,Mark 01,Mark 22,10,32.0,-1.8125,static_short
pre40,VEV_5400,40000,Mark 14,Mark 22,1,2.0,-2.0,static_short
pre40,VEV_5500,500,Mark 01,Mark 22,13,43.0,0.023255813953488372,static_short
pre40,VEV_5500,1000,Mark 01,Mark 22,13,43.0,-0.09302325581395349,static_short
pre40,VEV_5500,5000,Mark 01,Mark 22,13,43.0,-0.45348837209302323,static_short
pre40,VEV_5500,10000,Mark 01,Mark 22,13,43.0,-0.5116279069767442,static_short
pre40,VEV_5500,20000,Mark 01,Mark 22,13,43.0,-0.6627906976744186,static_short
pre40,VEV_5500,40000,Mark 01,Mark 22,13,43.0,-0.3372093023255814,static_short
pre40,VEV_6000,500,Mark 01,Mark 22,13,43.0,0.0,far_otm
pre40,VEV_6000,1000,Mark 01,Mark 22,13,43.0,0.0,far_otm
pre40,VEV_6000,5000,Mark 01,Mark 22,13,43.0,0.0,far_otm
pre40,VEV_6000,10000,Mark 01,Mark 22,13,43.0,0.0,far_otm
pre40,VEV_6000,20000,Mark 01,Mark 22,13,43.0,0.0,far_otm
pre40,VEV_6000,40000,Mark 01,Mark 22,13,43.0,0.0,far_otm
pre40,VEV_6500,500,Mark 01,Mark 22,13,43.0,0.0,far_otm
pre40,VEV_6500,1000,Mark 01,Mark 22,13,43.0,0.0,far_otm
pre40,VEV_6500,5000,Mark 01,Mark 22,13,43.0,0.0,far_otm
pre40,VEV_6500,10000,Mark 01,Mark 22,13,43.0,0.0,far_otm
pre40,VEV_6500,20000,Mark 01,Mark 22,13,43.0,0.0,far_otm
pre40,VEV_6500,40000,Mark 01,Mark 22,13,43.0,0.0,far_otm
