segment,product,horizon,mark,events,quantity,score,total_signed_markout,days,sign_agreement,family
late,VEV_5300,5000,Mark 01,125,416.0,0.07091346153846154,29.5,3,0.6666666666666666,static_short
late,VEV_5300,5000,Mark 14,30,105.0,0.6,63.0,3,0.6666666666666666,static_short
late,VEV_5300,5000,Mark 22,157,525.0,-0.15714285714285714,-82.5,3,0.6666666666666666,static_short
late,VEV_5300,5000,Mark 38,2,4.0,-2.5,-10.0,2,0.5,static_short
late,VEV_5300,10000,Mark 01,124,411.0,0.33941605839416056,139.5,3,0.3333333333333333,static_short
late,VEV_5300,10000,Mark 14,30,105.0,0.6619047619047619,69.5,3,1.0,static_short
late,VEV_5300,10000,Mark 22,156,520.0,-0.3855769230769231,-200.5,3,0.6666666666666666,static_short
late,VEV_5300,10000,Mark 38,2,4.0,-2.125,-8.5,2,0.5,static_short
late,VEV_5300,20000,Mark 01,123,406.0,0.41748768472906406,169.5,3,0.6666666666666666,static_short
late,VEV_5300,20000,Mark 14,29,102.0,0.6764705882352942,69.0,3,0.6666666666666666,static_short
late,VEV_5300,20000,Mark 22,154,512.0,-0.4345703125,-222.5,3,0.6666666666666666,static_short
late,VEV_5300,20000,Mark 38,2,4.0,-4.0,-16.0,2,0.5,static_short
late,VEV_5300,40000,Mark 01,121,400.0,0.295,118.0,3,0.3333333333333333,static_short
late,VEV_5300,40000,Mark 14,27,96.0,-0.359375,-34.5,3,0.3333333333333333,static_short
late,VEV_5300,40000,Mark 22,150,500.0,-0.174,-87.0,3,0.6666666666666666,static_short
late,VEV_5300,40000,Mark 38,2,4.0,0.875,3.5,2,0.5,static_short
late,VEV_5400,500,Mark 01,244,847.0,-0.0035419126328217238,-3.0,3,0.3333333333333333,static_short
late,VEV_5400,500,Mark 14,10,38.0,-0.3026315789473684,-11.5,3,1.0,static_short
late,VEV_5400,500,Mark 22,254,885.0,0.01638418079096045,14.5,3,1.0,static_short
late,VEV_5400,1000,Mark 01,244,847.0,0.011216056670602124,9.5,3,0.6666666666666666,static_short
late,VEV_5400,1000,Mark 14,10,38.0,-0.42105263157894735,-16.0,3,1.0,static_short
late,VEV_5400,1000,Mark 22,254,885.0,0.007344632768361582,6.5,3,0.3333333333333333,static_short
late,VEV_5400,5000,Mark 01,243,843.0,0.17615658362989323,148.5,3,1.0,static_short
late,VEV_5400,5000,Mark 14,10,38.0,-0.7763157894736842,-29.5,3,0.6666666666666666,static_short
late,VEV_5400,5000,Mark 22,253,881.0,-0.13507377979568672,-119.0,3,1.0,static_short
late,VEV_5400,10000,Mark 01,241,833.0,0.1362545018007203,113.5,3,0.6666666666666666,static_short
late,VEV_5400,10000,Mark 14,10,38.0,-0.5526315789473685,-21.0,3,0.6666666666666666,static_short
late,VEV_5400,10000,Mark 22,251,871.0,-0.10619977037887486,-92.5,3,0.3333333333333333,static_short
late,VEV_5400,20000,Mark 01,239,825.0,0.16727272727272727,138.0,3,1.0,static_short
late,VEV_5400,20000,Mark 14,10,38.0,-0.6578947368421053,-25.0,3,0.6666666666666666,static_short
late,VEV_5400,20000,Mark 22,249,863.0,-0.13093858632676708,-113.0,3,1.0,static_short
late,VEV_5400,40000,Mark 01,238,821.0,0.1784409257003654,146.5,3,1.0,static_short
late,VEV_5400,40000,Mark 14,10,38.0,-1.9473684210526316,-74.0,3,1.0,static_short
late,VEV_5400,40000,Mark 22,248,859.0,-0.08440046565774156,-72.5,3,1.0,static_short
late,VEV_5500,500,Mark 01,275,957.0,-0.015151515151515152,-14.5,3,1.0,static_short
late,VEV_5500,500,Mark 14,6,25.0,-0.36,-9.0,3,0.6666666666666666,static_short
late,VEV_5500,500,Mark 22,281,982.0,0.023930753564154784,23.5,3,1.0,static_short
late,VEV_5500,1000,Mark 01,275,957.0,-0.0020898641588296763,-2.0,3,0.6666666666666666,static_short
late,VEV_5500,1000,Mark 14,6,25.0,-0.2,-5.0,3,0.3333333333333333,static_short
late,VEV_5500,1000,Mark 22,281,982.0,0.007128309572301426,7.0,3,1.0,static_short
late,VEV_5500,5000,Mark 01,274,953.0,0.04669464847848898,44.5,3,1.0,static_short
late,VEV_5500,5000,Mark 14,6,25.0,-0.52,-13.0,3,1.0,static_short
late,VEV_5500,5000,Mark 22,280,978.0,-0.032208588957055216,-31.5,3,1.0,static_short
late,VEV_5500,10000,Mark 01,273,948.0,0.003691983122362869,3.5,3,0.3333333333333333,static_short
late,VEV_5500,10000,Mark 14,6,25.0,-0.68,-17.0,3,1.0,static_short
late,VEV_5500,10000,Mark 22,279,973.0,0.013874614594039054,13.5,3,0.6666666666666666,static_short
late,VEV_5500,20000,Mark 01,271,940.0,0.04148936170212766,39.0,3,1.0,static_short
late,VEV_5500,20000,Mark 14,6,25.0,-0.88,-22.0,3,0.6666666666666666,static_short
late,VEV_5500,20000,Mark 22,277,965.0,-0.017616580310880828,-17.0,3,1.0,static_short
late,VEV_5500,40000,Mark 01,267,928.0,-0.03394396551724138,-31.5,3,0.3333333333333333,static_short
late,VEV_5500,40000,Mark 14,6,25.0,-1.4,-35.0,3,1.0,static_short
late,VEV_5500,40000,Mark 22,273,953.0,0.06977964323189927,66.5,3,1.0,static_short
late,VEV_6000,500,Mark 01,291,1015.0,0.0,0.0,3,1.0,far_otm
late,VEV_6000,500,Mark 22,291,1015.0,0.0,0.0,3,1.0,far_otm
late,VEV_6000,1000,Mark 01,291,1015.0,0.0,0.0,3,1.0,far_otm
late,VEV_6000,1000,Mark 22,291,1015.0,0.0,0.0,3,1.0,far_otm
late,VEV_6000,5000,Mark 01,290,1011.0,0.0,0.0,3,1.0,far_otm
late,VEV_6000,5000,Mark 22,290,1011.0,0.0,0.0,3,1.0,far_otm
late,VEV_6000,10000,Mark 01,288,1001.0,0.0,0.0,3,1.0,far_otm
late,VEV_6000,10000,Mark 22,288,1001.0,0.0,0.0,3,1.0,far_otm
late,VEV_6000,20000,Mark 01,286,993.0,0.0,0.0,3,1.0,far_otm
late,VEV_6000,20000,Mark 22,286,993.0,0.0,0.0,3,1.0,far_otm
late,VEV_6000,40000,Mark 01,282,981.0,0.0,0.0,3,1.0,far_otm
late,VEV_6000,40000,Mark 22,282,981.0,0.0,0.0,3,1.0,far_otm
late,VEV_6500,500,Mark 01,291,1015.0,0.0,0.0,3,1.0,far_otm
late,VEV_6500,500,Mark 22,291,1015.0,0.0,0.0,3,1.0,far_otm
late,VEV_6500,1000,Mark 01,291,1015.0,0.0,0.0,3,1.0,far_otm
late,VEV_6500,1000,Mark 22,291,1015.0,0.0,0.0,3,1.0,far_otm
late,VEV_6500,5000,Mark 01,290,1011.0,0.0,0.0,3,1.0,far_otm
late,VEV_6500,5000,Mark 22,290,1011.0,0.0,0.0,3,1.0,far_otm
late,VEV_6500,10000,Mark 01,288,1001.0,0.0,0.0,3,1.0,far_otm
late,VEV_6500,10000,Mark 22,288,1001.0,0.0,0.0,3,1.0,far_otm
late,VEV_6500,20000,Mark 01,286,993.0,0.0,0.0,3,1.0,far_otm
late,VEV_6500,20000,Mark 22,286,993.0,0.0,0.0,3,1.0,far_otm
late,VEV_6500,40000,Mark 01,282,981.0,0.0,0.0,3,1.0,far_otm
late,VEV_6500,40000,Mark 22,282,981.0,0.0,0.0,3,1.0,far_otm
post40,VEV_4000,500,Mark 14,426,844.0,-0.20319905213270142,-171.5,3,1.0,static_short
post40,VEV_4000,500,Mark 22,3,6.0,-3.25,-19.5,2,1.0,static_short
post40,VEV_4000,500,Mark 38,429,850.0,0.22470588235294117,191.0,3,1.0,static_short
post40,VEV_4000,1000,Mark 14,426,844.0,-0.10248815165876778,-86.5,3,0.3333333333333333,static_short
post40,VEV_4000,1000,Mark 22,3,6.0,-1.75,-10.5,2,1.0,static_short
post40,VEV_4000,1000,Mark 38,429,850.0,0.11411764705882353,97.0,3,0.3333333333333333,static_short
post40,VEV_4000,5000,Mark 14,423,836.0,-0.19617224880382775,-164.0,3,0.6666666666666666,static_short
post40,VEV_4000,5000,Mark 22,3,6.0,2.4166666666666665,14.5,2,0.5,static_short
post40,VEV_4000,5000,Mark 38,426,842.0,0.17755344418052257,149.5,3,0.6666666666666666,static_short
post40,VEV_4000,10000,Mark 14,421,830.0,-0.05301204819277108,-44.0,3,0.3333333333333333,static_short
post40,VEV_4000,10000,Mark 22,3,6.0,-0.25,-1.5,2,0.5,static_short
post40,VEV_4000,10000,Mark 38,424,836.0,0.05442583732057416,45.5,3,0.3333333333333333,static_short
post40,VEV_4000,20000,Mark 14,420,828.0,-0.2113526570048309,-175.0,3,0.6666666666666666,static_short
post40,VEV_4000,20000,Mark 22,3,6.0,1.1666666666666667,7.0,2,0.5,static_short
post40,VEV_4000,20000,Mark 38,423,834.0,0.2014388489208633,168.0,3,0.6666666666666666,static_short
post40,VEV_4000,40000,Mark 14,409,807.0,-1.0192069392812888,-822.5,3,1.0,static_short
post40,VEV_4000,40000,Mark 22,3,6.0,-7.916666666666667,-47.5,2,1.0,static_short
post40,VEV_4000,40000,Mark 38,412,813.0,1.070110701107011,870.0,3,1.0,static_short
post40,VEV_4500,500,Mark 22,3,6.0,-1.5833333333333333,-9.5,2,1.0,static_short
post40,VEV_4500,500,Mark 38,3,6.0,1.5833333333333333,9.5,2,1.0,static_short
post40,VEV_4500,1000,Mark 22,3,6.0,-0.25,-1.5,2,0.5,static_short
post40,VEV_4500,1000,Mark 38,3,6.0,0.25,1.5,2,0.5,static_short
post40,VEV_4500,5000,Mark 22,3,6.0,3.75,22.5,2,0.5,static_short
post40,VEV_4500,5000,Mark 38,3,6.0,-3.75,-22.5,2,0.5,static_short
post40,VEV_4500,10000,Mark 22,3,6.0,1.25,7.5,2,0.5,static_short
post40,VEV_4500,10000,Mark 38,3,6.0,-1.25,-7.5,2,0.5,static_short
post40,VEV_4500,20000,Mark 22,3,6.0,2.5833333333333335,15.5,2,0.5,static_short
post40,VEV_4500,20000,Mark 38,3,6.0,-2.5833333333333335,-15.5,2,0.5,static_short
post40,VEV_4500,40000,Mark 22,3,6.0,-6.666666666666667,-40.0,2,1.0,static_short
post40,VEV_4500,40000,Mark 38,3,6.0,6.666666666666667,40.0,2,1.0,static_short
post40,VEV_5000,500,Mark 22,3,6.0,0.8333333333333334,5.0,2,0.5,active_mid
post40,VEV_5000,500,Mark 38,3,6.0,-0.8333333333333334,-5.0,2,0.5,active_mid
post40,VEV_5000,1000,Mark 22,3,6.0,2.5833333333333335,15.5,2,0.5,active_mid
post40,VEV_5000,1000,Mark 38,3,6.0,-2.5833333333333335,-15.5,2,0.5,active_mid
post40,VEV_5000,5000,Mark 22,3,6.0,6.083333333333333,36.5,2,0.5,active_mid
post40,VEV_5000,5000,Mark 38,3,6.0,-6.083333333333333,-36.5,2,0.5,active_mid
post40,VEV_5000,10000,Mark 22,3,6.0,3.75,22.5,2,0.5,active_mid
post40,VEV_5000,10000,Mark 38,3,6.0,-3.75,-22.5,2,0.5,active_mid
post40,VEV_5000,20000,Mark 22,3,6.0,5.083333333333333,30.5,2,0.5,active_mid
post40,VEV_5000,20000,Mark 38,3,6.0,-5.083333333333333,-30.5,2,0.5,active_mid
post40,VEV_5000,40000,Mark 22,3,6.0,-3.6666666666666665,-22.0,2,0.5,active_mid
post40,VEV_5000,40000,Mark 38,3,6.0,3.6666666666666665,22.0,2,0.5,active_mid
post40,VEV_5100,500,Mark 22,3,6.0,1.0833333333333333,6.5,2,1.0,active_mid
post40,VEV_5100,500,Mark 38,3,6.0,-1.0833333333333333,-6.5,2,0.5,active_mid
post40,VEV_5100,1000,Mark 22,3,6.0,2.1666666666666665,13.0,2,0.5,active_mid
post40,VEV_5100,1000,Mark 38,3,6.0,-2.1666666666666665,-13.0,2,0.5,active_mid
post40,VEV_5100,5000,Mark 22,3,6.0,5.583333333333333,33.5,2,0.5,active_mid
post40,VEV_5100,5000,Mark 38,3,6.0,-5.583333333333333,-33.5,2,0.5,active_mid
post40,VEV_5100,10000,Mark 22,3,6.0,3.4166666666666665,20.5,2,0.5,active_mid
post40,VEV_5100,10000,Mark 38,3,6.0,-3.4166666666666665,-20.5,2,0.5,active_mid
post40,VEV_5100,20000,Mark 22,3,6.0,4.833333333333333,29.0,2,0.5,active_mid
post40,VEV_5100,20000,Mark 38,3,6.0,-4.833333333333333,-29.0,2,0.5,active_mid
post40,VEV_5100,40000,Mark 22,3,6.0,-2.9166666666666665,-17.5,2,0.5,active_mid
post40,VEV_5100,40000,Mark 38,3,6.0,2.9166666666666665,17.5,2,0.5,active_mid
post40,VEV_5200,500,Mark 01,11,34.0,0.07352941176470588,2.5,1,1.0,static_short
post40,VEV_5200,500,Mark 14,33,122.0,-0.29508196721311475,-36.0,3,0.6666666666666666,static_short
post40,VEV_5200,500,Mark 22,47,162.0,0.23765432098765432,38.5,3,0.6666666666666666,static_short
post40,VEV_5200,500,Mark 38,3,6.0,-0.8333333333333334,-5.0,2,0.5,static_short
post40,VEV_5200,1000,Mark 01,11,34.0,1.25,42.5,1,1.0,static_short
post40,VEV_5200,1000,Mark 14,33,122.0,-0.1885245901639344,-23.0,3,0.6666666666666666,static_short
post40,VEV_5200,1000,Mark 22,47,162.0,-0.05864197530864197,-9.5,3,0.6666666666666666,static_short
post40,VEV_5200,1000,Mark 38,3,6.0,-1.6666666666666667,-10.0,2,0.5,static_short
post40,VEV_5200,5000,Mark 01,11,34.0,2.7941176470588234,95.0,1,1.0,static_short
post40,VEV_5200,5000,Mark 14,33,122.0,-0.0942622950819672,-11.5,3,0.6666666666666666,static_short
post40,VEV_5200,5000,Mark 22,47,162.0,-0.3611111111111111,-58.5,3,0.6666666666666666,static_short
post40,VEV_5200,5000,Mark 38,3,6.0,-4.166666666666667,-25.0,2,0.5,static_short
post40,VEV_5200,10000,Mark 01,11,34.0,3.6470588235294117,124.0,1,1.0,static_short
post40,VEV_5200,10000,Mark 14,33,122.0,-0.3360655737704918,-41.0,3,0.6666666666666666,static_short
post40,VEV_5200,10000,Mark 22,47,162.0,-0.41358024691358025,-67.0,3,0.6666666666666666,static_short
post40,VEV_5200,10000,Mark 38,3,6.0,-2.6666666666666665,-16.0,2,0.5,static_short
post40,VEV_5200,20000,Mark 01,11,34.0,4.75,161.5,1,1.0,static_short
post40,VEV_5200,20000,Mark 14,32,117.0,0.3504273504273504,41.0,3,0.6666666666666666,static_short
post40,VEV_5200,20000,Mark 22,46,157.0,-1.1656050955414012,-183.0,3,0.6666666666666666,static_short
post40,VEV_5200,20000,Mark 38,3,6.0,-3.25,-19.5,2,0.5,static_short
post40,VEV_5200,40000,Mark 01,11,34.0,8.808823529411764,299.5,1,1.0,static_short
post40,VEV_5200,40000,Mark 14,32,117.0,0.717948717948718,84.0,3,0.3333333333333333,static_short
post40,VEV_5200,40000,Mark 22,46,157.0,-2.5254777070063694,-396.5,3,0.6666666666666666,static_short
post40,VEV_5200,40000,Mark 38,3,6.0,2.1666666666666665,13.0,2,0.5,static_short
post40,VEV_5300,500,Mark 01,127,423.0,-0.14775413711583923,-62.5,3,1.0,static_short
post40,VEV_5300,500,Mark 14,30,105.0,-0.46190476190476193,-48.5,3,0.6666666666666666,static_short
post40,VEV_5300,500,Mark 22,159,532.0,0.21052631578947367,112.0,3,1.0,static_short
post40,VEV_5300,500,Mark 38,2,4.0,-0.25,-1.0,2,0.5,static_short
post40,VEV_5300,1000,Mark 01,127,423.0,-0.16193853427895982,-68.5,3,1.0,static_short
post40,VEV_5300,1000,Mark 14,30,105.0,-0.16666666666666666,-17.5,3,0.3333333333333333,static_short
post40,VEV_5300,1000,Mark 22,159,532.0,0.16635338345864661,88.5,3,1.0,static_short
post40,VEV_5300,1000,Mark 38,2,4.0,-0.625,-2.5,2,0.5,static_short
post40,VEV_5300,5000,Mark 01,127,423.0,0.06973995271867613,29.5,3,0.6666666666666666,static_short
post40,VEV_5300,5000,Mark 14,30,105.0,0.6,63.0,3,0.6666666666666666,static_short
post40,VEV_5300,5000,Mark 22,159,532.0,-0.1550751879699248,-82.5,3,0.6666666666666666,static_short
post40,VEV_5300,5000,Mark 38,2,4.0,-2.5,-10.0,2,0.5,static_short
post40,VEV_5300,10000,Mark 01,126,418.0,0.35287081339712917,147.5,3,0.3333333333333333,static_short
post40,VEV_5300,10000,Mark 14,30,105.0,0.6619047619047619,69.5,3,1.0,static_short
post40,VEV_5300,10000,Mark 22,158,527.0,-0.3956356736242884,-208.5,3,1.0,static_short
post40,VEV_5300,10000,Mark 38,2,4.0,-2.125,-8.5,2,0.5,static_short
post40,VEV_5300,20000,Mark 01,125,413.0,0.44188861985472155,182.5,3,1.0,static_short
post40,VEV_5300,20000,Mark 14,29,102.0,0.6764705882352942,69.0,3,0.6666666666666666,static_short
post40,VEV_5300,20000,Mark 22,156,519.0,-0.45375722543352603,-235.5,3,0.6666666666666666,static_short
post40,VEV_5300,20000,Mark 38,2,4.0,-4.0,-16.0,2,0.5,static_short
post40,VEV_5300,40000,Mark 01,123,407.0,0.3095823095823096,126.0,3,0.6666666666666666,static_short
post40,VEV_5300,40000,Mark 14,27,96.0,-0.359375,-34.5,3,0.3333333333333333,static_short
post40,VEV_5300,40000,Mark 22,152,507.0,-0.1873767258382643,-95.0,3,0.6666666666666666,static_short
post40,VEV_5300,40000,Mark 38,2,4.0,0.875,3.5,2,0.5,static_short
post40,VEV_5400,500,Mark 01,253,879.0,-0.0005688282138794084,-0.5,3,0.3333333333333333,static_short
post40,VEV_5400,500,Mark 14,12,46.0,-0.42391304347826086,-19.5,3,1.0,static_short
post40,VEV_5400,500,Mark 22,265,925.0,0.021621621621621623,20.0,3,0.6666666666666666,static_short
post40,VEV_5400,1000,Mark 01,253,879.0,0.013083048919226393,11.5,3,0.6666666666666666,static_short
post40,VEV_5400,1000,Mark 14,12,46.0,-0.5543478260869565,-25.5,3,1.0,static_short
post40,VEV_5400,1000,Mark 22,265,925.0,0.015135135135135135,14.0,3,0.3333333333333333,static_short
post40,VEV_5400,5000,Mark 01,252,875.0,0.20457142857142857,179.0,3,1.0,static_short
post40,VEV_5400,5000,Mark 14,12,46.0,-0.7717391304347826,-35.5,3,0.6666666666666666,static_short
post40,VEV_5400,5000,Mark 22,264,921.0,-0.15580890336590664,-143.5,3,1.0,static_short
post40,VEV_5400,10000,Mark 01,250,865.0,0.15664739884393064,135.5,3,0.6666666666666666,static_short
post40,VEV_5400,10000,Mark 14,12,46.0,-0.6413043478260869,-29.5,3,0.6666666666666666,static_short
post40,VEV_5400,10000,Mark 22,262,911.0,-0.1163556531284303,-106.0,3,0.3333333333333333,static_short
post40,VEV_5400,20000,Mark 01,248,857.0,0.18903150525087514,162.0,3,1.0,static_short
post40,VEV_5400,20000,Mark 14,12,46.0,-0.8913043478260869,-41.0,3,0.6666666666666666,static_short
post40,VEV_5400,20000,Mark 22,260,903.0,-0.13399778516057587,-121.0,3,0.6666666666666666,static_short
post40,VEV_5400,40000,Mark 01,247,853.0,0.18347010550996484,156.5,3,1.0,static_short
post40,VEV_5400,40000,Mark 14,12,46.0,-1.4782608695652173,-68.0,3,0.6666666666666666,static_short
post40,VEV_5400,40000,Mark 22,259,899.0,-0.09844271412680757,-88.5,3,1.0,static_short
post40,VEV_5500,500,Mark 01,286,999.0,-0.01701701701701702,-17.0,3,1.0,static_short
post40,VEV_5500,500,Mark 14,7,27.0,-0.3333333333333333,-9.0,3,0.6666666666666666,static_short
post40,VEV_5500,500,Mark 22,293,1026.0,0.025341130604288498,26.0,3,1.0,static_short
